source,target
ACTN2,DLG1
ACTN2,KAT2B
ACTN2,ACTN4
ACTN2,CAPN1
ACTN2,ACTN3
ACTN2,SNAI1
ACTN2,TOLLIP
ACTN2,ACTN2
ACTN2,CFTR
ACTN2,TNS1
ACTN2,VCL
ACTN2,TIMP1
ACTN2,CSK
ACTN2,HGF
ACTN2,SERPINE1
ACTN2,KRAS
ACTN2,PIK3CA
ACTN2,KNG1
ACTN2,EGF
ACTN2,PXN
ACTN2,ITGA1
ACTN2,APP
ACTN2,ALB
ACTN2,PPBP
ACTN2,PF4
ACTN2,FIGF
ACTN2,IGF1
ACTN2,TLN1
ACTN2,ZYX
ACTN2,PDGFB
ACTN2,PTK2
ACTN2,CRKL
ACTN2,FN1
ACTN2,RAC1
ACTN2,KIRREL
ACTN2,NRAS
ACTN2,SRC
ACTN2,NPHS1
ACTN2,ITGB1
ACTN2,BCAR1
ACTN2,RHOA
ACTN2,HRAS
ACTN2,PIK3R1
ACTN2,VEGFC
ACTN2,VEGFA
ACVR1,ACVR1
ACVR1,TGFBR2
ACVR1,CIT
ACVR1,KIAA1429
ACVR1,PIK3CG
ACVR1,SMAD2
ACVR1,SMAD3
STAT3,TRAF6
STAT3,TRIM24
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TNFRSF1A
STAT3,THPO
STAT3,TIMP1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TYK2
STAT3,VCAM1
STAT3,TP53
STAT3,ZMYM2
STAT3,TLR4
STAT3,TNFSF11
STAT3,YES1
ARF1,HTR2A
ARF1,RAB5A
ARF1,CYTH2
ARF1,COPB1
ARF1,RAB5B
ARF1,RAB11A
ARF1,NRAS
ARF1,CBL
ARF1,KHSRP
ARF1,CTNNB1
ARF1,IGF1R
ARF1,TSC2
ARF1,PXN
ARF1,ARF1
ARF1,KRAS
ARF1,VCAM1
ARF1,OPRM1
ARF1,KIAA1429
ARF1,CHRM3
ARF1,ARFGAP3
ARF1,PTPN1
ARF1,ATF2
ARF1,CD4
ARF1,EREG
ARF1,KDR
ARF1,PIK3CA
ARF1,CYTH3
ARF1,ARF6
ARF1,RAC1
ARF1,HLA-DRB1
ARF1,PIP5K1A
ARF1,DNM1
ARF1,SNX9
ARF1,FOLR1
ARF1,HLA-DRA
ARF1,INS
ARF1,ARRB1
ARF1,CDKN2A
ARF1,PIK3R1
ARF1,VEGFA
APP,WDR5
APP,NTRK3
APP,INS
APP,S1PR1
APP,ZDHHC23
APP,HSP90AA1
APP,MTG1
APP,CTNNA1
APP,GNA15
APP,FCGR3A
APP,MYC
APP,PIKFYVE
APP,IL7
APP,CDK5
APP,TGFBR2
APP,GNB5
APP,FGFR2
APP,EPHB4
APP,LCP2
APP,DERL1
APP,IFNA8
APP,DNAJB6
APP,BTK
APP,PCBP1
APP,SET
APP,SIGIRR
APP,MS4A2
APP,TEK
APP,PLCD4
APP,SYK
APP,PRKCI
APP,RAP1B
APP,DIRAS1
APP,ITGA6
APP,APP
APP,BDNF
APP,FLRT1
APP,ITGB3
APP,EPHA2
APP,PRKCD
APP,PDYN
APP,ITGA2B
APP,CTNNB1
APP,IFNA16
APP,KDR
APP,MAPK11
APP,RPS20
APP,HCK
APP,UGCG
APP,PIK3R5
APP,CDC37
APP,PIP5K1A
APP,EXOSC3
APP,IRS1
APP,RXFP3
APP,IFIH1
APP,KRAS
APP,POMC
APP,SMARCB1
APP,ESR2
APP,GSK3B
APP,NEDD9
APP,COPB1
APP,PIK3R2
APP,INPP5B
APP,CDC25A
APP,ARFGAP3
APP,CTNND1
APP,GAPDH
APP,SMAD3
APP,KISS1
APP,SOCS3
APP,JUN
APP,CAMK1D
APP,MX1
APP,SHC1
APP,CHEK1
APP,NRAS
APP,HAVCR2
APP,PIP4K2C
APP,IL15
APP,LPAR3
APP,ATF4
APP,TBK1
APP,EGFR
APP,GTF2E1
APP,KIAA1429
APP,NOTCH1
APP,HOXB7
APP,PIM1
APP,EXOSC7
APP,EPB41L1
APP,SDC1
APP,TRAF6
APP,RASGRP3
APP,GSN
APP,STK11
APP,PTGS2
APP,FGF16
APP,CDIPT
APP,PLCD1
APP,P2RY2
APP,PDPK1
APP,EXOSC1
APP,ATF2
APP,GNRH2
APP,IRF2
APP,FOS
APP,CCL13
APP,MAPK8
APP,IGF1R
APP,SSTR2
APP,ZAP70
APP,DAB1
APP,IL1B
APP,PTK2
APP,ARF6
APP,S100A8
APP,CXCL16
APP,RPS6KB1
APP,SRC
APP,FES
APP,YWHAZ
APP,CX3CL1
APP,HEBP1
APP,UTS2
APP,GNA11
APP,P2RY10
APP,NGFR
APP,DRD4
APP,MAPK1
APP,BDKRB1
APP,PROKR2
APP,OXT
APP,TIMP1
APP,MLNR
APP,HGF
APP,LAMB1
APP,SERPINE1
APP,C5
APP,CCL1
APP,CXCL6
APP,GNRHR
APP,NFKB1
APP,GNB3
APP,GRM6
APP,GNB4
APP,KISS1R
APP,OPRD1
APP,FGF23
APP,TAS2R8
APP,TAS2R10
APP,TAS2R7
APP,TAS2R9
APP,GHSR
APP,C3
APP,S1PR4
APP,FFAR1
APP,CCR7
APP,TAS2R3
APP,TAS2R4
APP,TAS2R5
APP,F2RL3
APP,GNG13
APP,GNG11
APP,GNGT1
APP,MCHR1
APP,GALR3
APP,TAS2R16
APP,SSTR4
APP,NMUR2
APP,CHRM3
APP,NTS
APP,GRP
APP,HRH4
APP,MTNR1B
APP,NMBR
APP,HTR2B
APP,GABBR2
APP,CCL21
APP,CCL27
APP,PLCB2
APP,PIK3R3
APP,MAPK3
APP,PIK3CA
APP,NMU
APP,KNG1
APP,EGF
APP,OPRK1
APP,GAL
APP,NPFF
APP,SSTR1
APP,GPR65
APP,CDH2
APP,TP53
APP,PROK1
APP,HTR2C
APP,GNRH1
APP,NPFFR1
APP,MCHR2
APP,CYSLTR2
APP,TAS2R42
APP,GNG5
APP,TRH
APP,HMGB1
APP,NPY5R
APP,PROK2
APP,VEGFC
APP,CCR4
APP,TACR1
APP,HTR1A
APP,GPR143
APP,XCL1
APP,HRH1
APP,SSTR5
APP,CCKBR
APP,TNF
APP,NPY1R
APP,CCL5
APP,P2RY1
APP,RXFP4
APP,FFAR2
APP,PLCB1
APP,CHRM5
APP,GNAQ
APP,GNB2
APP,VLDLR
APP,GRM3
APP,XCR1
APP,NPY4R
APP,CHRM1
APP,NMUR1
APP,SST
APP,INSL5
APP,CXCR1
APP,CAPN1
APP,PTGFR
APP,GNG7
APP,PDGFB
APP,CXCR5
APP,LTB4R2
APP,CCL25
APP,HCAR3
APP,NPFFR2
APP,HCAR2
APP,MTNR1A
APP,LTB4R
APP,GALR2
APP,TAS2R39
APP,FPR2
APP,PYY
APP,GPR4
APP,GPR18
APP,CCR5
APP,AVPR1A
APP,TAS2R31
APP,CCR9
APP,CXCL2
APP,S1PR5
APP,P2RY6
APP,EDN3
APP,P2RY14
APP,CXCL13
APP,PTGDR2
APP,TAS2R1
APP,EDNRA
APP,CXCL10
APP,PPBP
APP,GNAI3
APP,HCRTR1
APP,PTGER1
APP,CCR10
APP,FIGF
APP,PTGER3
APP,GNGT2
APP,GPSM2
APP,OXGR1
APP,GNG8
APP,NMB
APP,C5AR1
APP,GABBR1
APP,GRM4
APP,GCG
APP,CYSLTR1
APP,GPER1
APP,CX3CR1
APP,F2R
APP,CASR
APP,CCL19
APP,PNOC
APP,P2RY11
APP,OXTR
APP,TAS1R2
APP,TAC3
APP,GRB2
APP,CXCL1
APP,GNG4
APP,TAS2R13
APP,GPR17
APP,NPS
APP,CCL4
APP,GRM7
APP,BDKRB2
APP,NPB
APP,CCR8
APP,TAS1R3
APP,P2RY4
APP,PCP2
APP,LPAR2
APP,APPL1
APP,TAS2R41
APP,GPSM1
APP,CXCL9
APP,FPR1
APP,NGF
APP,CCL20
APP,TACR2
APP,CCL28
APP,NTSR2
APP,CXCR6
APP,HCRTR2
APP,S1PR3
APP,TAS2R46
APP,FN1
APP,PLCB4
APP,TAS2R60
APP,GNG3
APP,CCK
APP,TAS2R19
APP,OPRM1
APP,C3AR1
APP,NTRK1
APP,GPR31
APP,GNAI2
APP,CXCL12
APP,CXCL3
APP,OXER1
APP,AVP
APP,CCL4L1
APP,PTAFR
APP,TAS2R30
APP,CHRM4
APP,CCR1
APP,IGF1
APP,CXCL11
APP,GPSM3
APP,TAS2R40
APP,NPBWR1
APP,NMS
APP,AVPR1B
APP,NPY
APP,F2
APP,HTR1F
APP,CCR2
APP,EDN2
APP,TAS2R50
APP,SAA1
APP,CHRM2
APP,GCGR
APP,CXCL8
APP,F2RL2
APP,TRHR
APP,HTR1D
APP,RELN
APP,CCL16
APP,GPRC6A
APP,XCL2
APP,FOXO3
APP,GNG12
APP,TBXA2R
APP,GPR132
APP,LPAR1
APP,GRPR
APP,CXCR3
APP,GPR39
APP,P2RY13
APP,SSTR3
APP,QRFP
APP,CCR3
APP,GNAT3
APP,SDC2
APP,MLN
APP,EDNRB
APP,GPR68
APP,EDN1
APP,LPAR6
APP,NTSR1
APP,GAST
APP,TAC1
APP,BRS3
APP,PMCH
APP,TACR3
APP,HRH3
APP,CXCL5
APP,OPN4
APP,NPBWR2
APP,GRM8
APP,CXCR2
APP,F2RL1
APP,TAS2R20
APP,LPAR4
APP,S1PR2
APP,GRM5
APP,NPSR1
APP,FFAR3
APP,HTR1B
APP,LPAR5
APP,HTR2A
APP,SUCNR1
APP,CNR2
APP,GNG2
APP,DRD2
APP,B2M
APP,RELA
APP,GPR37L1
APP,PPY
APP,TAS1R1
APP,VEGFA
APP,TAS2R38
APP,GALR1
APP,OPRL1
APP,HCAR1
APP,GNB1
APP,IL6
APP,DRD3
APP,GPR37
APP,CXCR4
APP,GPR55
APP,HTR5A
APP,P2RY12
APP,TAS2R43
APP,FYN
APP,GNG10
APP,TAS2R14
APP,GPR183
APP,NPW
APP,HCRT
APP,UTS2B
APP,PENK
APP,NPY2R
APP,RLN3
APP,UTS2R
APP,HTR1E
APP,PF4
APP,PSAP
APP,PLCB3
APP,GRM1
APP,QRFPR
APP,GNAI1
APP,FFAR4
APP,FPR3
APP,CNR1
APP,CCKAR
APP,CORT
APP,PIK3R1
APP,GRM2
APP,GNA14
DAB1,TOLLIP
DAB1,SOCS1
DAB1,MAPK14
DAB1,VLDLR
DAB1,SH3KBP1
DAB1,SOCS3
DAB1,ERBB2
DAB1,ERBB3
DAB1,INPP5D
DAB1,PIK3CA
DAB1,FYN
DAB1,RAP1A
DAB1,MAPK8
DAB1,ITGB1
DAB1,RELN
DAB1,PIK3R1
EP300,MTOR
EP300,PGR
EP300,PTGS2
EP300,HDAC6
EP300,FOS
EP300,SMAD2
EP300,SMAD3
EP300,SP1
