"V1","V2"
"ENSG00000260836","RPSAP58"
"ENSG00000260342","RPSAP58"
"ENSG00000260342","ENSG00000260836"
"ENSG00000270800","RPSAP58"
"ENSG00000270800","ENSG00000260836"
"ENSG00000270800","ENSG00000260342"
"EIF2S3L","RPSAP58"
"EIF2S3L","ENSG00000260836"
"EIF2S3L","ENSG00000260342"
"EIF2S3L","ENSG00000270800"
"RPL22L1","RPSAP58"
"RPL22L1","ENSG00000260836"
"RPL22L1","ENSG00000260342"
"RPL22L1","ENSG00000270800"
"UNK","RPL22L1"
"RPL39L","RPSAP58"
"RPL39L","ENSG00000260836"
"RPL39L","ENSG00000260342"
"RPL39L","ENSG00000270800"
"RPL39L","RPL22L1"
"RPS21","RPSAP58"
"RPS21","ENSG00000260836"
"RPS21","ENSG00000260342"
"RPS21","ENSG00000270800"
"RPS21","RPL22L1"
"RPS21","RPL39L"
"RPL36AL","RPSAP58"
"RPL36AL","ENSG00000260836"
"RPL36AL","ENSG00000260342"
"RPL36AL","ENSG00000270800"
"RPL36AL","RPL22L1"
"RPL36AL","RPL39L"
"RPL36AL","RPS21"
"UPF1","RPL22L1"
"UPF1","RPL39L"
"UPF1","RPS21"
"UPF1","RPL36AL"
"RIOK2","RPS21"
"TOMM40","ZNF598"
"TOMM40","TUBB6"
"XRCC3","ZNF598"
"RPL36A","RPSAP58"
"RPL36A","ENSG00000260836"
"RPL36A","ENSG00000260342"
"RPL36A","ENSG00000270800"
"RPL36A","RPL22L1"
"RPL36A","RPL39L"
"RPL36A","RPS21"
"RPL36A","RPL36AL"
"RPL36A","UPF1"
"RPS20","RPSAP58"
"RPS20","ENSG00000260836"
"RPS20","ENSG00000260342"
"RPS20","ENSG00000270800"
"RPS20","EIF2S3L"
"RPS20","RPL22L1"
"RPS20","RPL39L"
"RPS20","RPS21"
"RPS20","RPL36AL"
"RPS20","UPF1"
"RPS20","RIOK2"
"RPS20","RPL36A"
"RPSA","RPSAP58"
"RPSA","ENSG00000260836"
"RPSA","ENSG00000260342"
"RPSA","ENSG00000270800"
"RPSA","EIF2S3L"
"RPSA","RPL22L1"
"RPSA","ZNF746"
"RPSA","RPL39L"
"RPSA","RPS21"
"RPSA","RPL36AL"
"RPSA","UPF1"
"RPSA","RIOK2"
"RPSA","RPL36A"
"RPSA","RPS20"
"EIF4E","RPL22L1"
"EIF4E","RPL39L"
"EIF4E","CASP5"
"EIF4E","RPS21"
"EIF4E","RPL36AL"
"EIF4E","UPF1"
"EIF4E","CASP2"
"EIF4E","RPL36A"
"EIF4E","RPS20"
"EIF4E","RPS6KB1"
"EIF4E","RPSA"
"PPM1D","TUBB6"
"GSPT2","EIF2S3L"
"GSPT2","RPL22L1"
"GSPT2","RPL39L"
"GSPT2","RPS21"
"GSPT2","RPL36AL"
"GSPT2","UPF1"
"GSPT2","RPL36A"
"GSPT2","RPS20"
"GSPT2","RPSA"
"RPL39","RPSAP58"
"RPL39","ENSG00000260836"
"RPL39","ENSG00000260342"
"RPL39","ENSG00000270800"
"RPL39","RPL22L1"
"RPL39","RPL39L"
"RPL39","RPS21"
"RPL39","RPL36AL"
"RPL39","UPF1"
"RPL39","RPL36A"
"RPL39","RPS20"
"RPL39","RPSA"
"RPL39","EIF4E"
"RPL39","GSPT2"
"CASP9","CASP2"
"CASP9","EIF4E"
"RPS29","RPSAP58"
"RPS29","ENSG00000260836"
"RPS29","ENSG00000260342"
"RPS29","ENSG00000270800"
"RPS29","EIF2S3L"
"RPS29","RPL22L1"
"RPS29","RPL39L"
"RPS29","RPS21"
"RPS29","RPL36AL"
"RPS29","UPF1"
"RPS29","RIOK2"
"RPS29","RPL36A"
"RPS29","RPS20"
"RPS29","RPSA"
"RPS29","EIF4E"
"RPS29","GSPT2"
"RPS29","RPL39"
"RPL26L1","RPSAP58"
"RPL26L1","ENSG00000260836"
"RPL26L1","ENSG00000260342"
"RPL26L1","ENSG00000270800"
