source,target
ACTN2,RPL13A
ACTN2,TP53
ACTN2,TGOLN2
ACTN2,UBE2M
ACTN2,CDC25C
ACTN2,DCP1A
ACTN2,CAND1
ACTN2,SFI1
ACTN2,CSTF3
ACTN2,MYO5A
ACTN2,CAPZB
ACTN2,EFTUD2
ACTN2,EIF3B
ACTN2,GNB1
ACTN2,ACTN2
ACTN2,NDE1
ACTN2,MCM2
ACTN2,FN1
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,PIK3C2A
ACTN2,PPP2R1A
ACTN2,POLR2B
ACTN2,NOLC1
ACTN2,PIK3CA
ACTN2,PTEN
ACTN2,CLASP1
ACTN2,GTF2H4
ACTN2,ZNRF1
ACTN2,ASB8
ACTN2,PMPCA
ACTN2,PEX19
ACTN2,ATG7
PML,DYNLL1
PML,PDGFB
PML,EEF2K
PML,MIRLET7E
PML,BDKRB1
PML,SSTR5
PML,HNRNPA1
PML,HIST1H2BJ
PML,HNRNPA2B1
PML,UTP11L
PML,RTP5
PML,ATP5C1
PML,VHL
PML,ENSG00000257411
PML,HNRNPA3
PML,UBE2F
PML,UBE2N
PML,UBE3A
PML,POLR2B
PML,NOC2L
PML,NCK2
PML,RTP2
PML,H2AFB1
PML,PHB
PML,HIST1H3A
PML,RPS11
PML,KIAA1429
PML,CLTCL1
PML,RRP36
PML,PSMD11
PML,UBE2M
PML,SMURF2
PML,HEXIM1
PML,TRIM14
PML,HSPA5
PML,HACE1
PML,PPA1
PML,RNPS1
PML,RAB9A
STAT3,NTRK1
STAT3,YWHAG
STAT3,UBA52
STAT3,RHOA
STAT3,RAN
STAT3,PPP2CA
STAT3,NMUR1
STAT3,YKT6
STAT3,UBE2M
STAT3,MAPK1
STAT3,MRPL11
STAT3,EIF4B
STAT3,KIAA1429
STAT3,PRDX6
STAT3,TOM1
STAT3,CD3EAP
STAT3,ABCE1
STAT3,RPS13
STAT3,RNF123
STAT3,FN1
STAT3,FZD2
STAT3,ITGAM
STAT3,SPRR1B
STAT3,KRTAP10-5
STAT3,POLR2K
STAT3,TMPO
STAT3,RAB8B
STAT3,EIF4A3
STAT3,XPO1
STAT3,HIST1H2BA
STAT3,AVPR1A
STAT3,RPSA
STAT3,RECQL4
STAT3,KLHL20
STAT3,TBP
STAT3,TAS2R39
STAT3,KLHL22
STAT3,ELAVL1
STAT3,CEP57
STAT3,RB1
STAT3,VEGFC
STAT3,PMS2
STAT3,RRP36
ARF1,EEF1A1
ARF1,LYPLA1
ARF1,EGFR
ARF1,SF3B2
ARF1,GSK3B
ARF1,WWOX
ARF1,CBLB
ARF1,ATXN1
ARF1,USP17L19
ARF1,VAMP3
ARF1,SLU7
ARF1,SRC
ARF1,HRG
ARF1,ARF1
ARF1,P2RY6
ARF1,MRPS7
ARF1,HDAC3
ARF1,PPP1CA
ARF1,MDM2
ARF1,NHP2L1
ARF1,GNB1
ARF1,KBTBD13
ARF1,NUDT21
ARF1,RECQL4
ARF1,RIOK1
ARF1,RNF123
ARF1,COPS6
ARF1,KRAS
ARF1,ELAVL1
ARF1,PFN1
ARF1,ADCY2
ARF1,CCT3
ARF1,DLG4
ARF1,RAB1B
ARF1,NOP56
ARF1,RPSA
ARF1,MAPK1
ARF1,PIK3CA
ARF1,ASB15
ARF1,CUL3
ARF1,HUWE1
ARF1,PRKAR2B
ARF1,GPR39
ARF1,HIST2H2AC
ARF1,COMT
ARF1,NXF1
ARF1,PEX14
ARF1,ATF2
ARF1,VBP1
ARF1,CAPZA2
APP,DYNLL2
APP,ADAM10
APP,MRPL24
APP,HERC2
APP,CCL5
APP,SOX2
APP,MRPS15
APP,ANAPC1
APP,TAF12
APP,SF3B2
APP,COMMD2
APP,KIF2C
APP,UBE3C
APP,HDAC3
APP,OSBP
APP,CAT
APP,SST
APP,MCM2
APP,KRTAP10-3
APP,SRSF3
APP,RTP5
APP,SYMPK
APP,UBE4A
APP,YBX3
APP,MIRLET7A3
APP,LARP4
APP,EGLN3
APP,HSP90AA1
APP,EFTUD2
APP,PNP
APP,TGOLN2
APP,RPP14
APP,KIF11
APP,ELAVL1
APP,WDR5
APP,CUL7
APP,POLR2L
APP,GPR39
APP,NTRK1
APP,PPY
APP,DCUN1D1
APP,HLA-DQB1
APP,HSPA1A
APP,RIOK1
APP,COX6B1
APP,CUL3
APP,ASB5
APP,RPS16
APP,TNFAIP1
APP,CPT1A
APP,FN1
APP,PSMA5
APP,IFNG
APP,CYLD
APP,NECAB2
APP,RPS5
APP,COPS6
APP,KLHL3
APP,STK11IP
APP,CLTCL1
APP,MIB2
APP,PSMD11
APP,RAB24
APP,RPL23A
APP,NEK2
APP,FBLN1
APP,PRKAA1
APP,GNG4
APP,SRP54
APP,CEP57
APP,VPS28
APP,HSPB1
APP,KLHL22
APP,MCM6
APP,UPF1
APP,ORC2
APP,GRWD1
APP,ARSB
APP,PSMA4
APP,GTF3C1
APP,TAS2R39
APP,ARF1
APP,XPO1
APP,GABBR2
APP,MTHFD1
APP,GRB2
APP,OBSL1
APP,UBOX5
APP,TRIM25
APP,UBE2F
APP,DCAF4
APP,KANSL1
APP,COL7A1
APP,CEP76
APP,PDGFB
APP,YBX1
APP,SNRPB2
APP,COX4I1
APP,ERCC8
APP,SRPK2
APP,STAT3
APP,CTSZ
APP,TACO1
APP,TMPO
APP,CLTC
APP,FBXO15
APP,PRKCI
APP,BRCA1
APP,TIMELESS
APP,NHP2L1
APP,NFKB2
APP,PTGES2
APP,CASR
APP,APP
APP,VAMP3
APP,NRAS
APP,GNL3L
APP,SF3B4
APP,NES
APP,HIST1H2BJ
APP,ARIH1
APP,HDAC1
APP,LEPR
APP,TNRC6B
APP,PAXIP1
APP,NPBWR2
APP,TRMT61B
APP,ADCY2
APP,VEGFC
APP,SLCO4C1
APP,NMUR1
APP,AKAP9
APP,RPL3
APP,ATG7
APP,APLNR
APP,SUMO3
APP,NXF1
APP,SLU7
APP,USP8
APP,VANGL2
APP,FBXO7
APP,RAB7A
APP,PPP2CA
APP,UNC45A
APP,LEO1
APP,EIF3B
APP,CUL4A
APP,APOE
APP,FBXO6
APP,POMC
APP,PJA2
APP,PTX3
APP,MOV10
APP,RBPJ
APP,SNAPC2
APP,ENSG00000257529
APP,TRAF3
APP,TCEAL1
APP,SSSCA1
APP,RPL36AL
APP,NUP37
APP,RPL26L1
APP,MTPN
APP,UBB
APP,CUL5
APP,TXN
APP,EIF3F
APP,SCML2
APP,COMMD6
APP,ZBTB21
APP,CAPZB
APP,NOC2L
APP,PTGES3
APP,PIK3C2A
APP,YKT6
APP,PON2
APP,WWOX
APP,SRSF2
APP,RUVBL1
APP,HSPA5
APP,GNGT1
APP,NOS3
APP,BUB1B
APP,PSMA3
APP,REEP4
APP,JAK2
APP,WSB1
APP,SMURF1
APP,SNRPA
APP,DNM2
APP,RNF4
APP,NDE1
APP,UBE3D
APP,SIN3A
APP,TAS2R5
APP,SRSF5
APP,ARHGEF26
APP,MIR107
APP,TP53
APP,MIR7-3
APP,TAF9B
APP,RNF41
APP,POLR2K
APP,GNG2
APP,DMD
APP,RPL28
APP,IMPA2
APP,HIST1H3A
APP,RPS3A
APP,MRPS22
APP,KRT12
APP,PSMD14
APP,RPS18
APP,P2RY12
APP,KIAA1429
APP,HNRNPH1
APP,RAB4A
APP,MED23
APP,NOP56
APP,RBM22
APP,EIF4A3
APP,MAPK12
APP,RNASE3
APP,PML
APP,NOS2
APP,KLHL2
APP,BET1
APP,GOSR2
APP,RPL22L1
APP,RPS13
APP,LSM8
APP,SPSB1
APP,UBA1
APP,ESR1
APP,RHOA
APP,P2RY6
APP,SSTR5
APP,RNPS1
APP,EXOSC8
APP,POLR2G
APP,POLR2E
APP,METTL21B
APP,HUWE1
APP,MYO5A
APP,PPP2R1A
APP,RB1
APP,ATP5F1
APP,CX3CR1
APP,SUMO2
APP,TRIM37
APP,XIAP
APP,RPL32
APP,HNRNPA3
APP,HIST1H4A
APP,EIF4B
APP,SKP2
APP,RPS11
APP,TARDBP
APP,COPS4
APP,ARHGAP9
APP,RPL10A
APP,KPNA3
APP,RBBP5
APP,EPC2
APP,SMURF2
APP,UTP23
APP,PDE4D
