source,target
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RPS27A
MAP2K4,UBB
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,UBA52
MAP2K4,TNF
GATA2,HDAC3
GATA2,JUN
GATA2,TNIP2
GATA2,MED1
GATA2,HIST1H4A
GATA2,POU1F1
GATA2,SPI1
GATA2,PML
GATA2,SMAD4
GATA2,HDAC5
GATA2,NOTCH1
GATA2,RUNX1
GATA2,GATA3
GATA2,MYC
PML,SUMO1
PML,RUNX2
PML,UBE2I
PML,TP53
PML,SIRT1
PML,TGIF1
PML,RUNX1
PML,SPI1
PML,SP1
PML,RB1
PML,VDAC3
PML,TCF7L2
PML,POLR2E
PML,VDAC2
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,SH3GL1
PML,SMARCA4
PML,SATB1
PML,RELA
PML,PML
PML,SMAD3
PML,PPARG
PML,SMAD2
PML,SKI
PML,TGFB1
PML,TGFB3
PML,TNRC6B
PML,UBC
PML,RBBP4
PML,UBA52
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,RPS27A
PML,TNRC6A
PML,RBBP7
STAT3,STAT6
STAT3,TRIP10
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TGFB1
STAT3,WNT5A
STAT3,TNF
STAT3,SUZ12
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,TLR4
ARF1,RAB5A
ARF1,RAB5B
ARF1,HSP90AB1
ARF1,UBC
ARF1,RAB5C
ARF1,CBL
ARF1,KHSRP
ARF1,CTNNB1
ARF1,ARF1
ARF1,KRAS
ARF1,NCOR1
ARF1,LDHA
ARF1,KIAA1429
ARF1,PRKACB
ARF1,EZH2
ARF1,ATF2
ARF1,VDAC1
ARF1,M6PR
ARF1,CD4
ARF1,RALBP1
ARF1,CLTA
ARF1,HIP1R
ARF1,VAMP7
ARF1,VAMP8
ARF1,PIK3CA
ARF1,PIK3C2A
ARF1,CLTB
ARF1,VAMP2
ARF1,GAK
ARF1,HLA-DQA1
ARF1,NECAP1
ARF1,IGF2R
ARF1,HLA-DRB1
ARF1,TFRC
ARF1,DNM3
ARF1,COPA
ARF1,OCRL
ARF1,DNM1
ARF1,HLA-DQA2
ARF1,HLA-DQB1
ARF1,HLA-DRB5
ARF1,SH3GL2
ARF1,DNM2
ARF1,SNX9
ARF1,STAT4
ARF1,PICALM
ARF1,HLA-DRA
ARF1,INS
ARF1,TGOLN2
ARF1,HLA-DQB2
ARF1,HLA-DPA1
ARF1,HLA-DPB1
ARF1,ARRB1
ARF1,VEGFA
APP,HIST1H2BM
APP,EEF1B2
APP,WDR5
APP,GTF2E2
APP,RBM39
APP,GNAZ
APP,INS
APP,CDKN1A
APP,HSP90AA1
APP,KPNA2
APP,ATP5A1
APP,STUB1
APP,FCGR3A
APP,MYC
APP,MAP2K4
APP,VCP
APP,HIST2H2AC
APP,RGS1
APP,GAK
APP,CASP3
APP,FCHO1
APP,CDK5
APP,HMGA1
APP,FGFR2
APP,RNF2
APP,COPS5
APP,LRPPRC
APP,WASL
APP,ETV5
APP,LCP2
APP,HSPA8
APP,KAT7
APP,BTK
APP,BCL2L11
APP,MEF2D
APP,SGIP1
APP,RAB5C
APP,CDK5R1
APP,MS4A2
APP,RPS19
APP,SYK
APP,HIST1H2BB
APP,MAP3K5
APP,SIVA1
APP,LIG3
APP,SOD2
APP,TUBB
APP,MDM2
APP,APP
APP,HSPD1
APP,BDNF
APP,MAPK8IP1
APP,VAMP3
APP,RPS27A
APP,ARHGDIB
APP,PAXIP1
APP,HDGF
APP,HGS
APP,CTNNB1
APP,EEF1D
APP,MAPK11
APP,POGZ
APP,PPARG
APP,SH3GL2
APP,ASPH
APP,RANBP9
APP,ERG
APP,HBZ
APP,IRS1
APP,RPS10
APP,NRIP1
APP,KRAS
APP,USP6
APP,SMARCB1
APP,NR1H3
APP,ESR2
APP,GSK3B
APP,VIM
APP,CDK4
APP,TNIP2
APP,RING1
APP,MAPK7
APP,ETV4
APP,INPP5B
APP,HAUS6
APP,POLR2K
APP,ETS1
APP,ELK1
APP,GAPDH
APP,HNRNPA1
APP,LPL
APP,SMAD3
APP,RPS12
APP,BIN1
APP,DNM2
APP,POLR2F
APP,POU2F1
APP,JUN
APP,MAPK10
APP,KLF6
APP,VDAC2
APP,SHC1
APP,UBE2I
APP,ARID3B
APP,LPAR3
APP,ATF4
APP,EGFR
APP,GTF2E1
APP,KIAA1429
APP,NOTCH1
APP,LRP2
APP,NECAP2
APP,CBX6
APP,NPM1
APP,PTGS2
APP,PLAT
APP,YY1
APP,UBXN7
APP,SNAI2
APP,MAPK13
APP,TGFB2
APP,ATF2
APP,KIAA0319
APP,IARS
APP,IRF2
APP,FOS
APP,NOS3
APP,TGFB1
APP,MAPK8
APP,TGIF1
APP,H2AFV
APP,RPS9
APP,ZAP70
APP,DAB2
APP,CSNK2A1
APP,HIST1H2BA
APP,POR
APP,IL1B
APP,TGOLN2
APP,RPS6KB1
APP,NECAP1
APP,NFYA
APP,SRC
APP,MLLT6
APP,UBB
APP,MAPK1
APP,LGALS1
APP,NFKB1
APP,TGFB3
APP,MAPK3
APP,PIK3CA
APP,EGF
APP,TP53
APP,HMGB1
APP,TACR1
APP,TNF
APP,CCL5
APP,CHRM1
APP,LDLR
APP,CCR5
APP,CXCL2
APP,GNAI3
APP,MAPK9
APP,CXCL1
APP,CCL4
APP,PICALM
APP,LPAR2
APP,NGF
APP,FN1
APP,GNAI2
APP,CXCL3
APP,AVP
APP,IGF1
APP,TF
APP,CHRM2
APP,CXCL8
APP,LPAR1
APP,SDC2
APP,EDN1
APP,IGFBP7
APP,GNG2
APP,B2M
APP,RELA
APP,MME
APP,VEGFA
APP,GNB1
APP,IL6
APP,CXCR4
APP,FYN
APP,GNAI1
TFAP2A,TP53
TFAP2A,XRCC6
TFAP2A,UBN1
TFAP2A,VEGFA
TFAP2A,YY1
TFAP2A,UBE2I
TFAP2A,TNF
EP300,MTOR
EP300,MAX
EP300,RBBP5
EP300,PTGS2
EP300,FOS
EP300,HIST2H2BE
EP300,SMAD2
EP300,MTDH
EP300,SMAD3
EP300,SMAD4
EP300,UBN1
EP300,SP1
EP300,HIF1A
EP300,JUND
EP300,NFATC1
EP300,YAP1
EP300,IRF5
EP300,HNRNPA2B1
EP300,STAT1
EP300,PIAS1
EP300,TNIP2
EP300,HIST2H2AC
EP300,SOX2
EP300,MDM2
EP300,IRF2
EP300,RUNX1
EP300,RPS6KB2
EP300,TRAF2
EP300,STAT3
EP300,NFATC2
EP300,HSPA8
EP300,IRF7
EP300,NFYA
EP300,RAB5C
EP300,TCL1A
EP300,RUNX2
EP300,GAPDH
EP300,HDAC1
EP300,HIST1H4A
EP300,MAF
EP300,TP73
EP300,MEF2A
EP300,EZH2
EP300,JUNB
EP300,SNAI1
EP300,MYC
EP300,SRC
EP300,JUN
EP300,HIRA
EP300,MAPK14
EP300,MYOD1
EP300,ESR1
EP300,MEF2C
EP300,NCOR1
EP300,NCOR2
EP300,KLF5
EP300,MEF2D
EP300,MAPK1
EP300,STAT6
EP300,TRIP4
EP300,NCOA1
EP300,TSG101
EP300,FOXP3
EP300,PIN1
EP300,PPARG
EP300,HDAC3
EP300,POLR2A
EP300,VDR
EP300,SATB1
EP300,NOTCH1
EP300,EPAS1
EP300,NR3C1
EP300,RPS6KB1
EP300,SIRT1
EP300,IGF2R
EP300,UBE2I
EP300,KIAA1429
EP300,PAXIP1
EP300,PPARA
EP300,XRCC6
EP300,NFKB1
EP300,NPM1
EP300,ESR2
EP300,IRF1
EP300,ETS2
EP300,HDAC2
EP300,HIST1H2BB
EP300,KAT2B
EP300,PRKDC
EP300,NCOA3
EP300,KPNA2
EP300,MAP3K5
EP300,KDM1A
EP300,FOSL1
EP300,NFKBIA
EP300,MAPK8
EP300,TFAP2A
EP300,EP300
EP300,FOSB
EP300,TCF7L2
EP300,GATA2
EP300,ERG
EP300,WDR5
EP300,GNB2L1
EP300,ETS1
EP300,RELA
EP300,IRF3
EP300,RB1
EP300,PARP1
EP300,ETV1
EP300,HMGB1
EP300,HDAC7
EP300,TBP
EP300,EWSR1
EP300,FOSL2
EP300,GTF2B
EP300,EPO
EP300,YY1
EP300,NCOA6
EP300,TP53
EP300,SPIB
EP300,MTA1
EP300,UBC
EP300,POLR2C
EP300,POLR2I
EP300,TGFB1
EP300,HDAC5
EP300,FOXA1
EP300,KRAS
EP300,KMT2C
EP300,GTF2F1
EP300,NRIP1
EP300,H2AFB1
EP300,GATAD2B
EP300,POU2F1
EP300,POLR2J
EP300,TNF
EP300,H2BFS
EP300,H2AFZ
EP300,HIST1H2BJ
EP300,TNRC6B
EP300,IL1B
EP300,SUMO1
EP300,IFNB1
EP300,NR1H3
EP300,LIG3
EP300,SUZ12
EP300,GATA3
EP300,NOS3
EP300,MOV10
EP300,POLR2H
EP300,HIST1H2AJ
EP300,RBBP4
EP300,MTA2
EP300,FABP1
EP300,POLR2E
EP300,ME1
EP300,MBD3
EP300,POLR2B
EP300,UBA52
EP300,KMT2D
EP300,HIST1H2BL
EP300,STAT4
EP300,HIST1H2AC
EP300,POLR2G
EP300,HIST1H2BD
EP300,H2AFX
EP300,HIST1H2AD
EP300,HIST1H2BM
EP300,LDHA
EP300,HIST1H2BN
EP300,HOXB3
EP300,POLR2L
EP300,HSD17B4
EP300,H2AFJ
EP300,POLR2D
EP300,UBB
EP300,TNRC6C
EP300,TAF1
EP300,HIST1H2BH
EP300,HSP90AA1
EP300,HSP90AB1
EP300,RPS27A
EP300,TNRC6A
EP300,KDM6A
EP300,GATAD2A
EP300,HIST1H2BK
EP300,GTF2A1
EP300,PRKACB
EP300,HIST1H2BA
EP300,MED1
EP300,POLR2F
EP300,POLR2K
EP300,HIST1H2BO
EP300,LPL
EP300,HDAC9
EP300,GTF3A
EP300,SMARCA4
EP300,H2AFV
EP300,VEGFA
EP300,PML
EP300,RBBP7
EP300,GTF2E1
APOB,SMAD3
APOB,HRAS
APOB,EGFR
APOB,APOB
APOB,VCP
APOB,M6PR
APOB,CFTR
APOB,DVL2
APOB,CD4
APOB,VAMP3
APOB,LGALS1
APOB,WASL
APOB,ARPC3
APOB,MAPK14
APOB,LDLRAP1
APOB,TACR1
APOB,LRP2
APOB,CBL
APOB,NECAP1
APOB,PIK3C2A
APOB,AVPR2
APOB,LDLR
APOB,INS
APOB,ITSN1
APOB,CLTA
APOB,HGS
APOB,EPN1
APOB,SH3GL3
APOB,GAPVD1
APOB,PTPN11
APOB,SLC2A8
APOB,PTPN6
APOB,ARPC4
APOB,SYT8
APOB,CD3G
APOB,UBC
APOB,EPS15L1
APOB,STAM2
APOB,IL7R
APOB,STON1
APOB,RAB5C
APOB,SYT9
APOB,FNBP1
APOB,SLC18A3
APOB,FABP1
APOB,SH3KBP1
APOB,SYT11
APOB,REPS1
