"V1","V2"
"MYO5A","regulation of Golgi organization"
"MYO5A","regulation of postsynaptic cytosolic calcium ion concentration"
"MYO5A","establishment of endoplasmic reticulum localization to postsynapse"
"MYO5A","glutamatergic synapse"
"MYO5A","postsynapse"
"MYO5A","disordered domain specific binding"
"MYO5A","protein localization to plasma membrane"
"MYO5A","extracellular exosome"
"MYO5A","recycling endosome"
"MYO5A","actin filament binding"
"MYO5A","synapse organization"
"MYO5A","hair follicle maturation"
"MYO5A","neuronal cell body"
"MYO5A","neuron projection"
"MYO5A","identical protein binding"
"MYO5A","long-chain fatty acid biosynthetic process"
"MYO5A","actomyosin"
"MYO5A","myelination"
"MYO5A","odontogenesis"
"MYO5A","melanosome"
"MYO5A","melanin biosynthetic process"
"MYO5A","microtubule plus-end"
"MYO5A","cellular response to insulin stimulus"
"MYO5A","insulin-responsive compartment"
"MYO5A","filopodium tip"
"MYO5A","melanosome transport"
"MYO5A","secretory granule localization"
"MYO5A","locomotion involved in locomotory behavior"
"MYO5A","vesicle"
"MYO5A","regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"MYO5A","actin-dependent ATPase activity"
"MYO5A","growth cone"
"MYO5A","melanocyte differentiation"
"MYO5A","insulin secretion"
"MYO5A","vesicle transport along actin filament"
"MYO5A","actin filament-based movement"
"MYO5A","Rab GTPase binding"
"MYO5A","unconventional myosin complex"
"MYO5A","vesicle-mediated transport"
"MYO5A","membrane"
"MYO5A","actin cytoskeleton"
"MYO5A","visual perception"
"MYO5A","chemical synaptic transmission"
"MYO5A","actin filament organization"
"MYO5A","post-Golgi vesicle-mediated transport"
"MYO5A","exocytosis"
"MYO5A","actin filament"
"MYO5A","intermediate filament"
"MYO5A","cytosol"
"MYO5A","Golgi apparatus"
"MYO5A","smooth endoplasmic reticulum"
"MYO5A","endoplasmic reticulum"
"MYO5A","peroxisome"
"MYO5A","late endosome"
"MYO5A","early endosome"
"MYO5A","lysosome"
"MYO5A","cytoplasm"
"MYO5A","cell"
"MYO5A","ATP binding"
"MYO5A","calmodulin binding"
"MYO5A","protein binding"
"MYO5A","calcium ion binding"
"MYO5A","RNA binding"
"MYO5A","photoreceptor outer segment"
"MYO5A","ruffle"
"MYO5A","microfilament motor activity"
"SRSF7","cellular response to leukemia inhibitory factor"
"SRSF7","extracellular exosome"
"SRSF7","negative regulation of mRNA splicing, via spliceosome"
"SRSF7","mRNA cis splicing, via spliceosome"
"SRSF7","mRNA 3'-end processing"
"SRSF7","protein domain specific binding"
"SRSF7","nuclear speck"
"SRSF7","RNA splicing"
"SRSF7","zinc ion binding"
"SRSF7","mRNA export from nucleus"
"SRSF7","RNA export from nucleus"
"SRSF7","mRNA processing"
"SRSF7","cytoplasm"
"SRSF7","nucleoplasm"
"SRSF7","nucleus"
"SRSF7","protein binding"
"SRSF7","RNA binding"
"SRSF7","mRNA splicing, via spliceosome"
"SRSF7","regulation of alternative mRNA splicing, via spliceosome"
"CDC25C","positive regulation of G2/MI transition of meiotic cell cycle"
"CDC25C","cell division"
"CDC25C","WW domain binding"
"CDC25C","positive regulation of mitotic cell cycle"
"CDC25C","peptidyl-tyrosine dephosphorylation"
"CDC25C","protein kinase binding"
"CDC25C","nuclear speck"
"CDC25C","viral process"
