"node","type"
"337041.VE5_HPV16",0
"337041.VE7_HPV16",0
"337041.VE2_HPV16",0
"337041.VE6_HPV16",0
"IRF1",1
"CDC25B",1
"CDK4",1
"TOPBP1",1
"CDH1",1
"E2F3",1
"BRD4",1
"CDK2",1
"RB1",1
"TP53",1
"EGFR",1
"ATM",1
"UBTF",1
"PTGER4",1
"CDC25A",1
"CXCL8",1
"TERT",1
"SIVA1",1
"HSP90AA1",1
"CXCL14",1
"RBP3",1
"DLG1",1
"CASP8",1
"PTGS2",1
"JUN",1
"CDC5L",1
"HDAC1",1
"RBL1",1
"TP73",1
"E2F4",1
"CDK1",1
"DEK",1
"DDX3X",1
"ARHGAP35",1
"BCAP31",1
"E2F5",1
"TNF",1
"HDAC9",1
"IL10",1
"HDAC2",1
"tRNA binding",6
"DNA damage checkpoint",6
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G1/S transition of mitotic cell cycle",6
"regulation of transcription involved in G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"histone deacetylase complex",6
"negative regulation of transcription by RNA polymerase II",6
"Golgi membrane",6
"MAPK cascade",6
"activation of MAPKKK activity",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"microtubule cytoskeleton organization",6
"nuclear chromosome",6
"mitotic cell cycle",6
"magnesium ion binding",6
"cyclin-dependent protein kinase holoenzyme complex",6
"telomerase catalytic core complex",6
"mRNA splicing, via spliceosome",6
"telomere maintenance",6
"double-strand break repair via homologous recombination",6
"DNA double-strand break processing",6
"DNA strand renaturation",6
"chromosome, telomeric region",6
"nuclear telomere cap complex",6
"nuclear chromosome, telomeric region",6
"chromatin",6
"nuclear chromatin",6
"heterochromatin",6
"condensed chromosome",6
"condensed nuclear chromosome",6
"X chromosome",6
"Y chromosome",6
"cell morphogenesis",6
"spindle pole",6
"Prp19 complex",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region DNA binding",6
"core promoter sequence-specific DNA binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"RNA polymerase II activating transcription factor binding",6
