"node","type"
"11983.CAPSD_NVN68",0
"11983.PRO_0000341618",0
"11983.PRO_0000341621",0
"HSP90AA1",1
"VAPA",1
"EIF4E",1
"G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"Golgi membrane",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"P-body",6
"behavioral fear response",6
"positive regulation of protein phosphorylation",6
"RNA binding",6
"translation initiation factor activity",6
"protein binding",6
"ATP binding",6
"extracellular region",6
"nucleus",6
"nucleoplasm",6
"cytoplasm",6
"endoplasmic reticulum",6
"endoplasmic reticulum membrane",6
"cytosol",6
"mRNA cap binding complex",6
"plasma membrane",6
"bicellular tight junction",6
"RNA export from nucleus",6
"mRNA export from nucleus",6
"translational initiation",6
"regulation of translation",6
"protein folding",6
"mitochondrial transport",6
"endoplasmic reticulum to Golgi vesicle-mediated transport",6
"receptor-mediated endocytosis",6
"response to unfolded protein",6
"telomere maintenance via telomerase",6
"endoplasmic reticulum organization",6
"microtubule binding",6
"cell death",6
"response to heat",6
"response to cold",6
"cell surface",6
"regulation of G2/M transition of mitotic cell cycle",6
"cytoplasmic stress granule",6
"negative regulation of autophagy",6
"microtubule cytoskeleton",6
"membrane",6
"integral component of membrane",6
"viral process",6
"eukaryotic translation initiation factor 4F complex",6
"RISC complex",6
"ATPase activity",6
"negative regulation of translation",6
"cytokine-mediated signaling pathway",6
"stem cell population maintenance",6
"enzyme binding",6
"protein domain specific binding",6
"central nervous system neuron axonogenesis",6
"MHC class II protein complex binding",6
"establishment of cell polarity",6
"sphingolipid biosynthetic process",6
"nitric-oxide synthase regulator activity",6
"lung development",6
"TPR domain binding",6
"neuron projection development",6
"eukaryotic initiation factor 4G binding",6
"regulation of protein ubiquitination",6
"ubiquitin protein ligase binding",6
"nuclear membrane",6
"vesicle",6
"positive regulation of protein polymerization",6
"protein-containing complex",6
"positive regulation of peptidyl-serine phosphorylation",6
"FFAT motif binding",6
"chromatoid body",6
"cellular response to heat",6
"secretory granule lumen",6
"protein folding in endoplasmic reticulum",6
"azurophil granule membrane",6
"cytoplasmic ribonucleoprotein granule",6
"Fc-gamma receptor signaling pathway involved in phagocytosis",6
"ERBB2 signaling pathway",6
"protein refolding",6
"melanosome",6
"identical protein binding",6
"protein homodimerization activity",6
"histone deacetylase binding",6
"neuronal cell body",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"lysosomal lumen",6
"myelin sheath",6
"regulation of protein-containing complex assembly",6
"neutrophil degranulation",6
"protein unfolding",6
"dendritic growth cone",6
"axonal growth cone",6
"positive regulation by host of viral release from host cell",6
"negative regulation by host of viral genome replication",6
"positive regulation by host of viral genome replication",6
"protein insertion into mitochondrial outer membrane",6
"cadherin binding",6
"positive regulation of nitric oxide biosynthetic process",6
"negative regulation of neuron differentiation",6
"positive regulation of mitotic cell cycle",6
"response to antibiotic",6
"protein heterodimerization activity",6
"vascular endothelial growth factor receptor signaling pathway",6
"tau protein binding",6
"perinuclear region of cytoplasm",6
"axon extension",6
"protein stabilization",6
"regulation of nitric-oxide synthase activity",6
"GTPase binding",6
"unfolded protein binding",6
"chaperone-mediated protein complex assembly",6
"cofactor metabolic process",6
"positive regulation of protein kinase B signaling",6
"positive regulation of telomerase activity",6
"membrane fusion",6
"chaperone-mediated autophagy",6
"extracellular exosome",6
"DNA polymerase binding",6
"repressing transcription factor binding",6
"endoplasmic reticulum exit site",6
"protein localization to endoplasmic reticulum",6
"cellular response to dexamethasone stimulus",6
"endocytic vesicle lumen",6
"COPII-coated vesicle budding",6
"scaffold protein binding",6
"ciliary basal body-plasma membrane docking",6
"disordered domain specific binding",6
"glutamatergic synapse",6
"postsynaptic cytosol",6
"regulation of translation at postsynapse, modulating synaptic transmission",6
"regulation of cellular response to heat",6
"positive regulation of tau-protein kinase activity",6
"positive regulation of cellular protein catabolic process",6
"regulation of cellular protein localization",6
"ficolin-1-rich granule lumen",6
"telomerase holoenzyme complex assembly",6
"protein tyrosine kinase binding",6
