"node","type"
"11070.PRO_0000038000",0
"11070.PRO_0000038008",0
"11070.PRO_0000038005",0
"IRAK3",2
"PIK3CA",2
"PIK3CB",2
"CXCL8",2
"PIK3CG",2
"PIK3CD",2
"IFNB1",2
"EPHA2",2
"EGFR",2
"PIM1",2
"P4HA2",2
"BRAF",2
"ITGB1",2
"FN1",2
"GPSM3",2
"HRAS",2
"CALM1",2
"MYC",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"ACTN4",2
"CRK",2
"EP300",2
"BCAR1",2
"ESR1",2
"GRPR",2
"KRAS",2
"LRRFIP1",2
"KIAA1429",2
"APP",2
"EXOSC9",2
"GNAI2",2
"CD247",2
"CDC23",2
"CRP",2
"CDC37",2
"APPL1",2
"HMOX1",2
"CEBPB",2
"HDAC1",2
"CDK9",2
"EXOSC6",2
"EXOSC3",2
"INPPL1",2
"ARRB1",2
"PXN",2
"ESR2",2
"CFTR",2
"CDH1",2
"JUN",2
"DCP2",2
"MAP2K5",2
"IL23A",2
"IL12RB1",2
"AKT3",2
"BECN1",2
"ANAPC5",2
"PNPT1",2
"ARF1",2
"MTOR",2
"TP53",2
"NONO",2
"DDX5",2
"POLR2A",2
"CDC42",2
"ACTB",2
"GRB2",2
"FGF3",2
"LCK",2
"APEX1",2
"PCBP1",2
"HSP90AA1",2
"TNFRSF1A",2
"ACTA1",2
"EXOSC7",2
"MTNR1A",2
"APLNR",2
"IKBKB",2
"LPAR6",2
"CDC16",2
"CLTC",2
"SMAD2",2
"FRS2",2
"CHEK1",2
"CBL",2
"CACNG5",2
"S1PR5",2
"SHC1",2
"FCGR2A",2
"RPS27",2
"NEDD4L",2
"AKT1",2
"EXOSC5",2
"HDAC6",2
"EHMT2",2
"DVL3",2
"CTNNB1",2
"CREBBP",2
"PPP2CA",2
"FLT3",2
"KIT",2
"CDC25A",2
"MYH10",2
"SET",2
"RPTOR",2
"GNB1",2
"ACTN2",2
"CDC25B",2
"CNOT3",2
"ERBB4",2
"TNIP1",2
"CSK",2
"IGF1",2
"JAK2",2
"GNAI3",2
"ARID1A",2
"EPS8",2
"ETAA1",2
"EPB41L1",2
"ANXA1",2
"NRG1",2
"NR3C1",2
"GAPDH",2
