"node","type"
"11588.NSS_RVFVZ",0
"IFNB1",1
"adaptive immune response",6
"T cell activation involved in immune response",6
"B cell activation involved in immune response",6
"natural killer cell activation involved in immune response",6
"cytokine activity",6
"type I interferon receptor binding",6
"extracellular region",6
"extracellular space",6
"humoral immune response",6
"cell surface receptor signaling pathway",6
"blood coagulation",6
"chloramphenicol O-acetyltransferase activity",6
"response to virus",6
"cytokine-mediated signaling pathway",6
"natural killer cell activation",6
"B cell differentiation",6
"positive regulation of peptidyl-serine phosphorylation of STAT protein",6
"cellular response to interferon-beta",6
"B cell proliferation",6
"response to exogenous dsRNA",6
"negative regulation of viral genome replication",6
"positive regulation of innate immune response",6
"regulation of MHC class I biosynthetic process",6
"negative regulation of T cell differentiation",6
"positive regulation of transcription by RNA polymerase II",6
"defense response to virus",6
"type I interferon signaling pathway",6
"cellular response to exogenous dsRNA",6
"negative regulation of T-helper 2 cell cytokine production",6
"positive regulation of apoptotic signaling pathway",6
