source,target
STAT3,STAT3
STAT3,VEGFA
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,VCAM1
STAT3,STAT4
STAT3,TLR4
MAPK8,STAT3
MAPK8,SERPINB4
MAPK8,MAPK8
MAPK8,MYC
MAPK8,MAPK9
MAPK8,NFKB1
MAPK8,TLR2
MAPK8,VCAM1
MAPK8,TLR3
MAPK8,TLR1
MAPK8,MMP9
MAPK8,TLR4
MAPK8,TNF
MAPK8,MYD88
MAPK8,RELA
MAPK8,VEGFA
IL1A,IL1A
IL1A,NFKB1
IL1A,IL2
IL1A,IL4
IL1A,TLR2
IL1A,JUN
IL1A,TNF
IL1A,NFKB2
IL1A,IL1R1
IL1A,IL1B
IL1A,MYD88
IL1A,VCAM1
IL1A,STAT3
IL1A,RELA
IL1A,IL6
IL1A,SELE
NFKB1,NFKB2
NFKB1,STAT3
NFKB1,NFKB1
NFKB1,RELA
NFKB1,TLR5
NFKB1,TNF
NFKB1,NLRP3
NFKB1,TLR2
NFKB1,STAT4
NFKB1,TLR4
RELA,STAT3
RELA,RELA
RELA,TLR2
RELA,TLR4
RELA,STAT4
RELA,TLR5
RELA,TNF
AKT1,MAPK9
AKT1,MYC
AKT1,AKT1
AKT1,MAPK8
AKT1,CCL2
AKT1,NFKB1
AKT1,IL2
AKT1,TLR2
AKT1,MAPK3
AKT1,STAT3
AKT1,ICAM1
AKT1,IL18
AKT1,VCAM1
AKT1,CSF2
AKT1,CXCL8
AKT1,CASP3
AKT1,FASLG
AKT1,JUN
AKT1,CD40
AKT1,MMP9
AKT1,TLR4
AKT1,RELA
AKT1,IL6
AKT1,TNF
AKT1,IL10
AKT1,VEGFA
MEFV,NLRP3
MEFV,PYCARD
MEFV,NLRP1
MEFV,NLRP6
MEFV,NLRC4
CASK,IL18
TLR3,TNF
TLR3,TLR7
TLR3,TLR8
TLR4,TLR5
TLR4,TNF
TLR4,TLR7
TLR4,TLR6
TLR4,VEGFA
TLR5,TNF
TLR9,TNF
CCDC53,IL18
MAPK9,MAPK9
MAPK9,NFKB1
MAPK9,STAT3
MAPK9,RELA
PYCARD,PYCARD
MYD88,MYD88
MYD88,TLR9
MYD88,TLR4
MYD88,TLR7
MYD88,TLR5
MYD88,TLR3
MYD88,TLR2
MYD88,NFKB1
MYD88,TLR10
MYD88,TLR8
MYD88,NLRP3
MYD88,TLR1
MYD88,NFKB2
MYD88,RELA
MYD88,TLR6
MYD88,TNF
MYC,RELA
MYC,NFKB2
MYC,SERPINB4
MYC,MYC
MYC,SHMT2
MYC,STAT3
MYC,TNF
MYC,VEGFA
JUN,RELA
JUN,MAPK3
JUN,STAT4
JUN,MAPK9
JUN,MAPK8
JUN,MYC
JUN,JUN
JUN,STAT3
JUN,NFKB1
JUN,TNF
JUN,MMP9
JUN,TLR4
JUN,VEGFA
CD40,CD40
CD40,NFKB1
CD40,IL2
CD40,CD69
CD40,IFNG
CD40,IL4
CD40,TLR2
CD40,ICAM1
CD40,IL18
CD40,IL15
CD40,TLR3
CD40,CSF2
CD40,CXCL8
CD40,IL17A
CD40,TLR9
CD40,FASLG
CD40,MAPK8
CD40,TNF
CD40,IL10
CD40,TLR4
