source,target
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAP3K3
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,SPAG9
MAP2K4,MAP3K4
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K2
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,UBB
MAP2K4,UBE2N
MAP2K4,TNIP2
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,MINK1
MAP2K4,TAB2
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,TRAF6
MAP2K4,PPP2R5D
MYPN,XPO1
MYPN,TRIM25
MYPN,PPP1CC
ACVR1,CD320
ACVR1,SMAD7
ACVR1,ATM
ACVR1,TGFBRAP1
ACVR1,ACVR1
ACVR1,RNF4
ACVR1,USP15
ACVR1,BMP6
ACVR1,FBXO7
ACVR1,BMPR1A
ACVR1,TGFBR2
ACVR1,SMAD5
ACVR1,SMAD1
ACVR1,KIAA1429
ACVR1,TNFRSF10A
ACVR1,STIP1
ACVR1,BMP7
ACVR1,SMURF1
ACVR1,SMAD3
ACVR1,SMAD4
PML,SYNE2
PML,RANBP2
PML,SP100
PML,USP7
PML,TDG
PML,SUMO1
PML,RNF4
PML,TOPBP1
PML,RARA
PML,SUMO2
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,SIRT1
PML,RPL11
PML,RUNX1
PML,SNRNP40
PML,TBC1D14
PML,SETDB1
PML,ZMYM2
PML,POLR2E
PML,TERF2IP
PML,TERT
PML,SIN3A
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,SAP25
PML,STAT3
PML,WDR5
PML,RFC4
PML,SMARCA4
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,SMAD3
PML,RXRA
PML,RPL5
PML,RNF123
PML,USP11
PML,STAT2
PML,PPARG
PML,TOMM20
PML,SKI
PML,RBCK1
PML,TGFB1
PML,TRIM21
PML,SMAD7
PML,SMURF2
PML,RPTOR
PML,TRIM29
PML,RAE1
PML,TRIM5
PML,SMURF1
PML,TGFBR2
PML,TGFBR1
PML,POM121
PML,TRIM26
PML,UBC
PML,RBBP4
PML,TRIM8
PML,VCAM1
PML,UBA52
PML,TRIM10
PML,PTAFR
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,RPS27A
PML,STRAP
PML,TRIM14
RPA2,RPL15
RPA2,RPLP1
RPA2,SEC22B
RPA2,SFPQ
RPA2,RPLP0
RPA2,TUBA4A
RPA2,SNRPB
RPA2,VCP
RPA2,TUBB4B
RPA2,RPRD2
RPA2,STAT3
RPA2,RPL6
RPA2,WRN
RPA2,ZUFSP
RPA2,RPL19
RPA2,WDR3
RPA2,XRN1
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,SPTBN1
RPA2,TIPIN
RPA2,SMC1A
RPA2,TAGLN2
RPA2,WDR82
RPA2,SMARCAL1
RPA2,SNAI1
RPA2,TOP3A
RPA2,TAF15
RPA2,SPTAN1
RPA2,TPM2
RPA2,TERF2
RPA2,SMC3
RPA2,RPS8
RPA2,TMEM33
RPA2,XPC
RPA2,YTHDF1
RPA2,SSRP1
RPA2,SKIV2L2
RPA2,TLE1
RPA2,TP53BP1
RPA2,RTEL1
RPA2,TRIM28
RPA2,RPA3
RPA2,RUVBL2
RPA2,XRCC1
RPA2,TUBB2A
RPA2,YTHDF3
RPA2,SNRNP40
RPA2,SF3B3
RPA2,XRN2
RPA2,TIAL1
RPA2,RPL18
RPA2,RPS9
RPA2,YAP1
RPA2,SCAMP3
RPA2,RPL9
RPA2,USP7
RPA2,WDHD1
RPA2,YTHDF2
RPA2,TPD52L2
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,TSR1
RPA2,ZCCHC8
RPA2,SYNCRIP
RPA2,WAPAL
RPA2,RPS5
RPA2,RPS7
RPA2,SERPINB12
RPA2,XRCC5
RPA2,XPA
RPA2,RPRD1B
RPA2,SUPT16H
RPA2,UTP14A
RPA2,SMARCA5
RPA2,SMC4
RPA2,RTN4
RPA2,RPL18A
RPA2,TCOF1
RPA2,ZFR
RPA2,RPS3A
RPA2,TFRC
RPA2,ZNF598
RPA2,RPL13A
RPA2,TARDBP
RPA2,WDR76
RPA2,SF3B2
RPA2,RRM2B
RPA2,TEX15
RPA2,TOPBP1
RPA2,ZRANB3
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP1
RPA2,XRCC2
RPA2,RRM2
RPA2,ZNF830
RPA2,SPO11
RPA2,YWHAZ
RPA2,SUMO2
RPA2,SUMO1
RPA2,TIMELESS
RPA2,UBE2V2
RPA2,USP10
RPA2,UBA52
RPA2,TCEA1
RPA2,XRCC3
STAT3,TRAF6
STAT3,TRIM28
STAT3,TRIM59
STAT3,STAT6
STAT3,STAT5B
STAT3,USP22
STAT3,TRIM25
STAT3,TBCD
STAT3,TDG
STAT3,ZFHX3
STAT3,TCEAL1
STAT3,STAT3
STAT3,SYK
STAT3,ZC3H7A
STAT3,TBC1D15
STAT3,TNFRSF1A
STAT3,TGFB1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,SUZ12
STAT3,VCAM1
STAT3,VIM
STAT3,TP53
STAT3,ZMYM2
STAT3,TLR4
STAT3,ZEB1
ARF3,ELAVL1
ARF3,PHB
ARF3,GGA1
ARF3,HIF1A
ARF3,ITGA4
ARF3,SCYL1
ARF3,BICD2
ARF3,SIRT7
ARF3,ESR2
ARF3,HNRNPA1
ARF3,FAF2
ARF3,TRIM25
ARF3,MMS19
ARF3,GGA2
ARF3,CDC73
ARF3,CLN3
ARF3,ATN1
ARF3,BSG
ARF3,NR2C2
ARF3,FOXA1
ARF3,TFDP1
ARF3,COPB1
ARF3,SPTBN2
ARF3,KIF21A
ARF3,TMED7
ARF3,ARFGAP1
ARF3,KLC1
ARF3,KIF2B
ARF3,KDELR2
ARF3,TMED10
ARF3,DYNC1I2
ARF3,CYTH3
ARF3,CAPZB
ARF3,IQSEC2
ARF3,DYNC1LI1
ARF3,COPA
ARF3,IQSEC1
ARF3,KIF20A
ARF3,PI4KB
ARF3,DYNC1I1
ARF3,CAPZA2
ARF3,CENPE
ARF3,DCTN4
ARF3,DYNC1LI2
ARF3,TMED9
ARF3,CD55
ARF3,SPTAN1
ARF3,KIF18A
ARF3,DYNC1H1
ARF3,SPTBN1
ARF3,KIF5B
ARF3,COPB2
ARF3,KIF2C
ARF3,KIF1C
ARF3,DYNLL2
ARF3,COPG2
ARF3,COPG1
ARF3,DYNLL1
ARF3,ARFGAP2
ARF3,KIF2A
ARF3,SEC22B
ARF3,ARFGAP3
ARF3,COPZ1
ARF3,COPE
ARF3,DCTN1
XRN1,ZNF131
XRN1,ZFP36
XRN1,ZC3H7A
XRN1,ZFP36L1
XRN1,XRN2
ALDOA,GAPDH
ALDOA,GLO1
ALDOA,TERF1
ALDOA,MLH1
ALDOA,SUZ12
ALDOA,PKM
ALDOA,BCAT2
ALDOA,GPX4
ALDOA,ECHS1
ALDOA,CFTR
ALDOA,ITGA4
ALDOA,FUS
ALDOA,CDC34
ALDOA,LIG4
ALDOA,USP15
ALDOA,TGFBR2
ALDOA,NCAPH
ALDOA,WDR77
ALDOA,ISYNA1
ALDOA,TNPO3
ALDOA,PGK1
ALDOA,SOD2
ALDOA,HSPD1
ALDOA,MDH2
ALDOA,TAGLN2
ALDOA,SUMO2
ALDOA,ATXN3
ALDOA,ASS1
ALDOA,MAP2K7
ALDOA,PCNA
ALDOA,MYC
ALDOA,CS
ALDOA,HUWE1
ALDOA,SOAT1
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,KRAS
ALDOA,ESR2
ALDOA,FN1
ALDOA,PIH1D1
ALDOA,HNRNPA1
ALDOA,APEX1
ALDOA,RAD52
ALDOA,HSP90AB1
ALDOA,VCAM1
ALDOA,TRIM25
ALDOA,PIAS4
ALDOA,ANXA1
ALDOA,H2AFX
ALDOA,EGFR
ALDOA,PLD2
ALDOA,KIAA1429
ALDOA,CDC73
ALDOA,PSMA3
ALDOA,IMPA2
ALDOA,JUP
ALDOA,MCM2
ALDOA,RNF4
ALDOA,IQCB1
ALDOA,SLC15A3
ALDOA,RECQL4
ALDOA,CDK2
ALDOA,HDAC5
ALDOA,EFTUD2
ALDOA,LDHA
ALDOA,CDH1
ALDOA,PGAM2
ALDOA,SRPK2
ALDOA,ENO1
ALDOA,ATF2
ALDOA,ISG15
ALDOA,LINC01554
ALDOA,XRN1
ALDOA,PRPF8
ALDOA,HSP90AA1
ALDOA,ALDOA
ALDOA,TALDO1
ALDOA,TGFB1
ALDOA,TPI1
ALDOA,CTSD
ALDOA,LYZ
ALDOA,TIMP2
ALDOA,APP
ALDOA,CLU
ALDOA,GYS1
ALDOA,PFKM
ALDOA,ILF2
ALDOA,QSOX1
ALDOA,PGAM1
ALDOA,SPTAN1
ALDOA,MAGED2
ALDOA,CDA
ALDOA,PDHA1
ALDOA,PFKP
ALDOA,G6PD
ALDOA,PROS1
ALDOA,DAK
ALDOA,LDHB
ALDOA,ESR1
ALDOA,CYFIP1
ALDOA,B2M
ALDOA,FAM49B
APP,HIST1H2BM
APP,TIPIN
APP,MRPL3
APP,WDR5
APP,GTF2E2
APP,DEDD
APP,ZFYVE1
APP,ATG12
APP,EPS8L2
APP,TAB2
APP,SLX4
APP,RBM39
APP,KAT5
APP,IFIT3
APP,UPF3A
APP,CSTF2
