source,target
PML,U2SURP
PML,SH3GL2
PML,ANAPC10
PML,NEDD4L
PML,S1PR1
PML,NFKB1
PML,NUP133
PML,TRA2B
PML,TP53
PML,MAPK6
PML,TGOLN2
PML,DLD
PML,ARHGDIA
PML,AASDHPPT
PML,RPA1
PML,NF2
PML,ZNF830
PML,DNMT1
PML,POR
PML,RPLP0
PML,H2AFX
PML,RPTOR
PML,CCT8
PML,PIK3R3
PML,KRT31
PML,CUL1
PML,CREG1
PML,CDC34
PML,CPSF4
PML,EDNRA
PML,ATP5C1
PML,PSMA5
PML,OXTR
PML,RIOK1
PML,SRC
PML,TAS2R8
PML,OXER1
PML,SCNM1
PML,SMC1A
PML,COMMD8
PML,CWC22
RPA2,TAS2R8
RPA2,SYMPK
RPA2,PIGR
RPA2,YAP1
RPA2,GOLT1B
RPA2,SUPV3L1
RPA2,PYGB
RPA2,POLRMT
RPA2,RAB4A
RPA2,SMC1A
RPA2,TRA2A
RPA2,CASP8
RPA2,LUM
RPA2,RPS8
RPA2,PCNA
RPA2,ERRFI1
RPA2,UBE2M
RPA2,HMOX1
RPA2,TFIP11
RPA2,U2AF2
RPA2,TRIM21
RPA2,HRAS
RPA2,MYC
RPA2,TUBA1A
RPA2,ASB5
RPA2,NLGN3
RPA2,PTPN11
RPA2,ECH1
RPA2,PDK1
RPA2,SH3GL2
RPA2,USP7
RPA2,TNF
RPA2,PICALM
RPA2,TOP2B
RPA2,SYNCRIP
RPA2,TRIM25
RPA2,FLOT1
RPA2,NUP107
RPA2,GNL3L
RPA2,CXCR6
RPA2,LRP1
RPA2,EGLN3
RPA2,ANAPC7
RPA2,TMPO
RPA2,IPO4
RPA2,DHX38
RPA2,KRT13
RPA2,ANAPC5
RPA2,UBE2B
RPA2,ESR2
RPA2,UBE2L6
RPA2,PCBP1
RPA2,FBXL16
RPA2,ZNF830
RPA2,TUBB3
RPA2,UBE2V2
RPA2,UBC
RPA2,RARA
RPA2,RNPS1
RPA2,VAMP2
RPA2,GNPAT
RPA2,FBXO7
RPA2,SNRPD3
RPA2,TP53
RPA2,LCA5
RPA2,CDC20
RPA2,TRIP13
RPA2,NR3C2
RPA2,DLEU1
RPA2,CDK6
RPA2,RPSA
RPA2,UBE3C
RPA2,PACSIN2
