source,target
RPA2,SNAI1
RPA2,TAF15
RPA2,TPM2
RPA2,TERF2
RPA2,RPA3
RPA2,RPS9
RPA2,TMPO
RPA2,YAP1
RPA2,TP53
RPA2,XRCC6
RPA2,SYNCRIP
RPA2,UBQLN2
RPA2,RPS7
RPA2,TARDBP
RPA2,SUMO2
ARRB2,PABPC1
ARRB2,HNRNPA1
ARRB2,RPA1
ARRB2,HDAC2
ARRB2,RPS7
ARRB2,PARK2
ARRB2,TMPO
ARRB2,SRPK2
ARRB2,CUL5
ARRB2,YWHAQ
ARRB2,XRCC6
ARRB2,EFTUD2
ARRB2,TRAF6
ARRB2,CSNK2A1
ARRB2,EIF4B
ARRB2,YBX1
ARRB2,HNRNPR
ARRB2,MAP2K1
ARRB2,CUL3
ARRB2,DHX15
ARRB2,NEDD4
ARRB2,DDX3X
ARRB2,XPO1
ARRB2,SRRM2
ARRB2,RPS3
ARRB2,NPM1
ARRB2,CD4
ARRB2,KRAS
ARRB2,IQGAP1
ARRB2,IL7R
ARRB2,UBQLN2
ARRB2,SND1
ARRB2,FN1
ARRB2,RAC1
ARRB2,LMNA
CTNNB1,FUS
CTNNB1,NPM1
CTNNB1,EZH2
CTNNB1,OBSL1
CTNNB1,LMNA
CTNNB1,YWHAQ
CTNNB1,GSK3A
CTNNB1,HDAC6
CTNNB1,ILK
CTNNB1,ESR1
CTNNB1,ITFG1
CTNNB1,PCBP1
CTNNB1,YAP1
CTNNB1,HDAC2
CTNNB1,XRCC6
CTNNB1,PRPF6
CTNNB1,TMPO
CTNNB1,CUL3
CTNNB1,SRRM2
CTNNB1,USP9X
CTNNB1,IQGAP1
CTNNB1,SP1
CTNNB1,PPP1CB
CTNNB1,ELAVL1
CTNNB1,SYNCRIP
CTNNB1,PARK2
CTNNB1,FBXW11
CTNNB1,SMAD3
CTNNB1,HIST1H4A
CTNNB1,PPIE
CTNNB1,RPS3
CTNNB1,PIN1
CTNNB1,CUL1
CTNNB1,RAC1
CTNNB1,KIAA1429
CTNNB1,MCM2
CTNNB1,RPA1
CTNNB1,UCHL3
CTNNB1,EWSR1
CTNNB1,GEMIN5
CTNNB1,NTRK1
CTNNB1,KRAS
CTNNB1,RBM39
CTNNB1,TARDBP
CTNNB1,G3BP1
CTNNB1,CYLD
CTNNB1,RPS11
CTNNB1,EIF3J
CTNNB1,HNRNPA1
CTNNB1,RPS2
CTNNB1,TADA2A
CTNNB1,XPO1
CTNNB1,EFTUD2
CTNNB1,IMPDH2
CTNNB1,RUNX1
CTNNB1,SND1
CTNNB1,RPA2
CTNNB1,DHX9
CTNNB1,YBX1
CTNNB1,MATR3
CTNNB1,STAU1
CTNNB1,PABPC1
CTNNB1,EIF4A3
CTNNB1,DDX3X
CTNNB1,RBX1
CTNNB1,TGFB1
CTNNB1,SNAI1
CTNNB1,TP53
CTNNB1,IRF3
CTNNB1,PSME4
CTNNB1,FN1
CTNNB1,PRKCZ
CTNNB1,MED12
MCM2,RPA2
MCM2,SYNCRIP
MCM2,RPS23
MCM2,XPO1
MCM2,TAF15
MCM2,PHB
MCM2,RPA1
MCM2,VCAM1
MCM2,TBK1
MCM2,MED12
MCM2,TNIP2
MCM2,RPS11
MCM2,NTRK1
MCM2,TARDBP
MCM2,RPS7
MCM2,PABPC1
MCM2,NPM1
MCM2,PCBP1
MCM2,USP9X
MCM2,RPS3
MCM2,NR2C2
MCM2,RPA3
MCM2,RPS9
MCM2,MCM2
MCM2,TPR
MCM2,STAU1
MCM2,XRCC6
MCM2,RECQL4
MCM2,OBSL1
MCM2,U2AF2
MCM2,PUF60
MCM2,YWHAQ
MCM2,SUZ12
MCM2,SND1
MCM2,SNRPA1
MCM2,RAD21
RPA1,TRIM14
RPA1,TP53
RPA1,SMAD3
RPA1,TRIP4
RPA1,TERF2
RPA1,RPA2
RPA1,RPS7
RPA1,XRCC6
RPA1,RUNX1
RPA1,TMPO
RPA1,SNAI1
RPA1,TPM2
RPA1,RPS9
RPA1,TAF15
RPA1,YAP1
RPA1,SYNCRIP
RPA1,RPA1
RPA1,RPA3
RPA1,TARDBP
RPA1,SUMO2
RPA3,TPM2
RPA3,RPS9
RPA3,SYNCRIP
RPA3,TNIP2
RPA3,TERF2
RPA3,RPS7
RPA3,TRIM14
RPA3,XRCC6
RPA3,TAF15
RPA3,TMPO
RPA3,TARDBP
RPA3,VHL
RPA3,RPA3
RPA3,TP53
RPA3,SUMO2
CDK2,DDX3X
CDK2,NR2C2
CDK2,SYNCRIP
CDK2,EIF4A3
CDK2,PHB
CDK2,TP53
CDK2,DHX9
CDK2,EIF3H
