source,target
ACTN2,GPER1
ACTN2,POLR2E
ACTN2,ORM2
ACTN2,USP14
ACTN2,UBE2D1
ACTN2,POLR2A
ACTN2,TP53BP1
ACTN2,GNG8
ACTN2,KLHL2
ACTN2,RPS17
ACTN2,RRP1B
ACTN2,CDC25C
ACTN2,RAB11A
ACTN2,RPS6KB1
ACTN2,RELA
ACTN2,COMMD5
ACTN2,SRPR
ACTN2,RBBP4
ACTN2,KLHL5
ACTN2,SLMAP
ACTN2,EPRS
ACTN2,NIPSNAP1
ACTN2,INSL3
ACTN2,SNAI1
ACTN2,ESR2
ACTN2,IQGAP1
ACTN2,NLE1
ACTN2,YAP1
ACTN2,LPAR2
ACTN2,DHX16
ACTN2,APOBEC3B
ACTN2,PPAP2C
ACTN2,SH3KBP1
ACTN2,LNX2
ACTN2,PTGER1
ACTN2,POLA1
ACTN2,IL10
ACTN2,HSPA1L
ACTN2,DCAF7
ACTN2,UBE3B
ACTN2,CAMKMT
ACTN2,OTX1
ACTN2,HNRNPD
ACTN2,RBX1
ACTN2,CDC7
ACTN2,TERF2
ACTN2,HIST1H2AM
ACTN2,CHRM4
ACTN2,MYC
ACTN2,RNPS1
ACTN2,RPS14
ACTN2,CCDC88A
ACTN2,FAM175A
ACTN2,PEBP1
ACTN2,SYT1
ACTN2,KRAS
ACTN2,SNAP23
ACTN2,PCF11
ACTN2,NPY5R
ACTN2,TRIM25
ACTN2,NDC80
ACTN2,SORBS2
ACTN2,SLC15A3
ACTN2,FBXO22
ACTN2,OGT
ACTN2,RPL4
ACTN2,YBX1
ACTN2,BIRC5
ACTN2,SOX2
ACTN2,TBP
ACTN2,SNCA
ACTN2,FBXL5
ACTN2,RHOA
ACTN2,XRCC6
ACTN2,TCTN3
ACTN2,CYSLTR1
ACTN2,TRAP1
ACTN2,UBAC1
ACTN2,EZH2
ACTN2,RLN3
ACTN2,TACC3
ACTN2,RBM8A
ACTN2,RNF4
ACTN2,WDR33
ACTN2,MOV10
ACTN2,RNF2
ACTN2,CCDC22
ACTN2,SH3RF1
ACTN2,HNRNPK
ACTN2,SLC25A12
ACTN2,KIF23
ACTN2,AR
ACTN2,BZRAP1
ACTN2,KNOP1
ACTN2,PDHB
PML,U2SURP
PML,VCP
PML,UBE3A
PML,PUF60
PML,SH3GL2
PML,ANAPC10
PML,NEDD4L
PML,SQSTM1
PML,QSOX1
PML,PTGS2
PML,CFL1
PML,NCOR1
PML,S1PR1
PML,BUB1
PML,NFKB1
PML,NUP133
PML,RPL11
PML,TRA2B
PML,ENO1
PML,KCTD7
PML,GNG13
PML,TP53
PML,MAPK6
PML,SLC25A3
PML,TGOLN2
PML,DLD
PML,ZNF232
PML,ARHGDIA
PML,AASDHPPT
PML,RPL7L1
PML,CEP63
PML,RPA1
PML,NF2
PML,ZNF830
PML,PPP5C
PML,DNMT1
PML,CACYBP
PML,RPL10A
PML,WDR5
PML,POR
PML,RPLP0
PML,H2AFX
PML,RPTOR
PML,CCT8
PML,TGFBR2
PML,PTEN
PML,GNG8
PML,PHB2
PML,XCR1
PML,PIK3R3
PML,SMAD3
PML,KRT31
PML,HEBP1
PML,MRPL22
PML,NMS
PML,CUL1
PML,CREG1
PML,RSL1D1
PML,PDPK1
PML,GNG12
PML,CDC34
PML,ELAVL1
PML,CPSF4
PML,EDNRA
PML,HBB
PML,SEC24B
PML,ATP5C1
PML,LRP2
PML,PSMA5
PML,OXTR
PML,RIOK1
PML,CHGB
PML,RASA1
PML,GNGT1
PML,ACADM
PML,TERT
PML,POLR2I
PML,SRC
PML,MRPL24
PML,TP73
PML,TAS2R8
PML,SNRPC
PML,FBXO2
PML,HAUS5
PML,OXER1
PML,IGF1R
PML,RPL13A
PML,SCNM1
PML,SMC1A
PML,FOXA1
PML,MCM2
PML,YWHAH
PML,COMMD8
PML,DHX9
PML,RUNX1
PML,CWC22
PML,MTM1
PML,KIF3C
PML,PTPRB
RPA2,TAS2R8
RPA2,RPS20
RPA2,GRM6
RPA2,BCL2
RPA2,SYMPK
RPA2,PIGR
RPA2,YAP1
RPA2,AGXT
RPA2,RBM4
RPA2,TUBB4B
RPA2,RRBP1
RPA2,SHMT2
RPA2,PABPN1
RPA2,GOLT1B
RPA2,RNF7
RPA2,SUPV3L1
RPA2,CYP1A1
RPA2,MTA2
RPA2,SRSF1
RPA2,RCC1
RPA2,PYGB
RPA2,PTGES3
RPA2,TOP2A
RPA2,POLRMT
RPA2,RAB4A
RPA2,SMARCAD1
RPA2,SMC1A
RPA2,ZDHHC17
RPA2,PIH1D1
RPA2,TRA2A
RPA2,DNTTIP2
RPA2,CASP8
RPA2,KCTD3
RPA2,HCAR3
RPA2,SOAT1
RPA2,LUM
RPA2,PCNA
RPA2,FOXM1
RPA2,ASCC1
RPA2,ERRFI1
RPA2,PSMA7
RPA2,TP53BP1
RPA2,UBE2M
RPA2,CCL13
RPA2,HMOX1
RPA2,TFIP11
RPA2,ARFGAP1
RPA2,OTX1
RPA2,MYO1B
RPA2,U2AF2
RPA2,TRIM21
RPA2,TACR1
RPA2,TIMM17B
RPA2,HRAS
RPA2,MYC
RPA2,PTGS2
RPA2,TUBA1A
RPA2,ASB5
RPA2,NLGN3
RPA2,CYLD
RPA2,TRIM71
RPA2,PTPN11
RPA2,ECH1
RPA2,PDK1
RPA2,SH3GL2
RPA2,USP7
RPA2,TNF
RPA2,PICALM
RPA2,TOP2B
RPA2,PDIA3
RPA2,RAB8B
RPA2,SYNCRIP
RPA2,UBE2E1
RPA2,GNGT1
