source,target
APPBP2,C1orf50
BRCA1,LGALS3
BRCA1,DYRK1A
BRCA1,DHX15
BRCA1,XIAP
BRCA1,JUP
BRCA1,POT1
BRCA1,CDK2
BRCA1,MCM2
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,MYC
BRCA1,BRCA1
BRCA1,GMPS
BRCA1,LDHB
BRCA1,CAPZB
BRCA1,EFTUD2
BRCA1,YWHAQ
BRCA1,TP73
BRCA1,DNMT1
BRCA1,TERF1
BRCA1,EWSR1
BRCA1,TPI1
BRCA1,FUS
BRCA1,PYGL
BRCA1,MSN
BRCA1,CAND1
BRCA1,HSPB1
BRCA1,RECQL4
BRCA1,H2AFV
BRCA1,CUL7
CTNNB1,FUS
CTNNB1,YWHAQ
CTNNB1,LDHB
CTNNB1,ITFG1
CTNNB1,MSN
CTNNB1,HUWE1
CTNNB1,CUL3
CTNNB1,MYC
CTNNB1,HSPB1
CTNNB1,GPC1
CTNNB1,PXN
CTNNB1,SHMT2
CTNNB1,JUP
CTNNB1,SIRT1
CTNNB1,CUL1
CTNNB1,MCM2
CTNNB1,EWSR1
CTNNB1,NTRK1
CTNNB1,TLE3
CTNNB1,EFTUD2
CTNNB1,LGALS3
CTNNB1,FOS
CTNNB1,H2AFV
CTNNB1,MYO6
MCM2,MSN
MCM2,NME1-NME2
MCM2,MYC
MCM2,SERPINB6
MCM2,NTRK1
MCM2,TERF1
MCM2,MCM2
MCM2,NME2
MCM2,PYGL
MCM2,RECQL4
MCM2,YWHAQ
MCM2,TPI1
MCM2,UBE2M
CDK2,MSN
CDK2,HK1
CDK2,UBE2M
CDK2,JUP
CDK2,DHX15
CDK2,CUL4B
CDK2,NTRK1
CDK2,PIH1D1
CDK2,NEDD8
CDK2,CTNNB1
CDK2,DNMT1
CDK2,LDHB
CDK2,FUS
CDK2,MCM2
CDK2,COPS5
CDK2,TP73
CDK2,MYC
CDK2,FH
CDK2,CDK2
CDK2,MYO6
CDK2,CUL1
CDK2,RECQL4
CDK2,YWHAQ
CDK2,EFTUD2
CDK2,TPI1
CDK2,HEXIM1
CDK2,SIRT1
ATF2,HSPB1
ATF2,TPI1
ATF2,FOS
ATF2,CTNNB1
ATF2,SHMT2
ATF2,FH
ATF2,LDHB
ATF2,CUL3
ATF2,ATF2
ATF2,HK1
ATF2,HDAC5
ATF2,BRCA1
ATF2,H2AFV
FOS,SIRT1
FOS,FOS
FOS,MYC
FOS,H2AFV
NTRK1,TLE3
NTRK1,NTRK1
