source,target
FLNC,KRT31
FLNC,LPAR6
FLNC,PPIL4
FLNC,CHRM5
FLNC,GTF3C4
FLNC,PPP2R5C
FLNC,HNRNPH1
FLNC,FGA
FLNC,KRAS
FLNC,BSG
FLNC,SUPT5H
FLNC,CEP128
FLNC,FGFR3
FLNC,RAF1
FLNC,VDAC1
FLNC,DNAH10
FLNC,MBIP
FLNC,HERC5
FLNC,SLC15A3
FLNC,PCCB
FLNC,GNL2
FLNC,ZBTB38
FLNC,ROBO1
FLNC,SNRPN
FLNC,RBM4
FLNC,PPP3CA
FLNC,RPL9
FLNC,MAPK14
FLNC,SHMT2
FLNC,SF3B3
FLNC,HSP90AB1
FLNC,TRIM25
FLNC,KIF11
FLNC,UBE3B
FLNC,SNRNP27
FLNC,UBB
ACVR1,NEB
ACVR1,TAS2R16
ACVR1,PLCG1
ACVR1,GAPDH
ACVR1,CCNT1
ACVR1,APP
ACVR1,SIRT7
ACVR1,JUND
ACVR1,PTPRD
ACVR1,HIST1H2BN
ACVR1,PIK3CA
ACVR1,TPT1
ACVR1,CACNG2
ACVR1,WDR5
ACVR1,NR2E1
ACVR1,SNRNP70
ACVR1,SMARCA5
ACVR1,UBB
ACVR1,CXCL12
STAT3,PRPF8
STAT3,QSOX1
STAT3,AIFM1
STAT3,TMEM63A
STAT3,VAV2
STAT3,NTRK1
STAT3,NUMB
STAT3,YWHAG
STAT3,MRPL2
STAT3,BRAF
STAT3,UBA52
STAT3,RPP25
STAT3,RHOA
STAT3,RAN
STAT3,PPP2CA
STAT3,NMUR1
STAT3,TRIM11
STAT3,YKT6
STAT3,UBE2M
STAT3,MAPK1
STAT3,FZR1
STAT3,REEP1
STAT3,HSPA1L
STAT3,VLDLR
STAT3,MRPL13
STAT3,TES
STAT3,MRPL11
STAT3,UIMC1
STAT3,EIF4B
STAT3,RPS6
STAT3,KIAA1429
STAT3,PROS1
STAT3,HNRNPC
STAT3,INHBE
STAT3,TPD52
STAT3,TOM1
STAT3,ABCE1
STAT3,RPS13
STAT3,FOXA1
STAT3,RAB37
STAT3,RNF123
STAT3,DEF8
STAT3,FN1
STAT3,PPBP
STAT3,TCTN2
STAT3,UBR5
STAT3,SMC6
STAT3,UQCC2
STAT3,TAS1R2
STAT3,SPSB4
STAT3,MRPL34
STAT3,MRPS27
STAT3,MED30
STAT3,GSK3A
STAT3,RPS21
STAT3,NEDD4L
STAT3,PPP1CC
STAT3,AATF
STAT3,ASB13
STAT3,ANXA1
STAT3,RPL38
STAT3,UBC
STAT3,KRTAP10-5
STAT3,POLR2K
STAT3,STAM
STAT3,CDK19
STAT3,TMPO
STAT3,ADORA3
STAT3,MARS
STAT3,FCER1G
STAT3,SIRT6
STAT3,DZIP3
STAT3,PPP2CB
STAT3,EIF4A3
STAT3,ZNF688
STAT3,XPO1
STAT3,UTP18
STAT3,RPL6
STAT3,HIST1H2BA
STAT3,SSH1
STAT3,GNG5
STAT3,TAS2R38
STAT3,SDHB
STAT3,ZNRF2
STAT3,U2AF2
STAT3,NOP14
STAT3,RECQL4
STAT3,GRM1
STAT3,LIPG
STAT3,DNMT3B
STAT3,KLHL20
STAT3,SSTR3
STAT3,TBP
STAT3,EWSR1
STAT3,TAS2R39
STAT3,ZNF645
STAT3,PHOSPHO1
STAT3,UBA6
STAT3,KLHL22
STAT3,SOS1
STAT3,ELAVL1
STAT3,NEDD8
STAT3,ATP6AP2
STAT3,CTLA4
STAT3,CEP57
STAT3,UBE2H
STAT3,RB1
STAT3,TBX5
STAT3,LMNA
STAT3,VEGFC
STAT3,PPP2R5A
STAT3,RRP36
STAT3,DYNC1H1
ARFIP1,CDC16
ARFIP1,RAD51B
ARFIP1,GSTO1
ARFIP1,UQCRC2
ARFIP1,GNL1
ARFIP1,HIST1H3A
ARFIP1,FBXO6
ARFIP1,GNAI1
ARFIP1,NR2C2
ARFIP1,SART1
ARFIP1,ELAVL1
ARFIP1,QRFPR
ARFIP1,XPO5
ARFIP1,HTR1A
ARFIP1,ATP6V1F
ARFIP1,ILF2
ARFIP1,NIN
ARFIP1,UBE2B
APP,DYNLL2
APP,HIST1H2BM
APP,EIF3L
APP,KIF24
APP,HSPA8
APP,TRAPPC9
APP,ADAM10
APP,MRPL24
APP,HERC2
APP,NKX2-1
APP,GSTO1
APP,S100A11
APP,UTP14A
APP,IGF2
APP,GNG5
APP,IKBKAP
APP,BIRC3
APP,AREG
APP,SUZ12
APP,CREB1
APP,SOX2
APP,USP11
APP,TAAR9
APP,MRPS15
APP,HLA-A
APP,OXTR
APP,MYLK
APP,ANAPC1
APP,CHRM2
APP,HIST1H4H
APP,SF3B2
APP,PENK
APP,COMMD2
APP,EMG1
APP,KIF2C
APP,UBE3C
APP,HDAC3
APP,OSBP
APP,ANGPTL7
APP,HNRNPR
APP,ILF2
APP,MBOAT1
APP,CAT
APP,RPA3
APP,MCM2
APP,PHB2
APP,UBE2D2
APP,KRTAP10-3
APP,ZNF645
APP,SRSF3
APP,GID8
APP,KPNA2
APP,DRD5
APP,RTP5
APP,ARNT
APP,PHAX
APP,SNX3
APP,SYMPK
APP,SAMHD1
APP,UBE4A
APP,KMT2D
APP,CBWD1
APP,RHOBTB2
APP,RELA
APP,ZNF622
APP,HIST1H2AC
APP,EGLN3
APP,HSP90AA1
APP,EFTUD2
APP,CAPZA1
APP,RBPMS
APP,UBE2J2
APP,RBBP4
APP,WBP4
APP,CBL
APP,TGOLN2
APP,PAPOLA
APP,GPR83
APP,SERPINB3
APP,RPP14
APP,CSF3
APP,FPR3
APP,EIF3D
APP,LTN1
APP,GNAI2
APP,KIF11
APP,ELAVL1
APP,WDR5
APP,FBXW5
APP,NT5C3B
APP,RPL13
APP,SENP3
APP,C1QBP
APP,ATP6V1D
APP,CUL7
APP,POLR2L
APP,CUX1
APP,PPP2R3A
APP,PDE3B
APP,GPR39
APP,NTRK1
APP,NPPA
APP,STRN3
APP,DCUN1D1
APP,SYT9
APP,NAF1
APP,HLA-DQB1
APP,HDAC5
APP,UBTF
APP,HSPA1A
APP,CSK
APP,PPP2R5C
APP,EHMT1
APP,TEK
APP,MLKL
APP,FBXW10
APP,TGFBR2
APP,URB2
APP,NDC1
APP,NTPCR
APP,WNT5A
APP,CUL3
APP,SRPR
APP,MELK
APP,KRT20
APP,ASB5
APP,ITFG1
APP,TRIM23
APP,RPS16
APP,RBM39
APP,P2RX3
APP,FN1
APP,RC3H2
APP,IFNG
APP,SLC25A13
APP,TPD52
APP,ITGA4
APP,PIK3R1
APP,RPN2
APP,RBM4
APP,RAD51C
APP,ACO2
APP,GTSE1
APP,RNF2
APP,CYLD
APP,RAMP1
APP,RPS5
APP,COPS6
APP,SFN
APP,KLHL3
APP,FHL3
APP,CLTA
APP,SNW1
APP,ARF6
APP,VPS29
APP,RAD21
APP,ISL1
APP,PTBP1
APP,SH3KBP1
APP,SORT1
APP,PSMB5
APP,RPS28
APP,ETV5
APP,PSMD11
APP,CORT
APP,RPL23A
APP,NEK2
APP,HARS
APP,PRKAA1
APP,COLEC12
APP,PSIP1
APP,RPS24
APP,AP2M1
APP,ADRB1
APP,H3F3B
APP,HIST1H4F
APP,GNG4
APP,DDX23
APP,PSMB6
APP,PTPRC
APP,SRP54
APP,XPA
APP,C3
APP,CEP57
APP,TAF5
APP,PDHB
APP,CCR5
APP,HIST1H4L
APP,HSPB1
APP,FSTL3
APP,ATP4A
APP,REEP2
APP,SMCR8
APP,KLHL22
APP,FUS
APP,LRIF1
APP,LARP7
APP,G3BP1
APP,CPSF3
APP,SF3B5
APP,HTR2C
APP,SUB1
APP,AURKA
APP,QARS
APP,PLAUR
APP,HIST1H2BG
APP,PSME3
APP,RPS4X
APP,HIST2H3PS2
APP,ADSS
APP,GPR55
APP,HIST2H3A
APP,UNC93B1
APP,SND1
APP,NOTCH1
APP,TYMS
APP,PKLR
APP,TAS2R46
APP,GAB1
APP,ORC2
APP,GRWD1
APP,MAFB
APP,IPPK
APP,DCTN6
APP,RPL9
APP,ZFC3H1
APP,DDX39B
APP,PSMA4
APP,AVPR2
APP,TAS2R39
APP,PSME1
APP,XPO1
APP,RTP1
APP,DIAPH3
APP,COL1A2
APP,GRB2
APP,GNB2L1
APP,MRE11A
APP,RPS25
APP,OBSL1
APP,LMO2
APP,VIPR2
APP,GAMT
APP,NUP54
APP,GNB2
APP,TRIM25
APP,ASB2
APP,TESK2
APP,TACR1
APP,CRADD
APP,OXGR1
APP,LPAR6
APP,ELAVL2
APP,SNRPN
APP,TAS2R38
APP,PDGFB
APP,CDK5R1
APP,POLR1E
APP,YBX1
APP,HIST2H2BE
APP,GPR31
APP,COX4I1
APP,ERCC8
APP,RPS3
APP,SRPK2
APP,SQSTM1
APP,HCRTR2
APP,ATP5H
APP,HRH4
APP,PRKCA
APP,LAMB1
APP,HIST1H2BD
APP,STAT3
APP,TAS1R2
APP,ENSG00000272617
APP,GNB5
APP,PARK2
APP,SEC11C
APP,PRMT1
APP,TFAM
APP,PLK1
APP,XCL1
APP,KIF21B
APP,XRCC5
APP,TMPO
APP,VAV2
APP,MUC6
APP,SMC3
APP,PRKACA
APP,DYRK2
APP,TNF
APP,NMU
APP,TRIM71
APP,CCL4L1
APP,CLTC
APP,CDC34
APP,FBXO15
APP,PRKCI
APP,SEC11A
APP,ARCN1
APP,BRCA1
APP,HIST2H2AA
APP,USP7
APP,ADCYAP1R1
APP,CASR
APP,FBXO2
APP,QRFP
APP,NFATC1
APP,APP
APP,ECT2
APP,CCND1
APP,FFAR2
APP,ITGB1
APP,GNG11
APP,UBA5
APP,INSL5
APP,PAN2
APP,CEP120
APP,USP20
APP,CCR2
APP,NRAS
APP,RPS27A
APP,EXOSC7
APP,ZNF512
APP,GNL3L
APP,TEX10
APP,ESCO2
APP,ATRX
APP,DDX31
APP,GYS1
APP,HIST1H2BJ
APP,PI3
APP,PHF20L1
APP,RABL6
APP,ARIH1
APP,CAMKMT
APP,WDR82
APP,PSMB7
APP,UPF3B
APP,PSMG1
APP,MLH1
APP,CHEK2
APP,HDAC1
APP,AGTR1
APP,MIR106B
APP,PAXIP1
APP,USP14
APP,CTNNB1
APP,KBTBD6
APP,FAF1
APP,RANBP2
APP,NPBWR2
APP,EEF1D
APP,FANCI
APP,TRMT61B
APP,MYBPC1
APP,TPX2
APP,RNF31
APP,IL4R
APP,SCCPDH
APP,ATP6V1A
APP,GATAD2B
APP,ADCY2
APP,VEGFC
APP,SLCO4C1
APP,NMUR1
APP,C5orf60
APP,E2F1
APP,AKAP9
APP,TNKS2
APP,RPL3
APP,SIRT6
APP,CASP3
APP,FOXJ2
APP,ATG7
APP,SSBP1
APP,NR3C1
APP,APLNR
APP,ROBO2
APP,ERCC6L
APP,SH3GL2
APP,EDN1
APP,PSMF1
APP,NXF1
APP,KIF3A
APP,VDAC1
APP,IL6
APP,TJP2
APP,SLU7
APP,TAF9
APP,NAV1
APP,TMEM216
APP,CTR9
APP,CD93
APP,PPP2R5A
APP,FBXO7
APP,LY6G6D
APP,C2orf47
APP,SNRPE
APP,PPP2CA
APP,COL6A6
APP,CDH2
APP,CCL21
APP,KCTD7
APP,TMCO1
APP,MIR29B2
APP,ESR2
APP,DARS
APP,ZFAND2B
APP,UBR2
APP,FAM134B
APP,EIF3B
APP,SMARCA5
APP,CUL4A
APP,GPKOW
APP,ALDH7A1
APP,RIOK2
APP,MIRLET7A1
APP,SRPRB
APP,DDX10
APP,UBC
APP,CHTOP
APP,NLE1
APP,EEF1E1
APP,PICK1
APP,FBXO6
APP,POMC
