source,target
STAT3,NTRK1
STAT3,UBA52
STAT3,UBE2M
STAT3,HNRNPC
STAT3,EIF5
STAT3,SMC6
STAT3,YWHAB
STAT3,AATF
STAT3,ASB13
STAT3,SPRR1B
STAT3,UBC
STAT3,SRP14
STAT3,FTH1
STAT3,RECQL4
STAT3,UBA6
STAT3,NEDD8
EP300,NDUFS6
EP300,SIRT1
EP300,COL4A3
EP300,BARD1
EP300,RPS6KB2
EP300,RPS7
EP300,FANCD2
EP300,TUBG1
EP300,MCM7
EP300,MYC
EP300,SCRIB
EP300,LRRC59
EP300,RNF41
EP300,ITCH
EP300,ANLN
EP300,STAT3
EP300,SNRPD3
EP300,RPL3L
EP300,IGBP1
EP300,S1PR5
EP300,ESR2
EP300,NOP2
EP300,FBXW7
EP300,DMP1
EP300,IFIT2
EP300,SMAD3
EP300,GNAL
EP300,TRIM25
EP300,HNRNPD
EP300,SRRT
EP300,SOCS2
EP300,CUL5
EP300,PSMA5
EP300,CFTR
EP300,APEX1
EP300,SMCP
EP300,POLR2C
EP300,THBS1
EP300,MRPL20
EP300,OPRD1
EP300,HEXIM1
EP300,CDC34
EP300,FKBP9
EP300,RAF1
EP300,MRPS15
EP300,NDUFAF3
EP300,OCRL
ARRB2,TRIM25
ARRB2,KRT23
ARRB2,FBXO31
ARRB2,GPR18
ARRB2,HRAS
ARRB2,RECQL4
ARRB2,UBC
ARRB2,NTRK1
ARRB2,NUF2
ARRB2,RPS7
ARRB2,DCTN3
ARRB2,MRPS18A
ARRB2,SYNPO
ARRB2,GSK3B
ARRB2,CREBBP
ARRB2,PLCG1
ARRB2,HIST1H2AD
ARRB2,SRP14
ARRB2,PRMT5
ARRB2,IFI35
ARRB2,S1PR4
ARRB2,AURKA
ARRB2,RPL18
ARRB2,EP300
ARRB2,EFTUD2
ARRB2,ESR2
ARRB2,RELA
ARRB2,NHP2L1
ARRB2,FBXW12
ARRB2,CUL2
ARRB2,SMAD3
ARRB2,RPL13
ARRB2,HIST1H1A
ARRB2,NOP2
ARRB2,CDK9
ARRB2,OGT
ARRB2,NEFL
BARD1,OBSL1
BARD1,TSR1
BARD1,UBC
BARD1,RECQL4
BARD1,TK1
BARD1,RNF41
