"node","type"
"11320.PB2_I34A1",0
"11320.NRAM_I34A1",0
"11320.NEP_I34A1",0
"11320.NS1_I34A1",0
"11320.HEMA_I34A1",0
"11320.M2_I34A1",0
"11320.PB1F2_I34A1",0
"KRT23",1
"USP11",1
"SFXN3",1
"DNAJB1",1
"TFCP2",1
"DNAJB6",1
"PIK3CA",1
"GAS8",1
"TP53",1
"IFNAR1",1
"SFXN5",1
"PIK3CB",1
"CPSF4",1
"T",1
"HSPA4",1
"CXCL8",1
"DNAJB7",1
"CCL19",1
"SFXN1",1
"TRIM25",1
"PARP10",1
"HSP90AA1",1
"NLRP3",1
"CAV1",1
"DNAJB13",1
"CRKL",1
"ANXA6",1
"SFXN4",1
"SCRIB",1
"PIK3CG",1
"BECN1",1
"DHX9",1
"ADAR",1
"SFXN2",1
"NCR2",1
"PIK3CD",1
"ISG15",1
"DDX58",1
"SLC25A6",1
"XPO1",1
"AGFG1",1
"DNAJB5",1
"IKBKB",1
"autophagosome assembly",6
"ribosomal subunit export from nucleus",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"Golgi membrane",6
"activation of MAPKK activity",6
"activation of MAPK activity",6
"inactivation of MAPK activity",6
"alternative mRNA splicing, via spliceosome",6
"mRNA splicing, via spliceosome",6
"phagophore assembly site",6
"autophagy of mitochondrion",6
"mitophagy",6
"DNA strand renaturation",6
"kinetochore",6
"nuclear chromatin",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II complex binding",6
"core promoter sequence-specific DNA binding",6
"regulatory region RNA binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"angiogenesis",6
"regulation of cell growth",6
"blood vessel development",6
"vasculogenesis",6
"osteoblast differentiation",6
"urogenital system development",6
"response to hypoxia",6
"ATPase activator activity",6
"acrosome assembly",6
"in utero embryonic development",6
"neural crest cell migration",6
"somitogenesis",6
"neuron migration",6
"establishment of T cell polarity",6
"immunological synapse formation",6
"immunological synapse",6
"plasma membrane repair",6
"natural killer cell differentiation",6
"B cell apoptotic process",6
"phosphotyrosine residue binding",6
"phosphatidylserine binding",6
"cytokine production",6
"release of cytochrome c from mitochondria",6
"neural tube closure",6
"liver development",6
"positive regulation of receptor recycling",6
"negative regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
"vasculature development",6
"regulation of cell-matrix adhesion",6
"negative regulation of cytokine-mediated signaling pathway",6
"protease binding",6
"p53 binding",6
"acrosomal membrane",6
"caveolar macromolecular signaling complex",6
"stimulatory C-type lectin receptor signaling pathway",6
"positive regulation of defense response to virus by host",6
"response to molecule of bacterial origin",6
"hematopoietic progenitor cell differentiation",6
"adaptive immune response",6
"T cell proliferation involved in immune response",6
"B cell lineage commitment",6
"T cell lineage commitment",6
"cytokine secretion involved in immune response",6
"dendritic cell chemotaxis",6
"myeloid dendritic cell chemotaxis",6
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",6
"monocyte chemotaxis",6
"mast cell chemotaxis",6
"somatic diversification of immune receptors via somatic mutation",6
"positive regulation of dendritic cell antigen processing and presentation",6
"negative regulation of acute inflammatory response",6
"positive regulation of acute inflammatory response",6
"respiratory burst involved in defense response",6
"positive regulation of myeloid dendritic cell cytokine production",6
"MyD88-independent toll-like receptor signaling pathway",6
"positive regulation of type 2 immune response",6
"response to ischemia",6
"regulation of the force of heart contraction by chemical signal",6
"outflow tract morphogenesis",6
"epithelial cilium movement involved in extracellular fluid movement",6
"growth plate cartilage chondrocyte differentiation",6
"molecular_function",6
"DNA binding",6
"DNA helicase activity",6
"chromatin binding",6
"DNA replication origin binding",6
"double-stranded DNA binding",6
"single-stranded DNA binding",6
"DNA-binding transcription factor activity",6
"transcription coregulator activity",6
"transcription coactivator activity",6
"transcription corepressor activity",6
"RNA binding",6
"RNA helicase activity",6
"double-stranded RNA binding",6
"double-stranded RNA adenosine deaminase activity",6
"single-stranded RNA binding",6
"mRNA binding",6
"mRNA 3'-UTR binding",6
"NAD+ ADP-ribosyltransferase activity",6
"cysteine-type endopeptidase activity",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"thiol-dependent ubiquitin-specific protease activity",6
"transmembrane signaling receptor activity",6
"cytokine receptor activity",6
"type I interferon receptor activity",6
"nuclear export signal receptor activity",6
"SH3/SH2 adaptor activity",6
"GTPase activator activity",6
"signaling receptor binding",6
"patched binding",6
"interleukin-8 receptor binding",6
"integrin binding",6
"structural molecule activity",6
"calcium channel activity",6
"ATP:ADP antiporter activity",6
