source,target
APP,HIST1H2BM
APP,HMCES
APP,SLX4
APP,HSPA4
APP,DCTPP1
APP,SPC24
APP,KIF2C
APP,TANK
APP,HSP90AA1
APP,KPNA2
APP,CPEB1
APP,STUB1
APP,MYC
APP,ITGB3BP
APP,VCP
APP,PSMD11
APP,HIST2H2AC
APP,CHEK2
APP,PAK1
APP,CEP57
APP,PPP1CC
APP,TPT1
APP,CLU
APP,NOS1AP
APP,CSNK1D
APP,RNF2
APP,COPS5
APP,CENPI
APP,ZCCHC6
APP,RIOK2
APP,PARK2
APP,PDS5B
APP,PSMD4
APP,CSNK1E
APP,MTMR14
APP,KAT7
APP,FBXW11
APP,AURKA
APP,PPP6R2
APP,CDC20
APP,MAD2L1
APP,FANCM
APP,DCAF7
APP,CDCA7
APP,EME1
APP,GORASP2
APP,TUBG1
APP,ZWINT
APP,NDEL1
APP,HIST1H2BB
APP,TUBB
APP,MCM10
APP,CCDC115
APP,MDM2
APP,APP
APP,CCNB3
APP,NUSAP1
APP,RPS27A
APP,PSME1
APP,ZC3HC1
APP,CTNNB1
APP,CENPQ
APP,MCM7
APP,DNAJB9
APP,CDC7
APP,SNCA
APP,BOD1
APP,ORC3
APP,PRRC1
APP,KRAS
APP,PLK1
APP,MCM5
APP,NEDD9
APP,ZW10
APP,PPP2R4
APP,TK1
APP,HAUS6
APP,CDC25A
APP,KIFC1
APP,LPL
APP,HAUS8
APP,DNM2
APP,PSMA7
APP,LATS1
APP,TRIM25
APP,CHEK1
APP,NRAS
APP,PSMB4
APP,TBK1
APP,EGFR
APP,DLGAP5
APP,YWHAG
APP,EIF6
APP,CACNG3
APP,PSMC1
APP,AURKB
APP,MCM2
APP,CKAP2
APP,CEP250
APP,FBF1
APP,PSMA1
APP,TTK
APP,MZT2A
APP,DYNC1LI2
APP,KIF4A
APP,SKA3
APP,RAB1B
APP,ODF2
APP,CDCA3
APP,SNCB
APP,DSN1
APP,PPP2R5E
APP,PPID
APP,MAPRE1
APP,DDX17
APP,GSG2
APP,H2AFV
APP,NUAK1
APP,PPP2R5C
APP,PSME2
APP,PSMA5
APP,TMEM216
APP,PSMD5
APP,HIST1H2BA
APP,CENPT
APP,UBB
APP,CIRBP
APP,TP53
APP,NTRK1
APP,FOXO3
APP,RELA
EP300,GTF3C5
EP300,TP53BP1
EP300,HIST2H2BE
EP300,MCM4
EP300,TP63
EP300,HIST2H2AC
EP300,PSMD10
EP300,MDM2
EP300,NFATC2
EP300,NEDD1
EP300,TP73
EP300,GOLGA2
EP300,HSF1
EP300,MYC
EP300,RAB2A
EP300,TSG101
EP300,PIN1
EP300,RXRA
EP300,RAB1A
EP300,FBXL5
EP300,FOXO3
EP300,PPP2CA
EP300,SMC1A
EP300,RICTOR
EP300,PCNA
EP300,HDAC2
EP300,HIST1H2BB
EP300,FOXM1
EP300,PRKDC
EP300,KPNA2
EP300,SREBF1
EP300,MDC1
EP300,HIST3H3
EP300,MCM5
EP300,EP300
EP300,TRIM25
EP300,RELA
EP300,RAB1B
EP300,UBE2D1
EP300,MAGED1
EP300,MCM2
EP300,PPP2R5C
EP300,MCM3
EP300,MYBL2
EP300,SNW1
EP300,TP53
EP300,GTF3C3
EP300,TP53BP2
EP300,UBC
EP300,RECQL4
EP300,STAG2
EP300,SKP1
EP300,KRAS
EP300,H2AFB1
EP300,H2BFS
EP300,H2AFZ
EP300,HIST1H2BJ
EP300,SMC3
EP300,STAG1
EP300,HIST1H2AJ
EP300,RBBP4
EP300,UBA52
EP300,HIST1H2BL
EP300,ERCC4
EP300,HIST1H2AC
EP300,HIST1H2BD
EP300,H2AFX
EP300,HIST1H2AD
EP300,HIST1H2BM
EP300,HIST1H2BN
EP300,H2AFJ
EP300,UBB
EP300,HIST1H2BH
EP300,HSP90AA1
EP300,RPS27A
EP300,PLK1
EP300,HIST1H2BK
EP300,HIST1H2BA
EP300,MED1
EP300,HIST1H2BO
EP300,LPL
EP300,H2AFV
EP300,RAD21
BRCA1,RICTOR
BRCA1,MUS81
BRCA1,FBXO5
BRCA1,TP63
BRCA1,PSMA7
BRCA1,TP53
BRCA1,TACC3
BRCA1,KIF11
BRCA1,PSMC4
BRCA1,CDC5L
BRCA1,MDC1
BRCA1,NUP160
BRCA1,CDC16
BRCA1,TOPBP1
BRCA1,NINL
BRCA1,CDC25C
BRCA1,PSMD14
BRCA1,UBE2D1
BRCA1,RAD21
BRCA1,RBBP4
BRCA1,DCAF7
BRCA1,CCNB1
BRCA1,SMC1A
BRCA1,UBC
BRCA1,PSMD7
BRCA1,CASC5
BRCA1,DDX17
BRCA1,PSMC1
BRCA1,CENPF
BRCA1,PSMA5
BRCA1,CHEK2
BRCA1,FGFR1OP
BRCA1,CDCA2
BRCA1,RBBP8
BRCA1,SKP1
BRCA1,HSP90AA1
BRCA1,SPAG9
BRCA1,PPP1CC
BRCA1,HIST2H2BE
BRCA1,PSMD3
BRCA1,CENPI
BRCA1,MCM5
BRCA1,MCM2
BRCA1,PSMC2
BRCA1,PRKDC
BRCA1,PSMB5
BRCA1,CLSPN
BRCA1,KIF23
BRCA1,SHFM1
BRCA1,LRRK1
BRCA1,HMMR
BRCA1,HDAC2
BRCA1,PSMD11
BRCA1,RAD51
BRCA1,CTNNB1
BRCA1,H2AFX
BRCA1,SGOL2
BRCA1,UBE2E1
BRCA1,VCP
BRCA1,USO1
BRCA1,MYC
BRCA1,KPNA2
BRCA1,CCNA2
BRCA1,MCM6
BRCA1,PSME3
BRCA1,NUDC
BRCA1,PSMA1
BRCA1,PPP2CA
BRCA1,PRC1
BRCA1,SEPT2
BRCA1,PPP1CB
BRCA1,BRCA2
BRCA1,CLIP1
BRCA1,BRCA1
BRCA1,TUBG1
BRCA1,KIF20A
BRCA1,ORC3
BRCA1,YWHAE
BRCA1,RELA
BRCA1,LMO4
BRCA1,TOP3A
BRCA1,PSMD9
BRCA1,PLK1
BRCA1,TROAP
BRCA1,CUL2
BRCA1,RPS27
BRCA1,EP300
BRCA1,PSMA6
BRCA1,CDK1
BRCA1,CHEK1
BRCA1,TUBA4A
BRCA1,MCM10
BRCA1,DYNC1H1
BRCA1,PSMC5
BRCA1,PSMD4
BRCA1,MCM3
BRCA1,KIFC1
BRCA1,EME1
BRCA1,TPX2
BRCA1,SMC3
BRCA1,CEP72
BRCA1,PSMD6
BRCA1,RANGAP1
BRCA1,PSMD1
BRCA1,PSMD12
BRCA1,WEE1
BRCA1,TRIM25
BRCA1,CSNK1D
BRCA1,PCNA
BRCA1,NCAPD3
BRCA1,PDS5A
BRCA1,TOP2A
BRCA1,SF3B3
BRCA1,PSMD13
BRCA1,STAG1
BRCA1,GTF3C4
BRCA1,TP73
BRCA1,BUB3
BRCA1,WAPAL
BRCA1,EXO1
BRCA1,KIF2C
BRCA1,CKAP5
BRCA1,TUBB
BRCA1,NUMA1
BRCA1,HSPA4
BRCA1,RACGAP1
BRCA1,USP11
BRCA1,PPP2R5C
BRCA1,KIF18A
BRCA1,ERCC4
BRCA1,USP37
BRCA1,KLHL22
BRCA1,TP53BP1
BRCA1,FOXO3
BRCA1,ODF2
BRCA1,XPO1
BRCA1,TUBB3
BRCA1,KIF2A
BRCA1,MCM4
BRCA1,CENPU
BRCA1,CTBP1
BRCA1,EED
BRCA1,DCTN1
BRCA1,PSMC3
BRCA1,PSMC6
BRCA1,DNHD1
BRCA1,SEC13
BRCA1,NUP107
BRCA1,NUP133
BRCA1,RECQL5
BRCA1,DYNC1I2
BRCA1,TUBB4B
BRCA1,KIF22
BRCA1,RECQL4
BRCA1,MKI67
BRCA1,EGLN3
BRCA1,TENC1
BRCA1,SLX4
BRCA1,SLX4IP
BRCA1,FANCM
BRCA1,PSMD2
BRCA1,NCAPG2
BRCA1,HIST2H2AC
BRCA1,CDC6
BRCA1,STAG2
BRCA1,TUBGCP6
BRCA1,CCNA1
BRCA1,PHC2
BRCA1,TUBGCP4
BRCA1,MARK4
BRCA1,RPS27A
BRCA1,HIST1H2BA
BRCA1,MZT2B
BRCA1,BUB1B
BRCA1,HIST1H2BD
BRCA1,H2AFZ
BRCA1,BUB1
BRCA1,UBB
BRCA1,H2AFV
BRCA1,MZT2A
BRCA1,HIST1H2AJ
BRCA1,HIST1H2AD
BRCA1,UBE2C
BRCA1,HIST1H2BK
BRCA1,TOPORS
BRCA1,HIST3H3
BRCA1,RNF2
BRCA1,PTEN
BRCA1,CDC26
BRCA1,KIF4A
BRCA1,HIST1H2BL
BRCA1,HIST1H2AC
BRCA1,MZT1
BRCA1,CENPJ
BRCA1,CDC23
BRCA1,SUN1
BRCA1,UBA52
BRCA1,CDC45
BRCA1,H2AFB1
BRCA1,H2BFS
BRCA1,HIST1H2BJ
BRCA1,REC8
BRCA1,HIST1H2BM
BRCA1,HIST1H2BN
BRCA1,H2AFJ
BRCA1,HIST1H2BH
BRCA1,TUBGCP5
BRCA1,CDC27
BRCA1,HIST1H2BO
BRCA1,HIST1H2BB
CTNNB1,PTEN
CTNNB1,RANBP2
CTNNB1,USP15
CTNNB1,SKP1
CTNNB1,YWHAE
CTNNB1,USP20
CTNNB1,JADE1
CTNNB1,NRAS
CTNNB1,STUB1
CTNNB1,NUDC
CTNNB1,HSP90AA1
CTNNB1,RXRA
CTNNB1,PSMA5
CTNNB1,HDAC2
CTNNB1,NUMA1
CTNNB1,PPP1R12A
CTNNB1,MYC
CTNNB1,MCM5
CTNNB1,DVL2
CTNNB1,HRAS
CTNNB1,PPP1CB
CTNNB1,TUBA1A
CTNNB1,MAPRE1
CTNNB1,SEC13
CTNNB1,PLK1
CTNNB1,PPP2R4
CTNNB1,PSMC5
CTNNB1,PSMD4
CTNNB1,RAB11A
CTNNB1,PARK2
CTNNB1,FOXO3
CTNNB1,FBXW11
CTNNB1,FOXM1
CTNNB1,PPP2R1A
CTNNB1,EP300
CTNNB1,TUBB4B
CTNNB1,UBE2D1
CTNNB1,USP11
CTNNB1,EGFR
CTNNB1,PIN1
CTNNB1,KIF22
CTNNB1,CUL4A
CTNNB1,CUL1
CTNNB1,MAPK6
CTNNB1,MCM2
CTNNB1,PTPN14
CTNNB1,PSMB6
CTNNB1,PRC1
CTNNB1,NTRK1
CTNNB1,PRKDC
CTNNB1,PSMD7
CTNNB1,RPS27
CTNNB1,IKBKB
CTNNB1,PCNA
CTNNB1,KRAS
CTNNB1,DDX17
CTNNB1,NEK2
CTNNB1,CYLD
CTNNB1,MKI67
CTNNB1,MPRIP
CTNNB1,FBXW7
CTNNB1,VRK3
CTNNB1,XPO1
CTNNB1,PSMC3
CTNNB1,TOP2A
CTNNB1,EGLN3
CTNNB1,DYNC1H1
CTNNB1,TRIM25
CTNNB1,PSMD1
CTNNB1,USO1
CTNNB1,TUBB
CTNNB1,RAE1
CTNNB1,EIF6
CTNNB1,RPS27A
CTNNB1,MCM7
CTNNB1,USP37
CTNNB1,PSMC6
CTNNB1,PSMA4
CTNNB1,PSMC4
CTNNB1,PPP2R5B
CTNNB1,PSMD5
CTNNB1,PSMD8
CTNNB1,PSMA3
CTNNB1,PSME2
CTNNB1,PSMD10
CTNNB1,PPP2CB
CTNNB1,PSMA2
CTNNB1,PSMB7
CTNNB1,PSMC1
CTNNB1,PPP2R5A
CTNNB1,PSMA6
CTNNB1,PSMD11
CTNNB1,SPAG9
CTNNB1,PSMB1
CTNNB1,PSMD3
CTNNB1,TP53
CTNNB1,HIST1H2BA
CTNNB1,PAK1
CTNNB1,HIST1H2BD
CTNNB1,PSMB4
CTNNB1,PSME3
CTNNB1,H2AFZ
CTNNB1,LRRK2
CTNNB1,MED1
CTNNB1,UBB
CTNNB1,YWHAG
CTNNB1,H2AFV
CTNNB1,PRKACA
CTNNB1,PSMD2
CTNNB1,PSMA8
CTNNB1,PPP2R1B
CTNNB1,HIST1H2AJ
CTNNB1,HIST2H2AC
CTNNB1,PPP2R5E
CTNNB1,PSMF1
CTNNB1,HIST1H2AD
CTNNB1,PSMB9
CTNNB1,H2AFB1
CTNNB1,PSMC2
CTNNB1,HIST2H2BE
CTNNB1,PSME1
CTNNB1,H2BFS
CTNNB1,HIST1H2BJ
CTNNB1,PSMB11
CTNNB1,PSMD6
CTNNB1,HIST3H3
CTNNB1,PSMA1
CTNNB1,UBC
CTNNB1,PSME4
CTNNB1,UBA52
CTNNB1,HIST1H2BL
CTNNB1,HIST1H2AC
CTNNB1,H2AFX
CTNNB1,HIST1H2BM
CTNNB1,PSMB2
CTNNB1,PSMB3
CTNNB1,HIST1H2BN
CTNNB1,PSMD9
CTNNB1,H2AFJ
CTNNB1,DNM2
CTNNB1,PSMD12
CTNNB1,HIST1H2BH
CTNNB1,PSMB10
CTNNB1,PSMD13
CTNNB1,PPP2R5D
CTNNB1,HIST1H2BK
CTNNB1,PSMD14
CTNNB1,PPP2CA
CTNNB1,PSMB8
CTNNB1,PSMA7
CTNNB1,PPP2R5C
CTNNB1,HIST1H2BO
CTNNB1,HIST1H2BB
CTNNB1,PSMB5
CTNNB1,SHFM1
TSG101,UBC
TSG101,TSG101
TSG101,XPO1
TSG101,VCP
TSG101,UBB
TSG101,UBA52
MCM2,MCM6
MCM2,PRKDC
MCM2,YWHAG
MCM2,PHC2
MCM2,RANBP2
MCM2,MCM7
MCM2,PSMD2
MCM2,XPO1
MCM2,MCM4
MCM2,TUBA4A
MCM2,PSMA8
MCM2,PSMA7
MCM2,PSME2
MCM2,PRRC1
MCM2,MYC
MCM2,PLK1
MCM2,MCM5
MCM2,PSME1
MCM2,PSMB3
MCM2,SEC13
MCM2,TBK1
MCM2,RNF126
MCM2,PSMB5
MCM2,TUBA1A
MCM2,WEE1
MCM2,TTBK2
MCM2,SMC3
MCM2,NTRK1
MCM2,RCC2
MCM2,SMC1A
MCM2,NR2C2
MCM2,UBE2D1
MCM2,TUBB4B
MCM2,SKP1
MCM2,MCM3
MCM2,RPS27
MCM2,UBA52
MCM2,TUBB3
MCM2,USP15
MCM2,MCM2
MCM2,VCP
MCM2,PPP2R2D
MCM2,TRIM25
MCM2,SPAG9
MCM2,UBC
MCM2,PSMD3
MCM2,RECQL4
MCM2,PPP2R1A
MCM2,PSMB6
MCM2,UBB
MCM2,PSMB1
MCM2,PSMB2
MCM2,TUBB4A
MCM2,NFATC2
MCM2,TUBB
MCM2,RGPD4
MCM2,YWHAE
MCM2,RPS27A
MCM2,MKI67
MCM2,RAD21
MCM2,TRIP13
MCM2,NCAPH
MCM2,NCAPG
MCM2,ORC3
MCM2,TOPBP1
MCM2,NDC80
MCM2,PKMYT1
MCM2,TOP2A
MCM2,PTTG1
MCM2,RACGAP1
MCM2,RAD51
MCM2,NUSAP1
MCM2,PBK
MCM2,PRC1
MCM2,TP53BP1
MCM2,NCAPD2
MCM2,TPX2
MCM2,TYMS
MCM2,MELK
MCM2,RRM2
MCM2,TTK
MCM2,UBE2C
MCM2,PCNA
MCM2,SMC4
MCM2,SMC2
MCM2,ZWINT
MCM2,RRM1
MCM2,UHRF1
MCM5,RNF2
MCM5,MCM6
MCM5,UBA52
MCM5,MCM7
MCM5,TOP2A
MCM5,UBB
MCM5,MTMR4
MCM5,TUBB
MCM5,MYC
MCM5,PLK1
MCM5,TUBB3
MCM5,NTRK1
MCM5,SNCA
MCM5,PSMA3
MCM5,PSMD4
MCM5,UBC
MCM5,TUBB4B
MCM5,SF3B3
MCM5,RPS27A
MCM5,TUBB4A
MCM5,RECQL4
MCM5,NEK9
MCM5,NR2C2
MCM5,TOPBP1
MCM5,NDC80
MCM5,RACGAP1
MCM5,SMC3
MCM5,NCAPG
MCM5,TK1
MCM5,PBK
MCM5,PRC1
MCM5,NCAPD2
MCM5,TPX2
MCM5,SPC25
MCM5,TYMS
MCM5,RRM2
MCM5,NCAPH
MCM5,TTK
MCM5,UBE2C
MCM5,PCNA
