"node","type"
"12657.CFLA_EHV2",0
"CASP8",1
"cysteine-type endopeptidase activity",6
"death receptor binding",6
"tumor necrosis factor receptor binding",6
"protein binding",6
"nucleoplasm",6
"cytoplasm",6
"mitochondrion",6
"mitochondrial outer membrane",6
"cytosol",6
"cytoskeleton",6
"proteolysis",6
"apoptotic process",6
"activation of cysteine-type endopeptidase activity involved in apoptotic process",6
"cell surface receptor signaling pathway",6
"peptidase activity",6
"cysteine-type peptidase activity",6
"extrinsic apoptotic signaling pathway via death domain receptors",6
"response to cold",6
"regulation of tumor necrosis factor-mediated signaling pathway",6
"natural killer cell activation",6
"macrophage differentiation",6
"death-inducing signaling complex",6
"CD95 death-inducing signaling complex",6
"ubiquitin protein ligase binding",6
"response to cobalt ion",6
"response to estradiol",6
"response to lipopolysaccharide",6
"positive regulation of interleukin-1 beta production",6
"protein-containing complex",6
"toll-like receptor 3 signaling pathway",6
"response to tumor necrosis factor",6
"TRIF-dependent toll-like receptor signaling pathway",6
"death effector domain binding",6
"TRAIL-activated apoptotic signaling pathway",6
"suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process",6
"T cell activation",6
"B cell activation",6
"identical protein binding",6
"neuron projection",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"negative regulation of I-kappaB kinase/NF-kappaB signaling",6
"cell body",6
"protein-containing complex binding",6
"membrane raft",6
"response to ethanol",6
"positive regulation of macrophage differentiation",6
"positive regulation of proteolysis",6
"proteolysis involved in cellular protein catabolic process",6
"regulation of necroptotic process",6
"negative regulation of necroptotic process",6
"syncytiotrophoblast cell differentiation involved in labyrinthine layer development",6
"nucleotide-binding oligomerization domain containing signaling pathway",6
"cellular response to mechanical stimulus",6
"cellular response to organic cyclic compound",6
"death-inducing signaling complex assembly",6
"scaffold protein binding",6
"cysteine-type endopeptidase activity involved in apoptotic process",6
"apoptotic signaling pathway",6
"extrinsic apoptotic signaling pathway",6
"execution phase of apoptosis",6
"cysteine-type endopeptidase activity involved in apoptotic signaling pathway",6
"activation of cysteine-type endopeptidase activity",6
"self proteolysis",6
"activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway",6
"ripoptosome",6
"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",6
"positive regulation of neuron death",6
"regulation of extrinsic apoptotic signaling pathway via death domain receptors",6
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",6
