source,target
APP,STRAP
APP,HSPA8
APP,NKX2-1
APP,USP11
APP,MRPS15
APP,VTN
APP,CXCL6
APP,HDAC3
APP,COX2
APP,MCM2
APP,KLHL42
APP,ARNT
APP,NOC4L
APP,FCGR3A
APP,HSP90AA1
APP,EFTUD2
APP,RBBP4
APP,CBL
APP,C1QBP
APP,HDAC5
APP,HSPA1A
APP,MAGEA4
APP,NDC1
APP,CUL3
APP,RPS16
APP,FN1
APP,IFNG
APP,SPDL1
APP,CLTA
APP,SNW1
APP,AP2M1
APP,RPLP2
APP,CEP57
APP,HIST1H4L
APP,LRIF1
APP,MCM6
APP,PSME3
APP,TRRAP
APP,TYMS
APP,GAB1
APP,GRWD1
APP,RPL9
APP,RTP1
APP,OBSL1
APP,PTCH1
APP,TRIM25
APP,UBE2F
APP,SOCS5
APP,IL1RAP
APP,ATP5H
APP,PARK2
APP,UBR1
APP,PLK1
APP,TNF
APP,UBE2O
APP,NHP2L1
APP,APP
APP,CCND1
APP,UBA5
APP,MAPK8IP1
APP,NRAS
APP,EXOSC5
APP,KBTBD6
APP,FAF1
APP,FANCI
APP,ANLN
APP,NXF1
APP,PLOD1
APP,PSMC3
APP,C2orf47
APP,SNRPE
APP,RPGRIP1L
APP,SNAP29
APP,UBC
APP,TEX11
APP,ACPP
APP,MOV10
APP,SSSCA1
APP,RPL36AL
APP,PSAP
APP,DCTN5
APP,ZFYVE20
APP,NOC2L
APP,LRP6
APP,PIK3C2A
APP,YKT6
APP,SOAT1
APP,UBE2L6
APP,CCT2
APP,IL6R
APP,JAK2
APP,SKIL
APP,ARHGEF26
APP,TP53
APP,GCG
APP,GNG2
APP,RPS6
APP,CCR8
APP,GTF2E2
APP,SPEN
APP,C3AR1
APP,VCAM1
APP,NOP56
APP,POLR2D
APP,ATR
APP,EIF4A3
APP,TPTE2
APP,HNRNPU
APP,IL27RA
APP,MYH9
APP,ABCA3
APP,TAS2R60
APP,HIST1H4A
APP,MRPL48
APP,SKP2
APP,COPS4
APP,SNAI2
APP,EED
APP,MT2A
APP,EIF4A2
APP,COPS7B
APP,GPS1
APP,SSR1
APP,GNG12
MCM2,MRPL13
MCM2,PDCD11
MCM2,RPLP2
MCM2,CUL2
MCM2,PLOD1
MCM2,PLK1
MCM2,WDR31
MCM2,PRDX2
MCM2,COPS7B
MCM2,GRWD1
MCM2,MYH9
MCM2,UFL1
MCM2,GPS1
MCM2,LRIF1
MCM2,NXF1
MCM2,NRAS
MCM2,UBA5
MCM2,SIAH2
MCM2,TRIM25
MCM2,CCT2
MCM2,EFTUD2
MCM2,KNG1
MCM2,GRM3
MCM2,RPS6
MCM2,HOMER3
MCM2,ZBTB16
MCM2,OBSL1
MCM2,RPL5
MCM2,RPL10L
MCM2,LNX1
MCM2,EIF4A2
MCM2,MRPL43
MCM2,SNRNP70
MCM2,RPL31
MCM2,NASP
MCM2,HDAC3
MCM2,NUFIP2
MCM2,PARK2
MCM2,VCP
MCM2,NEDD4
MCM2,TAF4B
MCM2,PSMD3
RPA1,WDR76
RPA1,CCND1
RPA1,NMUR2
RPA1,SNRNP70
RPA1,UFL1
RPA1,HDAC3
RPA1,REEP3
RPA1,TRIM25
RPA1,RPP25
RPA1,UBE2L6
RPA1,FSHR
RPA1,C3AR1
RPA1,MYH9
RPA1,CUL3
RPA1,DUT
RPA1,HIST1H4A
RPA1,HIST1H2BN
HGS,NXF1
HGS,PLK1
HGS,PTPN2
HGS,PTCH1
HGS,FN1
HGS,PIK3C2A
HGS,HNRNPU
HGS,PSAP
HGS,HIST1H4A
HGS,CCR1
HGS,NRAS
HGS,HDAC3
HGS,SPDL1
HGS,GNG2
HGS,IQCB1
HGS,GNAS
HGS,RPL5
HGS,GOLGB1
HGS,LNX1
HGS,SNAP29
HGS,IL15
HGS,CCND1
ATF2,SPDL1
ATF2,WDR76
ATF2,NXF1
ATF2,GSPT1
ATF2,HSPD1
ATF2,UBE2O
ATF2,SRC
ATF2,RBBP4
ATF2,FPR2
ATF2,RPL9
ATF2,APP
ATF2,ADRB2
ATF2,VPS11
ATF2,ATF2
ATF2,NOP56
ATF2,HDAC5
ATF2,RPL18
ATF2,NKX2-1
ARNT,MCM2
ARNT,HNRNPA1
ARNT,VCAM1
ARNT,EIF4G1
ARNT,MYH9
ARNT,HSPA8
ARNT,PYHIN1
ZBTB16,TRIM25
ZBTB16,JAK2
ZBTB16,MRPS31
ZBTB16,CDH1
ZBTB16,KNG1
ZBTB16,REEP3
ZBTB16,HADHB
SNRPE,TNF
SNRPE,NOC4L
SNRPE,RPL5
SNRPE,VTN
SNRPE,HDAC3
SNRPE,TERF2IP
SNRPE,TOMM40
SNRPE,UBC
SNRPE,SEPHS2
SNRPE,TAS2R60
PLCG1,KLHL42
PLCG1,NXF1
PLCG1,PLCG1
PLCG1,MYH9
PLCG1,FOXB1
PLCG1,KRAS
PLCG1,FN1
PLCG1,TRIM25
PLCG1,HNRNPA2B1
PLCG1,HDAC3
DDX54,RPGRIP1L
DDX54,NPM1
DDX54,EIF4A2
DDX54,CDH1
DDX54,HNRNPA2B1
DDX54,CCT2
DDX54,UBC
DDX54,RPA1
DDX54,ADRB2
DDX54,APP
DDX54,GNAS
DDX54,SOCS5
DDX54,HNRNPA1
DDX54,PPAN
DDX54,RPL18
DDX54,SRC
C1QBP,JAK2
C1QBP,SKP2
C1QBP,UBR1
C1QBP,CUL3
C1QBP,VCP
C1QBP,LMNB1
C1QBP,HDAC5
C1QBP,GRWD1
C1QBP,S100A10
C1QBP,UBE2K
C1QBP,FBXW7
C1QBP,RRP9
C1QBP,NHP2L1
C1QBP,MYH9
C1QBP,TOMM40
C1QBP,RPL18
C1QBP,HIST1H4A
C1QBP,PLCG1
GANAB,MAPK11
GANAB,TP53
GANAB,HDAC5
GANAB,BOP1
GANAB,EXO1
GANAB,AJUBA
GANAB,MYH9
GANAB,TRIM25
GANAB,TCF3
HNRNPA1,SNW1
HNRNPA1,CUL2
HNRNPA1,EFTUD2
HNRNPA1,RPL5
HNRNPA1,PYHIN1
HNRNPA1,RPL9
HNRNPA1,POLR2D
HNRNPA1,STRAP
HNRNPA1,CCR1
HNRNPA1,PDHA1
HNRNPA1,NOTCH3
HNRNPA1,MTA1
HNRNPA1,KNG1
HNRNPA1,TNF
HNRNPA1,UTP11L
HNRNPA1,TELO2
HNRNPA1,MRPL44
HNRNPA1,PSAP
HNRNPA1,SEC61G
HNRNPA1,NAP1L1
HNRNPA1,RPL36AL
HNRNPA1,AP2M1
HNRNPA1,HSPA8
HNRNPA1,VCP
HNRNPA1,EED
HNRNPA1,UBXN7
HNRNPA1,CFTR
HNRNPA1,GCG
HNRNPA1,SNRNP70
HNRNPA1,MCM2
HNRNPA1,HNRNPUL2
HNRNPA1,TTK
HNRNPA1,RLIM
HNRNPA1,GSPT1
TCF3,STRAP
TCF3,MYH9
TCF3,GNG12
TCF3,NUDT21
TCF3,CUL2
TCF3,SOCS5
TCF3,HNRNPU
TCF3,RPS2
TCF3,DRD4
JAK2,MAPK11
JAK2,WDR31
JAK2,IDO1
JAK2,TRAF2
JAK2,RNF25
JAK2,MAP2K1
JAK2,NOC4L
JAK2,SIAH2
CBL,KRAS
CBL,RPP25
CBL,NXF1
CBL,NOTCH3
CBL,GAB1
CBL,MET
CBL,METTL3
CBL,NKX2-1
CBL,SSSCA1
CBL,TCF3
CBL,PDCD11
CBL,PRKACB
CBL,EZH2
CBL,PLCG1
CBL,IQCB1
CBL,OTC
CBL,MRPL17
CBL,TRAPPC6B
CBL,TP53
CBL,NDC1
CBL,GRWD1
CBL,FBXW7
CBL,HNRNPA2B1
CBL,GNG12
CBL,LMNB1
LMNB1,UBE2O
LMNB1,COMMD3
LMNB1,PLCG1
LMNB1,GPR84
LMNB1,UBC
LMNB1,ZBTB16
LMNB1,NXF1
LMNB1,SCN2A
LMNB1,APP
