"V1","V2"
"CUL1","Parkin-FBXW7-Cul1 ubiquitin ligase complex"
"CUL1","regulation of mitotic cell cycle phase transition"
"CUL1","intrinsic apoptotic signaling pathway"
"CUL1","interleukin-1-mediated signaling pathway"
"CUL1","stress-activated MAPK cascade"
"CUL1","T cell receptor signaling pathway"
"CUL1","post-translational protein modification"
"CUL1","proteasome-mediated ubiquitin-dependent protein catabolic process"
"CUL1","Fc-epsilon receptor signaling pathway"
"CUL1","NIK/NF-kappaB signaling"
"CUL1","ubiquitin protein ligase binding"
"CUL1","cullin-RING ubiquitin ligase complex"
"CUL1","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"CUL1","SCF ubiquitin ligase complex"
"CUL1","protein ubiquitination"
"CUL1","Wnt signaling pathway"
"CUL1","viral process"
"CUL1","negative regulation of G2/M transition of mitotic cell cycle"
"CUL1","SCF complex assembly"
"CUL1","animal organ morphogenesis"
"CUL1","cell population proliferation"
"CUL1","cellular iron ion homeostasis"
"CUL1","protein monoubiquitination"
"CUL1","ubiquitin-dependent protein catabolic process"
"CUL1","cytosol"
"CUL1","nucleoplasm"
"CUL1","cell"
"CUL1","protein binding"
"CUL1","stimulatory C-type lectin receptor signaling pathway"
"CUL1","protein polyubiquitination"
"CUL1","G2/M transition of mitotic cell cycle"
"CUL1","G1/S transition of mitotic cell cycle"
"CXCL8","regulation of entry of bacterium into host cell"
"CXCL8","positive regulation of neutrophil chemotaxis"
"CXCL8","cellular response to tumor necrosis factor"
"CXCL8","cellular response to interleukin-1"
"CXCL8","cellular response to lipopolysaccharide"
"CXCL8","chemokine-mediated signaling pathway"
"CXCL8","antimicrobial humoral immune response mediated by antimicrobial peptide"
"CXCL8","induction of positive chemotaxis"
"CXCL8","embryonic digestive tract development"
"CXCL8","positive regulation of angiogenesis"
"CXCL8","negative regulation of G protein-coupled receptor signaling pathway"
"CXCL8","CXCR chemokine receptor binding"
"CXCL8","regulation of single stranded viral RNA replication via double stranded DNA intermediate"
"CXCL8","cellular response to fibroblast growth factor stimulus"
"CXCL8","neutrophil activation"
"CXCL8","PERK-mediated unfolded protein response"
"CXCL8","intracellular signal transduction"
"CXCL8","response to endoplasmic reticulum stress"
"CXCL8","receptor internalization"
"CXCL8","leukocyte chemotaxis"
"CXCL8","neutrophil chemotaxis"
"CXCL8","regulation of cell adhesion"
"CXCL8","calcium-mediated signaling"
"CXCL8","cytokine-mediated signaling pathway"
"CXCL8","negative regulation of cell population proliferation"
"CXCL8","chemokine activity"
"CXCL8","G protein-coupled receptor signaling pathway"
"CXCL8","signal transduction"
"CXCL8","cell cycle arrest"
"CXCL8","immune response"
"CXCL8","inflammatory response"
"CXCL8","chemotaxis"
"CXCL8","extracellular space"
"CXCL8","extracellular region"
"CXCL8","protein binding"
"CXCL8","interleukin-8 receptor binding"
"CXCL8","response to molecule of bacterial origin"
"CXCL8","angiogenesis"
"10273.MT5_MYXVL","CUL1"
"10273.MT5_MYXVL","CUL1"
"10273.Q9PX24_MYXVL","CXCL8"
"10273.Q9PX24_MYXVL","CXCL8"
