source,target
ARRB2,CSK
ARRB2,TSHR
ARRB2,SH3GLB1
ARRB2,NOTCH3
CSK,JAG2
CSK,CSK
CSK,RPS21
PTK2,JAG2
CDH1,PPIL3
CDH1,NPBWR2
RAD23A,CRH
RAD23A,JAG2
RAD23A,CDH1
HNRNPL,RAD23A
HNRNPL,RUNX1
HNRNPL,PSMD14
HNRNPL,JAG2
HNRNPL,CDH1
HNRNPL,PPIL3
HNRNPL,RBM5
HNRNPL,TRIP12
HNRNPL,CSK
ADAM17,JAG2
SIAH1,JAG2
SIAH1,IGFBP7
AP4E1,TRIP12
AP4E1,RPS14
CCNH,JAG2
CCNH,RBM5
RPS14,PSMD14
RPS14,JAG2
SLU7,HNRNPL
PPIL3,NPBWR2
PPIL3,JAG2
PPIL3,SH3GLB1
PSMD14,PTK2
RPL26,FLOT1
RPL26,CDH1
UBXN1,UBXN1
FLOT1,JAG2
FLOT1,TSHR
MAP2K6,KMT2E
IGFBP7,JAG2
NOTCH3,SIAH1
NOTCH3,PSMD14
RBM5,NPBWR2
RPS21,JAG2
RPS21,FLOT1
PTTG1,PTTG1
PTTG1,JAG2
SH3GLB1,JAG2
JAG2,RUNX1
JAG2,AP4E1
JAG2,CNTRL
JAG2,SLU7
JAG2,NOTCH3
JAG2,REEP6
JAG2,MECP2
JAG2,RBM5
JAG2,RPL26
JAG2,PSMD14
JAG2,ARRB2
JAG2,CDH1
JAG2,NPBWR2
JAG2,FANCF
JAG2,YLPM1
JAG2,NEO1
JAG2,UBXN1
JAG2,MAP2K6
JAG2,KIFC2
JAG2,TRIP12
JAG2,C18orf25
JAG2,KMT2E
CRH,JAG2
CRH,HNRNPL
MECP2,IGFBP7
PNOC,JAG2
TSHR,JAG2
TSHR,SIAH1
TRIP12,PTK2
ACTR6,JAG2
CNTRL,SIAH1
CNTRL,MECP2
KIFC2,HNRNPL
KIFC2,MECP2
CYP2C18,JAG2
CYP2C18,SIAH1
NPBWR2,ARRB2
FRAS1,JAG2
FRAS1,CDH1
ARHGAP42,JAG2
GPX5,JAG2
