"V1","V2"
"ID3","positive regulation of nucleic acid-templated transcription"
"ID3","leptomycin B binding"
"ID3","transcription regulator activity"
"ID3","cellular response to leptomycin B"
"ID3","regulation of cell cycle"
"ID3","protein dimerization activity"
"ID3","negative regulation of transcription, DNA-templated"
"ID3","negative regulation of osteoblast differentiation"
"ID3","negative regulation of myoblast differentiation"
"ID3","negative regulation of DNA-binding transcription factor activity"
"ID3","positive regulation of apoptotic process"
"ID3","odontogenesis"
"ID3","circadian regulation of gene expression"
"ID3","notochord development"
"ID3","epithelial cell differentiation"
"ID3","neuron differentiation"
"ID3","cell differentiation"
"ID3","protein domain specific binding"
"ID3","positive regulation of gene expression"
"ID3","response to wounding"
"ID3","transcription factor binding"
"ID3","muscle organ development"
"ID3","heart development"
"ID3","central nervous system development"
"ID3","multicellular organism development"
"ID3","regulation of DNA replication"
"ID3","cytoplasm"
"ID3","nucleus"
"ID3","protein binding"
"ID3","transcription corepressor activity"
"ID3","transcription coactivator activity"
"ID3","metanephros development"
"ID3","DNA-binding transcription factor activity, RNA polymerase II-specific"
"ID3","negative regulation of transcription by RNA polymerase II"
"FOS","positive regulation of pri-miRNA transcription by RNA polymerase II"
"FOS","positive regulation of neuron death"
"FOS","cellular response to calcium ion"
"FOS","cellular response to cadmium ion"
"FOS","R-SMAD binding"
"FOS","SMAD protein signal transduction"
"FOS","response to cAMP"
"FOS","response to corticosterone"
"FOS","regulation of DNA-binding transcription factor activity"
"FOS","positive regulation of transcription by RNA polymerase II"
"FOS","positive regulation of transcription, DNA-templated"
"FOS","positive regulation of osteoclast differentiation"
"FOS","protein-containing complex binding"
"FOS","transcription regulatory region DNA binding"
"FOS","neuron projection"
"FOS","Fc-epsilon receptor signaling pathway"
"FOS","response to muscle stretch"
"FOS","transcription factor AP-1 complex"
"FOS","skeletal muscle cell differentiation"
"FOS","response to immobilization stress"
"FOS","cellular response to reactive oxygen species"
"FOS","protein-DNA complex"
"FOS","cellular response to hormone stimulus"
"FOS","response to progesterone"
"FOS","response to lipopolysaccharide"
"FOS","cellular response to extracellular stimulus"
"FOS","sleep"
"FOS","cytokine-mediated signaling pathway"
"FOS","membrane"
"FOS","response to toxic substance"
"FOS","response to gravity"
"FOS","response to light stimulus"
"FOS","response to cold"
"FOS","transcription factor binding"
"FOS","aging"
"FOS","female pregnancy"
"FOS","nervous system development"
"FOS","transforming growth factor beta receptor signaling pathway"
"FOS","inflammatory response"
"FOS","transcription by RNA polymerase II"
"FOS","regulation of transcription by RNA polymerase II"
"FOS","DNA methylation"
"FOS","cytosol"
"FOS","endoplasmic reticulum"
"FOS","nucleoplasm"
"FOS","nucleus"
"FOS","protein binding"
"FOS","DNA-binding transcription factor activity"
"FOS","chromatin binding"
"FOS","conditioned taste aversion"
"FOS","DNA-binding transcription activator activity, RNA polymerase II-specific"
"FOS","RNA polymerase II activating transcription factor binding"
"FOS","DNA-binding transcription factor activity, RNA polymerase II-specific"
"FOS","RNA polymerase II core promoter sequence-specific DNA binding"
"FOS","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"FOS","nuclear chromatin"
"NOTCH1","negative regulation of endothelial cell chemotaxis"
"NOTCH1","negative regulation of pro-B cell differentiation"
"NOTCH1","negative regulation of anoikis"
"NOTCH1","negative regulation of stem cell differentiation"
"NOTCH1","negative regulation of cell-cell adhesion mediated by cadherin"
"NOTCH1","positive regulation of aorta morphogenesis"
"NOTCH1","positive regulation of apoptotic process involved in morphogenesis"
"NOTCH1","apoptotic process involved in embryonic digit morphogenesis"
