"V1","V2"
"PRMT1","S-adenosyl-L-methionine binding"
"PRMT1","positive regulation of p38MAPK cascade"
"PRMT1","protein homooligomerization"
"PRMT1","mitogen-activated protein kinase p38 binding"
"PRMT1","positive regulation of hemoglobin biosynthetic process"
"PRMT1","negative regulation of megakaryocyte differentiation"
"PRMT1","regulation of megakaryocyte differentiation"
"PRMT1","positive regulation of erythrocyte differentiation"
"PRMT1","histone methyltransferase activity (H4-R3 specific)"
"PRMT1","histone H4-R3 methylation"
"PRMT1","identical protein binding"
"PRMT1","histone methyltransferase activity"
"PRMT1","protein-arginine omega-N asymmetric methyltransferase activity"
"PRMT1","protein-arginine omega-N monomethyltransferase activity"
"PRMT1","methylosome"
"PRMT1","neuron projection development"
"PRMT1","peptidyl-arginine methylation, to asymmetrical-dimethyl arginine"
"PRMT1","enzyme binding"
"PRMT1","peptidyl-arginine methylation"
"PRMT1","histone methylation"
"PRMT1","protein-arginine N-methyltransferase activity"
"PRMT1","methyl-CpG binding"
"PRMT1","positive regulation of cell population proliferation"
"PRMT1","protein methyltransferase activity"
"PRMT1","N-methyltransferase activity"
"PRMT1","methyltransferase activity"
"PRMT1","cell surface receptor signaling pathway"
"PRMT1","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
"PRMT1","protein methylation"
"PRMT1","cytosol"
"PRMT1","cytoplasm"
"PRMT1","nucleoplasm"
"PRMT1","nucleus"
"PRMT1","protein binding"
"PRMT1","RNA binding"
"PRMT1","in utero embryonic development"
"YY1","negative regulation of pri-miRNA transcription by RNA polymerase II"
"YY1","cellular response to interleukin-1"
"YY1","negative regulation of cell growth involved in cardiac muscle cell development"
"YY1","chromosome organization"
"YY1","camera-type eye morphogenesis"
"YY1","SMAD binding"
"YY1","positive regulation of transcription by RNA polymerase II"
"YY1","transcription regulatory region DNA binding"
"YY1","sequence-specific DNA binding"
"YY1","response to prostaglandin F"
"YY1","cellular response to UV"
"YY1","negative regulation of interferon-beta production"
"YY1","PcG protein complex"
"YY1","Ino80 complex"
"YY1","cell differentiation"
"YY1","protein deubiquitination"
"YY1","nuclear matrix"
"YY1","negative regulation of gene expression"
"YY1","gene expression"
"YY1","response to UV-C"
"YY1","anterior/posterior pattern specification"
"YY1","zinc ion binding"
"YY1","spermatogenesis"
"YY1","cellular response to DNA damage stimulus"
"YY1","RNA localization"
"YY1","regulation of transcription by RNA polymerase II"
"YY1","cytoplasm"
"YY1","transcription factor complex"
"YY1","nucleoplasm"
"YY1","nucleus"
"YY1","protein binding"
"YY1","RNA binding"
"YY1","transcription corepressor activity"
"YY1","transcription coactivator activity"
"YY1","DNA-binding transcription factor activity"
"YY1","DNA binding"
"YY1","DNA-binding transcription repressor activity, RNA polymerase II-specific"
"YY1","cis-regulatory region sequence-specific DNA binding"
"YY1","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"YY1","nuclear chromatin"
"YY1","double-strand break repair via homologous recombination"
"YY1","four-way junction DNA binding"
"YY1","negative regulation of transcription by RNA polymerase II"
"YY1","PRMT1"
"CSNK2A3","regulation of cell cycle"
"CSNK2A3","positive regulation of protein catabolic process"
"CSNK2A3","positive regulation of cell growth"
"CSNK2A3","peptidyl-threonine phosphorylation"
"CSNK2A3","peptidyl-serine phosphorylation"
"CSNK2A3","positive regulation of cell population proliferation"
"CSNK2A3","protein phosphorylation"
"CSNK2A3","protein kinase CK2 complex"
"CSNK2A3","cytosol"
"CSNK2A3","nucleoplasm"
"CSNK2A3","nucleus"
"CSNK2A3","ATP binding"
"CSNK2A3","protein binding"
"CSNK2A3","protein serine/threonine kinase activity"
"12475.SHDAG_HDVD3","PRMT1"
"12475.SHDAG_HDVD3","PRMT1"
"12475.SHDAG_HDVD3","YY1"
"12475.SHDAG_HDVD3","YY1"
"12475.SHDAG_HDVD3","CSNK2A3"
"12475.SHDAG_HDVD3","CSNK2A3"
