source,target
ACTN2,FAF2
ACTN2,SNRPE
ACTN2,U2AF1L4
ACTN2,RPS24
ACTN2,RAB1A
ACTN2,OSBPL6
ACTN2,EFTUD2
ACTN2,TRIM63
ACTN2,PRKCD
ACTN2,ACTN2
ACTN2,PLK1
ACTN2,MCM2
ACTN2,FN1
ACTN2,KIAA1429
ACTN2,VAMP8
ACTN2,PIK3CA
ACTN2,NCAPG
ACTN2,ZNRF1
ACTN2,HSPB8
APP,DYNLL2
APP,MRPS33
APP,ANAPC1
APP,CDC25B
APP,HDAC3
APP,MCM2
APP,UBE2D2
APP,HSP90AA1
APP,EFTUD2
APP,CAPZA1
APP,WBP4
APP,RBMX
APP,FPR3
APP,KIF11
APP,ELAVL1
APP,ATP6V1D
APP,PDE3B
APP,STAU1
APP,PPY
APP,NAF1
APP,TGFBR2
APP,DNM3
APP,MELK
APP,FN1
APP,CDKN1A
APP,CDC26
APP,CYLD
APP,RPS5
APP,SFN
APP,ULBP2
APP,RPS24
APP,LDHA
APP,PTPRC
APP,XPA
APP,PDHB
APP,REEP2
APP,LARP7
APP,SUFU
APP,ADSS
APP,NOTCH1
APP,GRWD1
APP,DCTN6
APP,RPL9
APP,GTF3C1
APP,SENP1
APP,XPO1
APP,MTIF2
APP,GRB2
APP,HSD17B10
APP,TRIM25
APP,KPNA5
APP,TAOK1
APP,SNRPB2
APP,GPR31
APP,GNB5
APP,MLNR
APP,PLK1
APP,ZMAT4
APP,UBE2O
APP,ADCY1
APP,CASR
APP,FBXO2
APP,APP
APP,ECT2
APP,ESF1
APP,HIST1H2BJ
APP,BAZ2A
APP,PSMB7
APP,MLH1
APP,USP14
APP,RANBP2
APP,TRMT61B
APP,SH3GL2
APP,PSMF1
APP,SLU7
APP,SNRPE
APP,PPP2CA
APP,CDH2
APP,KCTD7
APP,MIR29B2
APP,ESR2
APP,UBR2
APP,ANO6
APP,UBC
APP,FBXO6
APP,PSMA7
APP,PATL2
APP,LSM7
APP,UBE2D1
APP,SCARB1
APP,RPL36AL
APP,SMAD2
APP,KRT8
APP,PKM
APP,RPL26L1
APP,UBB
APP,MIR363
APP,ITSN2
APP,REEP6
APP,SCML2
APP,UMPS
APP,ZBTB21
APP,SOAT1
APP,UBE2L6
APP,TAAR6
APP,AREL1
APP,THRA
APP,JAK2
APP,MRPL46
APP,DNM2
APP,RNF4
APP,UBE2R2
APP,POP1
APP,YAP1
APP,PTK2B
APP,JUN
APP,GNG2
APP,GNRH1
APP,IL10
APP,RPL14
APP,KBTBD7
APP,RPS3A
APP,RNF213
APP,GRIN2B
APP,RPN1
APP,H2AFX
APP,KIAA1429
APP,SLC25A5
APP,SACM1L
APP,COQ9
APP,GM2A
APP,RBM22
APP,EIF4A3
APP,NOS2
APP,SNRNP40
APP,SEC16A
APP,NPY5R
APP,SPATA24
APP,POLR2G
APP,POLR2E
APP,SREBF1
APP,TRIM42
APP,ATP5A1
APP,MYH9
APP,NOP58
APP,SUMO2
APP,NDUFB8
APP,HNRNPA3
APP,DEFA1
APP,KIF22
APP,HIST1H4A
APP,EIF4B
APP,MSH2
APP,METTL14
APP,MTURN
APP,RBBP5
APP,U2AF2
APP,CCL13
APP,UBA52
APP,TRIM36
APP,UBE2B
APP,MED26
APP,H3F3A
APP,HDAC2
CSF1R,MPHOSPH10
CSF1R,MEPCE
