"V1","V2"
"XCL2","XCR1"
"XCL1","XCR1"
"XCL1","XCL2"
"PIK3R6","VAV3"
"TXK","VAV3"
"UTS2R","XCR1"
"UTS2R","XCL2"
"UTS2R","XCL1"
"NRG4","NRG2"
"PIP5KL1","PIK3R6"
"TAS2R1","TAS2R9"
"TAS2R60","TAS2R9"
"TAS2R60","TAS2R1"
"TAS2R8","TAS2R9"
"TAS2R8","TAS2R1"
"TAS2R8","TAS2R60"
"SSTR4","TAS2R9"
"SSTR4","TAS2R1"
"SSTR4","TAS2R60"
"SSTR4","TAS2R8"
"SUCNR1","TAS2R9"
"SUCNR1","TAS2R1"
"SUCNR1","TAS2R60"
"SUCNR1","TAS2R8"
"SUCNR1","SSTR4"
"TAS2R40","TAS2R9"
"TAS2R40","TAS2R1"
"TAS2R40","TAS2R60"
"TAS2R40","TAS2R8"
"TAS2R40","SSTR4"
"TAS2R40","SUCNR1"
"TAS2R46","TAS2R9"
"TAS2R46","TAS2R1"
"TAS2R46","TAS2R60"
"TAS2R46","TAS2R8"
"TAS2R46","SSTR4"
"TAS2R46","SUCNR1"
"TAS2R46","TAS2R40"
"TAS2R13","TAS2R9"
"TAS2R13","TAS2R1"
"TAS2R13","TAS2R60"
"TAS2R13","TAS2R8"
"TAS2R13","SSTR4"
"TAS2R13","SUCNR1"
"TAS2R13","TAS2R40"
"TAS2R13","TAS2R46"
"S1PR3","TAS2R9"
"S1PR3","TAS2R1"
"S1PR3","TAS2R60"
"S1PR3","TAS2R8"
"S1PR3","SSTR4"
"S1PR3","SUCNR1"
"S1PR3","TAS2R40"
"S1PR3","TAS2R46"
"S1PR3","TAS2R13"
"TAS2R20","TAS2R9"
"TAS2R20","TAS2R1"
"TAS2R20","TAS2R60"
"TAS2R20","TAS2R8"
"TAS2R20","SSTR4"
"TAS2R20","SUCNR1"
"TAS2R20","TAS2R40"
"TAS2R20","TAS2R46"
"TAS2R20","TAS2R13"
"TAS2R20","S1PR3"
"TAS2R3","TAS2R9"
"TAS2R3","TAS2R1"
"TAS2R3","TAS2R60"
"TAS2R3","TAS2R8"
"TAS2R3","SSTR4"
"TAS2R3","SUCNR1"
"TAS2R3","TAS2R40"
"TAS2R3","TAS2R46"
"TAS2R3","TAS2R13"
"TAS2R3","S1PR3"
"TAS2R3","TAS2R20"
"PNOC","TAS2R9"
"PNOC","TAS2R1"
"PNOC","TAS2R60"
"PNOC","TAS2R8"
"PNOC","SSTR4"
"PNOC","SUCNR1"
"PNOC","TAS2R40"
"PNOC","TAS2R46"
"PNOC","TAS2R13"
"PNOC","S1PR3"
"PNOC","TAS2R20"
"PNOC","TAS2R3"
"SSTR2","TAS2R9"
"SSTR2","TAS2R1"
"SSTR2","TAS2R60"
"SSTR2","TAS2R8"
"SSTR2","SSTR4"
"SSTR2","SUCNR1"
"SSTR2","TAS2R40"
"SSTR2","TAS2R46"
"SSTR2","TAS2R13"
"SSTR2","S1PR3"
"SSTR2","TAS2R20"
"SSTR2","TAS2R3"
"SSTR2","PNOC"
"TAS2R30","TAS2R9"
"TAS2R30","TAS2R1"
"TAS2R30","TAS2R60"
"TAS2R30","TAS2R8"
"TAS2R30","SSTR4"
"TAS2R30","SUCNR1"
"TAS2R30","TAS2R40"
"TAS2R30","TAS2R46"
"TAS2R30","TAS2R13"
"TAS2R30","S1PR3"
"TAS2R30","TAS2R20"
"TAS2R30","TAS2R3"
"TAS2R30","PNOC"
"TAS2R30","SSTR2"
"TAS2R31","TAS2R9"
"TAS2R31","TAS2R1"
"TAS2R31","TAS2R60"
"TAS2R31","TAS2R8"
"TAS2R31","SSTR4"
"TAS2R31","SUCNR1"
"TAS2R31","TAS2R40"
"TAS2R31","TAS2R46"
"TAS2R31","TAS2R13"
"TAS2R31","S1PR3"
"TAS2R31","TAS2R20"
"TAS2R31","TAS2R3"
"TAS2R31","PNOC"
"TAS2R31","SSTR2"
"TAS2R31","TAS2R30"
"TAS2R10","TAS2R9"
"TAS2R10","TAS2R1"
"TAS2R10","TAS2R60"
"TAS2R10","TAS2R8"
"TAS2R10","SSTR4"
"TAS2R10","SUCNR1"
"TAS2R10","TAS2R40"
"TAS2R10","TAS2R46"
"TAS2R10","TAS2R13"
"TAS2R10","S1PR3"
"TAS2R10","TAS2R20"
"TAS2R10","TAS2R3"
"TAS2R10","PNOC"
"TAS2R10","SSTR2"
"TAS2R10","TAS2R30"
"TAS2R10","TAS2R31"
"OXER1","TAS2R9"
"OXER1","TAS2R1"
"OXER1","TAS2R60"
"OXER1","TAS2R8"
"OXER1","SSTR4"
"OXER1","SUCNR1"
"OXER1","TAS2R40"
"OXER1","TAS2R46"
"OXER1","TAS2R13"
"OXER1","S1PR3"
"OXER1","TAS2R20"
