"node","type"
"38804.Q6TV04_YMTV5",0
"TNF",2
"CYLD",2
"ELAVL1",2
"EGFR",2
"GLS",2
"KRT18",2
"PSMA6",2
"FN1",2
"FUS",2
"PSMA5",2
"CALM1",2
"MYC",2
"MAPK1",2
"HNRNPA1",2
"ADAM9",2
"EP300",2
"BGN",2
"AP2B1",2
"SF1",2
"APP",2
"CALM2",2
"HSPA5",2
"COPA",2
"FADD",2
"NR0B2",2
"HNRNPM",2
"BDH1",2
"CHUK",2
"CRP",2
"TPM3",2
"HMOX1",2
"CAV1",2
"CEBPB",2
"RPL13A",2
"LMNA",2
"PSMC6",2
"PPARG",2
"HNRNPU",2
"IKBKG",2
"MAP1B",2
"MVP",2
"NPM1",2
"GNB2L1",2
"PSMA4",2
"FBXW11",2
"RNF31",2
"JUN",2
"MAP3K7",2
"RC3H1",2
"UBC",2
"PSMB7",2
"HDAC3",2
"TP53",2
"DDX5",2
"NCL",2
"CDC42",2
"ACTB",2
"CD83",2
"PSMD8",2
"TRAF1",2
"BID",2
"PSMA2",2
"RPL27",2
"TNFRSF1A",2
"PSMB5",2
"RPL7A",2
"IKBKB",2
"PSMB1",2
"RPLP1",2
"PSMC2",2
"RPL7",2
"MYL6",2
"RPS19",2
"CLTC",2
"BTRC",2
"CASP3",2
"RPS13",2
"NDUFA4",2
"NQO1",2
"RXRA",2
"HNRNPA2B1",2
"CALM3",2
"CAPZA1",2
"EEF2",2
"CCND1",2
"PSMD11",2
"RPS27",2
"RPS8",2
"AKT1",2
"PSMB2",2
"KRT10",2
"KCTD5",2
"AHSG",2
"RPL6",2
"PSMD14",2
"CREBBP",2
"DDX3X",2
"FOXP3",2
"TNIP1",2
"TGFB1",2
"RPL11",2
"IGF1",2
"TNFRSF13C",2
"RPL10A",2
"RPL9",2
"NR3C1",2
"GAPDH",2
"RPL4",2
"CLU",2
"CASP8",2
"KRT5",2
"PSMA8",2
"DCD",2
"EEF1A1",2
"ACTC1",2
"RPS10",2
"TUFM",2
"HNRNPD",2
"HIST1H1C",2
"KIF11",2
"STAT3",2
"SRSF7",2
"ITGAM",2
"PTEN",2
"RELA",2
"RPL13",2
"HNRNPF",2
"APOE",2
"RPS23",2
"KRT2",2
"ITGA4",2
"DDX17",2
"RPS25",2
"RPS4X",2
"NEK7",2
"NFKBIA",2
"KDR",2
"PSMD6",2
"TRAF2",2
"SELE",2
"PSMB8",2
"IRAK3",2
"RPL3",2
"PSMB6",2
"RPS18",2
"HIST1H1B",2
"FANCG",2
"MYO1C",2
"DECR1",2
"TFAP2A",2
"IGF2BP1",2
"RPL23",2
"PKM",2
"DYNLL1",2
"RPL12",2
"CFLAR",2
"TPM1",2
"B4GALT1",2
"OPTN",2
"RAC1",2
"IRAK1",2
"HSPA12A",2
"LYN",2
"PSMC4",2
"PSMB3",2
"RPL15",2
"TNIP2",2
"PRDX1",2
"POU2F1",2
"ALB",2
"SLC25A5",2
"CXCL8",2
"S100A6",2
"HSPB1",2
"MAPK14",2
"MAPK11",2
"RPL28",2
"G3BP2",2
"SYNCRIP",2
"PSMA3",2
"RPL22",2
"RPL26",2
"BIRC2",2
"MAP3K1",2
"SOCS3",2
"ANXA5",2
"CAPNS1",2
"PSMD9",2
"MAP4K2",2
"RNF8",2
"DNAJA1",2
"TNFAIP3",2
"PABPC1",2
"RPS6",2
"DAG1",2
"PSMD3",2
"SOD2",2
"PSME3",2
"SHARPIN",2
"IKBKE",2
"PPP1CB",2
"BIRC3",2
"NOD2",2
"FYN",2
"RPS26",2
"PAWR",2
"RAB5A",2
"PSMD2",2
"SRP14",2
"RPS27A",2
"UGDH",2
"JAK1",2
"SFPQ",2
"CPD",2
"RPL17",2
"ATP5C1",2
"BANF1",2
"NOS2",2
