"V1","V2"
"ATP2A2","calcium ion import into sarcoplasmic reticulum"
"ATP2A2","regulation of cardiac conduction"
"ATP2A2","calcium ion transport from cytosol to endoplasmic reticulum"
"ATP2A2","regulation of calcium ion-dependent exocytosis of neurotransmitter"
"ATP2A2","proton transmembrane transport"
"ATP2A2","negative regulation of receptor binding"
"ATP2A2","plasma membrane bounded cell projection"
"ATP2A2","regulation of cardiac muscle cell action potential involved in regulation of contraction"
"ATP2A2","ribbon synapse"
"ATP2A2","calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential"
"ATP2A2","regulation of cardiac muscle cell membrane potential"
"ATP2A2","calcium ion transmembrane transport"
"ATP2A2","sarcoplasmic reticulum calcium ion transport"
"ATP2A2","apical ectoplasmic specialization"
"ATP2A2","relaxation of cardiac muscle"
"ATP2A2","perinuclear region of cytoplasm"
"ATP2A2","negative regulation of heart contraction"
"ATP2A2","S100 protein binding"
"ATP2A2","ion channel binding"
"ATP2A2","response to endoplasmic reticulum stress"
"ATP2A2","cellular response to heat"
"ATP2A2","cellular response to oxidative stress"
"ATP2A2","ion transmembrane transport"
"ATP2A2","T-tubule organization"
"ATP2A2","sarcoplasmic reticulum membrane"
"ATP2A2","protein-containing complex"
"ATP2A2","response to lipopolysaccharide"
"ATP2A2","positive regulation of endoplasmic reticulum calcium ion concentration"
"ATP2A2","endoplasmic reticulum calcium ion homeostasis"
"ATP2A2","lutropin-choriogonadotropic hormone receptor binding"
"ATP2A2","extrinsic component of cytoplasmic side of plasma membrane"
"ATP2A2","platelet dense tubular network membrane"
"ATP2A2","enzyme binding"
"ATP2A2","sarcoplasmic reticulum"
"ATP2A2","membrane"
"ATP2A2","cardiac muscle hypertrophy in response to stress"
"ATP2A2","transition between fast and slow fiber"
"ATP2A2","vesicle membrane"
"ATP2A2","regulation of cardiac muscle contraction by calcium ion signaling"
"ATP2A2","positive regulation of heart rate"
"ATP2A2","proton-exporting ATPase activity, phosphorylative mechanism"
"ATP2A2","epidermis development"
"ATP2A2","cell adhesion"
"ATP2A2","organelle organization"
"ATP2A2","ER-nucleus signaling pathway"
"ATP2A2","cellular calcium ion homeostasis"
"ATP2A2","integral component of plasma membrane"
"ATP2A2","endoplasmic reticulum membrane"
"ATP2A2","endoplasmic reticulum"
"ATP2A2","cell"
"ATP2A2","ATP binding"
"ATP2A2","protein binding"
"ATP2A2","calcium ion binding"
"ATP2A2","calcium transmembrane transporter activity, phosphorylative mechanism"
"ATP2A2","skeletal muscle contraction"
"ATP2A2","regulation of the force of heart contraction"
"GRK6","beta-adrenergic receptor kinase activity"
"GRK6","Wnt signaling pathway"
"GRK6","membrane"
"GRK6","regulation of G protein-coupled receptor signaling pathway"
"GRK6","G protein-coupled receptor signaling pathway"
"GRK6","protein phosphorylation"
"GRK6","plasma membrane"
"GRK6","ATP binding"
"GRK6","protein binding"
"GRK6","G protein-coupled receptor kinase activity"
"RAB9A","extracellular exosome"
"RAB9A","negative regulation by host of symbiont molecular function"
"RAB9A","positive regulation of exocytosis"
"RAB9A","phagocytic vesicle"
"RAB9A","identical protein binding"
"RAB9A","melanosome"
"RAB9A","retrograde transport, endosome to Golgi"
"RAB9A","regulation of protein localization"
"RAB9A","trans-Golgi network membrane"
"RAB9A","Rab protein signal transduction"
"RAB9A","phagocytic vesicle membrane"
"RAB9A","transport vesicle"
"RAB9A","GDP binding"
"RAB9A","endomembrane system"
"RAB9A","intracellular protein transport"
"RAB9A","plasma membrane"
"RAB9A","cytosol"
"RAB9A","endoplasmic reticulum membrane"
"RAB9A","late endosome"
"RAB9A","lysosome"
"RAB9A","GTP binding"
"RAB9A","protein binding"
"RAB9A","GTPase activity"
"HDAC9","histone H4-K16 deacetylation"
"HDAC9","positive regulation of cell migration involved in sprouting angiogenesis"
"HDAC9","histone H4 deacetylation"
"HDAC9","histone H3 deacetylation"
"HDAC9","repressing transcription factor binding"
"HDAC9","regulation of striated muscle cell differentiation"
"HDAC9","negative regulation of lipoprotein lipase activity"
"HDAC9","negative regulation of cytokine secretion"
"HDAC9","regulation of skeletal muscle fiber development"
"HDAC9","metal ion binding"
"HDAC9","negative regulation of transcription, DNA-templated"
"HDAC9","histone deacetylase binding"
"HDAC9","cholesterol homeostasis"
"HDAC9","B cell activation"
"HDAC9","histone methyltransferase complex"
"HDAC9","peptidyl-lysine deacetylation"
"HDAC9","histone deacetylase activity (H4-K16 specific)"
"HDAC9","protein deacetylase activity"
"HDAC9","cellular response to insulin stimulus"
"HDAC9","NAD-dependent histone deacetylase activity (H3-K14 specific)"
"HDAC9","B cell differentiation"
"HDAC9","neuron differentiation"
"HDAC9","histone deacetylation"
"HDAC9","transcription factor binding"
"HDAC9","heart development"
"HDAC9","inflammatory response"
"HDAC9","cytoplasm"
"HDAC9","transcription factor complex"
"HDAC9","nucleoplasm"
"HDAC9","nucleus"
"HDAC9","protein binding"
"HDAC9","protein kinase C binding"
"HDAC9","histone deacetylase activity"
"HDAC9","transcription corepressor activity"
"HDAC9","response to amphetamine"
"HDAC9","negative regulation of transcription by RNA polymerase II"
"HDAC9","histone deacetylase complex"
"DHFR","regulation of removal of superoxide radicals"
"DHFR","sequence-specific mRNA binding"
"DHFR","NADPH binding"
"DHFR","oxidation-reduction process"
"DHFR","methotrexate binding"
"DHFR","positive regulation of nitric-oxide synthase activity"
"DHFR","NADP binding"
"DHFR","folic acid metabolic process"
"DHFR","tetrahydrofolate biosynthetic process"
"DHFR","tetrahydrofolate metabolic process"
"DHFR","dihydrofolate metabolic process"
"DHFR","response to methotrexate"
"DHFR","axon regeneration"
"DHFR","negative regulation of translation"
"DHFR","drug binding"
"DHFR","one-carbon metabolic process"
"DHFR","tetrahydrobiopterin biosynthetic process"
"DHFR","cytosol"
"DHFR","mitochondrion"
"DHFR","folic acid binding"
"DHFR","dihydrofolate reductase activity"
"DHFR","mRNA binding"
"DHFR","translation repressor activity, mRNA regulatory element binding"
"DHFR","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"GDI1","negative regulation of protein targeting to membrane"
"GDI1","response to calcium ion"
"GDI1","regulation of small GTPase mediated signal transduction"
"GDI1","negative regulation of axonogenesis"
"GDI1","positive regulation of axon extension"
"GDI1","positive regulation of GTPase activity"
"GDI1","myelin sheath"
"GDI1","neuronal cell body"
"GDI1","protein-containing complex"
"GDI1","Rab protein signal transduction"
"GDI1","midbody"
"GDI1","axon"
"GDI1","Rab GTPase binding"
"GDI1","vesicle-mediated transport"
"GDI1","protein transport"
"GDI1","signal transduction"
"GDI1","cytosol"
"GDI1","Golgi apparatus"
"GDI1","cytoplasm"
"GDI1","protein binding"
"GDI1","GTPase activator activity"
"GDI1","Rab GDP-dissociation inhibitor activity"
"GDI1","GDP-dissociation inhibitor activity"
"GDI1","RAB9A"
"LAP3","extracellular exosome"
"LAP3","midbody"
"LAP3","manganese ion binding"
"LAP3","metalloexopeptidase activity"
"LAP3","proteolysis"
"LAP3","focal adhesion"
"LAP3","cytosol"
"LAP3","trans-Golgi network"
"LAP3","nucleoplasm"
"LAP3","nucleus"
"LAP3","aminopeptidase activity"
"XPO1","ribonucleoprotein complex"
"XPO1","intracellular transport of virus"
"XPO1","mRNA transport"
"XPO1","regulation of protein export from nucleus"
"XPO1","host cell"
"XPO1","regulation of mRNA stability"
"XPO1","intracellular membrane-bounded organelle"
"XPO1","response to drug"
"XPO1","ribosome biogenesis"
"XPO1","protein localization to nucleus"
"XPO1","protein-containing complex"
"XPO1","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"XPO1","nuclear membrane"
"XPO1","protein domain specific binding"
"XPO1","viral process"
"XPO1","membrane"
"XPO1","Cajal body"
"XPO1","regulation of centrosome duplication"
"XPO1","Ran GTPase binding"
"XPO1","nucleocytoplasmic transport"
"XPO1","protein export from nucleus"
"XPO1","cytosol"
"XPO1","cytoplasm"
"XPO1","nucleolus"
"XPO1","nucleoplasm"
"XPO1","annulate lamellae"
"XPO1","nuclear envelope"
"XPO1","nucleus"
"XPO1","protein binding"
"XPO1","nuclear export signal receptor activity"
"XPO1","RNA binding"
"XPO1","kinetochore"
"XPO1","negative regulation of transcription by RNA polymerase II"
"XPO1","ribosomal small subunit export from nucleus"
"XPO1","ribosomal large subunit export from nucleus"
"XPO1","ribosomal subunit export from nucleus"
"MYO5A","regulation of Golgi organization"
"MYO5A","regulation of postsynaptic cytosolic calcium ion concentration"
"MYO5A","establishment of endoplasmic reticulum localization to postsynapse"
"MYO5A","glutamatergic synapse"
"MYO5A","postsynapse"
"MYO5A","disordered domain specific binding"
"MYO5A","protein localization to plasma membrane"
"MYO5A","extracellular exosome"
"MYO5A","recycling endosome"
"MYO5A","actin filament binding"
"MYO5A","synapse organization"
"MYO5A","hair follicle maturation"
"MYO5A","neuronal cell body"
"MYO5A","neuron projection"
"MYO5A","identical protein binding"
"MYO5A","long-chain fatty acid biosynthetic process"
"MYO5A","actomyosin"
"MYO5A","myelination"
"MYO5A","odontogenesis"
"MYO5A","melanosome"
"MYO5A","melanin biosynthetic process"
"MYO5A","microtubule plus-end"
"MYO5A","cellular response to insulin stimulus"
"MYO5A","insulin-responsive compartment"
"MYO5A","filopodium tip"
"MYO5A","melanosome transport"
"MYO5A","secretory granule localization"
"MYO5A","locomotion involved in locomotory behavior"
"MYO5A","vesicle"
"MYO5A","regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"MYO5A","actin-dependent ATPase activity"
"MYO5A","growth cone"
"MYO5A","melanocyte differentiation"
"MYO5A","insulin secretion"
"MYO5A","vesicle transport along actin filament"
"MYO5A","actin filament-based movement"
"MYO5A","Rab GTPase binding"
"MYO5A","unconventional myosin complex"
"MYO5A","vesicle-mediated transport"
"MYO5A","membrane"
"MYO5A","actin cytoskeleton"
"MYO5A","visual perception"
"MYO5A","chemical synaptic transmission"
"MYO5A","actin filament organization"
"MYO5A","post-Golgi vesicle-mediated transport"
"MYO5A","exocytosis"
"MYO5A","actin filament"
"MYO5A","intermediate filament"
"MYO5A","cytosol"
"MYO5A","Golgi apparatus"
"MYO5A","smooth endoplasmic reticulum"
"MYO5A","endoplasmic reticulum"
"MYO5A","peroxisome"
"MYO5A","late endosome"
"MYO5A","early endosome"
"MYO5A","lysosome"
"MYO5A","cytoplasm"
"MYO5A","cell"
"MYO5A","ATP binding"
"MYO5A","calmodulin binding"
"MYO5A","protein binding"
"MYO5A","calcium ion binding"
"MYO5A","RNA binding"
"MYO5A","photoreceptor outer segment"
"MYO5A","ruffle"
"MYO5A","microfilament motor activity"
"DDX39B","positive regulation of DNA biosynthetic process"
"DDX39B","negative regulation of DNA damage checkpoint"
"DDX39B","positive regulation of vascular smooth muscle cell proliferation"
"DDX39B","positive regulation of cell growth involved in cardiac muscle cell development"
"DDX39B","viral mRNA export from host cell nucleus"
"DDX39B","positive regulation of translation"
"DDX39B","protein-containing complex binding"
"DDX39B","ATP-dependent protein binding"
"DDX39B","identical protein binding"
"DDX39B","positive regulation of DNA-templated transcription, elongation"
"DDX39B","mRNA 3'-end processing"
"DDX39B","U4 snRNA binding"
"DDX39B","U6 snRNA binding"
"DDX39B","ATPase activity"
"DDX39B","nuclear speck"
"DDX39B","nuclear matrix"
"DDX39B","RNA secondary structure unwinding"
"DDX39B","RNA splicing"
"DDX39B","RNA-dependent ATPase activity"
"DDX39B","mRNA export from nucleus"
"DDX39B","RNA export from nucleus"
"DDX39B","cytoplasm"
"DDX39B","U6 snRNP"
"DDX39B","U4 snRNP"
"DDX39B","spliceosomal complex"
"DDX39B","nucleoplasm"
"DDX39B","nucleus"
"DDX39B","ATP binding"
"DDX39B","protein binding"
"DDX39B","RNA helicase activity"
"DDX39B","RNA binding"
"DDX39B","liver development"
"DDX39B","mRNA splicing, via spliceosome"
"DDX39B","transcription export complex"
"DDX39B","spliceosomal complex assembly"
"DDX39B","XPO1"
"GRK5","regulation of cell cycle"
"GRK5","beta-adrenergic receptor kinase activity"
"GRK5","protein autophosphorylation"
"GRK5","fat cell differentiation"
"GRK5","negative regulation of apoptotic process"
"GRK5","nuclear membrane"
"GRK5","nuclear speck"
"GRK5","Wnt signaling pathway"
"GRK5","positive regulation of cell population proliferation"
"GRK5","regulation of G protein-coupled receptor signaling pathway"
"GRK5","tachykinin receptor signaling pathway"
"GRK5","adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"GRK5","G protein-coupled receptor signaling pathway"
"GRK5","apoptotic process"
"GRK5","plasma membrane"
"GRK5","cytosol"
"GRK5","cytoplasm"
"GRK5","phospholipid binding"
"GRK5","ATP binding"
"GRK5","protein binding"
"GRK5","protein kinase C binding"
"GRK5","G protein-coupled receptor kinase activity"
"GRK5","protein serine/threonine kinase activity"
"GRK5","GRK6"
"LILRB2","regulation of dendritic cell differentiation"
"LILRB2","negative regulation of postsynaptic density organization"
"LILRB2","positive regulation of long-term synaptic depression"
"LILRB2","regulation of long-term synaptic potentiation"
"LILRB2","ficolin-1-rich granule membrane"
"LILRB2","cellular response to lipopolysaccharide"
"LILRB2","tertiary granule membrane"
"LILRB2","negative regulation of calcium ion transport"
"LILRB2","negative regulation of protein metabolic process"
"LILRB2","cell adhesion molecule binding"
"LILRB2","regulation of immune response"
"LILRB2","positive regulation of regulatory T cell differentiation"
"LILRB2","protein-containing complex binding"
"LILRB2","neutrophil degranulation"
"LILRB2","protein homodimerization activity"
"LILRB2","MHC class I protein binding"
"LILRB2","negative regulation of T cell proliferation"
"LILRB2","positive regulation of T cell proliferation"
"LILRB2","positive regulation of protein dephosphorylation"
"LILRB2","heterotypic cell-cell adhesion"
"LILRB2","positive regulation of interleukin-6 production"
"LILRB2","inhibitory MHC class I receptor activity"
"LILRB2","MHC class Ib protein binding"
"LILRB2","MHC class Ib protein complex binding"
"LILRB2","membrane"
"LILRB2","cell surface"
"LILRB2","protein phosphatase 1 binding"
"LILRB2","learning or memory"
"LILRB2","cell-cell signaling"
"LILRB2","cell surface receptor signaling pathway"
"LILRB2","signal transduction"
"LILRB2","cellular defense response"
"LILRB2","immune response"
"LILRB2","integral component of plasma membrane"
"LILRB2","plasma membrane"
"LILRB2","cytoplasm"
"LILRB2","extracellular space"
"LILRB2","protein binding"
"LILRB2","Fc receptor mediated inhibitory signaling pathway"
"LILRB2","immune response-inhibiting cell surface receptor signaling pathway"
"LILRB2","positive regulation of T cell tolerance induction"
"LILRB2","positive regulation of tolerance induction"
"LILRB2","negative regulation of antigen processing and presentation"
"LILRB2","adaptive immune response"
"LILRB2","amyloid-beta binding"
"KLRC2","protein antigen binding"
"KLRC2","innate immune response"
"KLRC2","receptor complex"
"KLRC2","carbohydrate binding"
"KLRC2","MHC class I protein complex binding"
"KLRC2","signal transduction"
"KLRC2","cellular defense response"
"KLRC2","integral component of plasma membrane"
"KLRC2","plasma membrane"
"KLRC2","protein binding"
"KLRC2","transmembrane signaling receptor activity"
"KLRC2","natural killer cell mediated immunity"
"ISG15","interferon-gamma secretion"
"ISG15","interleukin-10 secretion"
"ISG15","type I interferon signaling pathway"
"ISG15","defense response to virus"
"ISG15","positive regulation of erythrocyte differentiation"
"ISG15","negative regulation of viral genome replication"
"ISG15","defense response to bacterium"
"ISG15","response to type I interferon"
"ISG15","regulation of interferon-gamma production"
"ISG15","negative regulation of type I interferon production"
"ISG15","ISG15-protein conjugation"
"ISG15","ubiquitin protein ligase binding"
"ISG15","negative regulation of protein ubiquitination"
"ISG15","protein tag"
"ISG15","positive regulation of bone mineralization"
"ISG15","translesion synthesis"
"ISG15","modification-dependent protein catabolic process"
"ISG15","protein ubiquitination"
"ISG15","viral process"
"ISG15","integrin-mediated signaling pathway"
"ISG15","cytosol"
"ISG15","cytoplasm"
"ISG15","nucleoplasm"
"ISG15","nucleus"
"ISG15","extracellular region"
"ISG15","protein binding"
"ISG15","integrin binding"
"ISG15","LAP3"
"CD83","positive regulation of CD4-positive, alpha-beta T cell differentiation"
"CD83","positive regulation of interleukin-2 production"
"CD83","positive regulation of interleukin-10 production"
"CD83","negative regulation of interleukin-4 production"
"CD83","response to organic cyclic compound"
"CD83","external side of plasma membrane"
"CD83","signal transduction"
"CD83","humoral immune response"
"CD83","defense response"
"CD83","integral component of plasma membrane"
"CD83","plasma membrane"
"CD83","protein binding"
"CD83","GRK6"
"HLA-E","positive regulation of CD8-positive, alpha-beta T cell activation"
"HLA-E","positive regulation of CD8-positive, alpha-beta T cell proliferation"
"HLA-E","integral component of lumenal side of endoplasmic reticulum membrane"
"HLA-E","extracellular exosome"
"HLA-E","type I interferon signaling pathway"
"HLA-E","interferon-gamma-mediated signaling pathway"
"HLA-E","recycling endosome membrane"
"HLA-E","positive regulation of immunoglobulin secretion"
"HLA-E","defense response to Gram-positive bacterium"
"HLA-E","regulation of immune response"
