source,target
SMARCA4,SMARCA4
SMARCA4,TMEM216
SMARCA4,MEPCE
SMARCA4,AHCY
SMARCA4,CDC20
MCM7,RPS14
MCM7,REPS1
MCM7,ATM
MCM7,MCM7
MCM7,KIAA1429
PIK3CA,GNG4
PIK3CA,SYMPK
PIK3CA,XAB2
PIK3CA,ARSA
PIK3CA,POLR2H
ATM,MAD2L1
ATM,PIH1D1
ATM,GNG4
ATM,CDC20
ATM,TMX2
ATM,POLR1B
MAD2L1,KIAA1429
MAD2L1,PHB
MAD2L1,AHCY
COPS5,XAB2
COPS5,ATM
COPS5,G3BP1
COPS5,KIAA1429
COPS5,POLR2G
COPS5,SMARCA4
COPS5,CCR8
COPS5,RPS14
COPS5,RPL6
COPS5,ADCY6
COPS5,POLR2H
COPS5,PIH1D1
COPS5,PIK3CA
GPN1,POLR2G
GPN1,GRPEL1
GPN1,AIFM1
SPTBN2,SMARCA4
SYMPK,ATM
SYMPK,MEPCE
SYMPK,UBE2H
GNG4,AHCY
GNG4,TES
GNG4,G3BP1
GNG4,COPS5
POLR2G,POLR2G
POLR2G,GNG4
POLR2G,PHB
POLR2G,RPL6
POLR2G,DYNC1I1
POLR2G,ATM
POLR2G,AHCY
NCOR1,PTEN
NCOR1,AHCY
NCOR1,VWCE
NCOR1,PHB
NCOR1,MCM7
ATP6V1G2,POLR2G
ARRB1,MEPCE
ARRB1,POLR2G
ARRB1,RPS14
ARRB1,G3BP1
ARRB1,TOM1L1
ARRB1,CAND1
ARRB1,PHB
ARRB1,CCR8
PLSCR4,SYMPK
PLSCR4,AHCY
RPS14,POLR2H
RPS14,GATAD2A
DYNC1I1,DYNC1I1
DYNC1I1,POLR2H
DYNC1I1,PIK3CA
DYNC1I1,CCND1
DYNC1I1,TNF
DYNC1I1,KIAA1429
PIH1D1,KAT2A
PIH1D1,SYMPK
PIH1D1,NPSR1
PIH1D1,FBXL22
PIH1D1,TES
CHMP2B,KAT2A
CHMP2B,VWCE
XAB2,CNIH2
XAB2,MEPCE
XAB2,TNF
XAB2,KIAA1429
XAB2,DNAJC5
MAP2K7,RPL30
MAP2K7,GNG4
MAP2K7,MEPCE
CDC20,CCR8
CDC20,AHCY
CDC20,PHB
CDC20,TCEA1
CDC20,ARFGAP1
CDC20,ARRB1
CDC20,POLR1B
CDC20,CTNNA2
CDC20,NPY4R
RBM25,AIFM1
RBM25,PHB
AHCY,MYADM
AHCY,ATP6V1G2
AHCY,GPN1
AHCY,NIPBL
AHCY,HIST1H2AG
AHCY,HIST2H4A
AHCY,CD44
AHCY,PHB
AHCY,MRPL43
AHCY,VWCE
AHCY,SPTBN2
AHCY,CCR8
AHCY,AHCY
AHCY,TCEA1
AHCY,RBM25
AHCY,UTP14C
AHCY,CEP83
AHCY,SLC9A3R2
AHCY,POLR1B
AHCY,SEC11C
AHCY,TFF3
AHCY,MTG2
AHCY,KIAA1429
AHCY,FBXL22
AHCY,CYTH3
AHCY,COL9A1
AHCY,GATAD2A
AHCY,MCM7
AHCY,LMX1A
AHCY,CNIH2
AHCY,NPSR1
AHCY,SRPRB
AHCY,UBE2H
AHCY,ARRB1
AHCY,CAND1
AHCY,EPYC
AHCY,PJA1
AHCY,G3BP1
AHCY,CAPZB
AHCY,CCND1
AHCY,RPS14
AHCY,RPL6
AHCY,POLR2H
AHCY,CHMP2B
AHCY,MAP2K7
AHCY,XAB2
AHCY,ZMAT2
AHCY,DYNC1I1
AHCY,SERPINA12
AHCY,COPS5
AHCY,ANKRA2
AHCY,PIH1D1
AHCY,ZSWIM7
AHCY,PTEN
AHCY,LAMP1
AHCY,PGP
AHCY,TOM1L1
AHCY,CTNNA2
AHCY,SYMPK
AHCY,MIR138-2
AHCY,MRPS28
AHCY,ATM
AHCY,RPL30
AHCY,GRPEL1
AHCY,PIK3CA
SRPRB,FBXL22
SRPRB,GNG4
AIFM1,AIFM1
AIFM1,ANAPC7
AIFM1,AHCY
AIFM1,CD44
AIFM1,PTEN
CAPZB,RPS14
CAPZB,GRPEL1
CAPZB,KIAA1429
CAPZB,PIH1D1
CAPZB,NPY4R
CAPZB,CD44
POLR2H,POLR2H
POLR2H,UBE2H
POLR2H,ATM
POLR2H,TMEM216
POLR2H,HIST2H4A
POLR2H,PTEN
POLR2H,CAPZB
EBNA1BP2,PLSCR4
EBNA1BP2,AHCY
EBNA1BP2,POLR2G
EBNA1BP2,PIH1D1
EBNA1BP2,PHB
EBNA1BP2,AIFM1
G3BP1,KIAA1429
G3BP1,GRPR
G3BP1,CD44
G3BP1,RPL30
G3BP1,SYMPK
G3BP1,UBE2H
G3BP1,CNIH2
RPL30,RPS14
RPL30,KIAA1429
RPL30,PJA1
RPL6,GNB3
RPL6,SEC11C
RPL6,PLCG2
RPL6,RPL30
RPL6,KIAA1429
TNF,AHCY
TNF,KAT2A
TNF,G3BP1
TNF,MCM7
CCND1,UBE2H
CCND1,CCND1
CCND1,G3BP1
CCND1,DNAJC5
CCND1,CAND1
CCND1,TNF
CCND1,MEPCE
PTEN,GRPEL1
