"V1","V2"
"RPS6KA1","positive regulation of hepatic stellate cell activation"
"RPS6KA1","hepatocyte proliferation"
"RPS6KA1","positive regulation of transcription by RNA polymerase II"
"RPS6KA1","positive regulation of cell differentiation"
"RPS6KA1","regulation of DNA-templated transcription in response to stress"
"RPS6KA1","regulation of translation in response to stress"
"RPS6KA1","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"RPS6KA1","negative regulation of apoptotic process"
"RPS6KA1","cysteine-type endopeptidase inhibitor activity involved in apoptotic process"
"RPS6KA1","intracellular signal transduction"
"RPS6KA1","positive regulation of cell growth"
"RPS6KA1","signal transduction"
"RPS6KA1","cell cycle"
"RPS6KA1","apoptotic process"
"RPS6KA1","protein phosphorylation"
"RPS6KA1","cytosol"
"RPS6KA1","cytoplasm"
"RPS6KA1","nucleoplasm"
"RPS6KA1","nucleus"
"RPS6KA1","ATP binding"
"RPS6KA1","protein binding"
"RPS6KA1","protein serine/threonine/tyrosine kinase activity"
"RPS6KA1","ribosomal protein S6 kinase activity"
"RPS6KA1","protein serine/threonine kinase activity"
"RPS6KA1","magnesium ion binding"
"IKBKB","transferrin receptor binding"
"IKBKB","negative regulation of bicellular tight junction assembly"
"IKBKB","regulation of establishment of endothelial barrier"
"IKBKB","scaffold protein binding"
"IKBKB","protein localization to plasma membrane"
"IKBKB","cellular response to tumor necrosis factor"
"IKBKB","interleukin-1-mediated signaling pathway"
"IKBKB","stress-activated MAPK cascade"
"IKBKB","positive regulation of NF-kappaB transcription factor activity"
"IKBKB","T cell receptor signaling pathway"
"IKBKB","protein heterodimerization activity"
"IKBKB","positive regulation of transcription by RNA polymerase II"
"IKBKB","positive regulation of transcription, DNA-templated"
"IKBKB","membrane raft"
"IKBKB","innate immune response"
"IKBKB","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"IKBKB","negative regulation of apoptotic process"
"IKBKB","protein homodimerization activity"
"IKBKB","identical protein binding"
"IKBKB","regulation of phosphorylation"
"IKBKB","Fc-epsilon receptor signaling pathway"
"IKBKB","TRIF-dependent toll-like receptor signaling pathway"
"IKBKB","CD40 receptor complex"
"IKBKB","negative regulation of myosin-light-chain-phosphatase activity"
"IKBKB","tumor necrosis factor-mediated signaling pathway"
"IKBKB","cortical actin cytoskeleton organization"
"IKBKB","protein kinase binding"
"IKBKB","peptidyl-serine phosphorylation"
"IKBKB","viral process"
"IKBKB","regulation of tumor necrosis factor-mediated signaling pathway"
"IKBKB","cytoplasmic side of plasma membrane"
"IKBKB","response to virus"
"IKBKB","IkappaB kinase complex"
"IKBKB","IkappaB kinase activity"
"IKBKB","I-kappaB phosphorylation"
"IKBKB","I-kappaB kinase/NF-kappaB signaling"
"IKBKB","inflammatory response"
"IKBKB","protein phosphorylation"
"IKBKB","cytosol"
"IKBKB","cytoplasm"
"IKBKB","nucleus"
"IKBKB","ATP binding"
"IKBKB","protein binding"
"IKBKB","protein serine/threonine kinase activity"
"IKBKB","protein kinase activity"
"IKBKB","MyD88-independent toll-like receptor signaling pathway"
"IKBKB","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"IKBKB","stimulatory C-type lectin receptor signaling pathway"
"IKBKB","RPS6KA1"
"CDK18","regulation of cell cycle"
"CDK18","protein phosphorylation"
"CDK18","cytoplasm"
"CDK18","nucleus"
"CDK18","cellular_component"
"CDK18","ATP binding"
"CDK18","protein binding"
"CDK18","cyclin-dependent protein serine/threonine kinase activity"
"CDK18","protein serine/threonine kinase activity"
"PDE6B","photoreceptor disc membrane"
"PDE6B","retina development in camera-type eye"
"PDE6B","regulation of cytosolic calcium ion concentration"
"PDE6B","3',5'-cyclic-GMP phosphodiesterase activity"
"PDE6B","metal ion binding"
"PDE6B","regulation of rhodopsin mediated signaling pathway"
"PDE6B","rhodopsin mediated signaling pathway"
"PDE6B","phototransduction, visible light"
"PDE6B","visual perception"
"PDE6B","Wnt signaling pathway, calcium modulating pathway"
"PDE6B","G protein-coupled receptor signaling pathway"
"PDE6B","plasma membrane"
"PDE6B","cell"
"CDK5","positive regulation of actin cytoskeleton reorganization"
"CDK5","cellular response to amyloid-beta"
"CDK5","regulation of synaptic vesicle recycling"
"CDK5","regulation of protein localization to plasma membrane"
"CDK5","regulation of signal transduction by p53 class mediator"
"CDK5","positive regulation of voltage-gated calcium channel activity"
"CDK5","negative regulation of neuron death"
"CDK5","induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration"
"CDK5","voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels"
"CDK5","regulation of neurotransmitter receptor activity"
"CDK5","glutamatergic synapse"
"CDK5","synapse pruning"
"CDK5","presynapse"
"CDK5","Schaffer collateral - CA1 synapse"
"CDK5","positive regulation of protein targeting to membrane"
"CDK5","regulation of cell cycle arrest"
"CDK5","calcium ion import"
"CDK5","regulation of dendritic spine morphogenesis"
"CDK5","excitatory postsynaptic potential"
"CDK5","regulation of synaptic transmission, glutamatergic"
"CDK5","Hsp90 protein binding"
"CDK5","neuron apoptotic process"
"CDK5","cell division"
"CDK5","tau-protein kinase activity"
"CDK5","dendrite morphogenesis"
"CDK5","oligodendrocyte differentiation"
"CDK5","axon extension"
"CDK5","rhythmic process"
"CDK5","synaptic vesicle transport"
"CDK5","synaptic vesicle endocytosis"
"CDK5","regulation of synaptic plasticity"
"CDK5","tau protein binding"
"CDK5","behavioral response to cocaine"
"CDK5","ephrin receptor binding"
"CDK5","negative regulation of protein export from nucleus"
"CDK5","protein autophosphorylation"
"CDK5","positive regulation of calcium ion-dependent exocytosis"
"CDK5","negative regulation of transcription, DNA-templated"
"CDK5","negative regulation of proteolysis"
"CDK5","positive regulation of protein kinase activity"
"CDK5","negative regulation of cell cycle"
"CDK5","positive regulation of neuron apoptotic process"
"CDK5","perikaryon"
"CDK5","ErbB-3 class receptor binding"
"CDK5","receptor clustering"
"CDK5","neuronal cell body"
"CDK5","neuron projection"
"CDK5","regulation of apoptotic process"
"CDK5","serine phosphorylation of STAT protein"
"CDK5","protein localization to synapse"
"CDK5","synaptic transmission, glutamatergic"
"CDK5","positive regulation of glial cell apoptotic process"
"CDK5","receptor catabolic process"
"CDK5","positive regulation of protein binding"
"CDK5","negative regulation of synaptic plasticity"
"CDK5","neuromuscular junction"
"CDK5","negative regulation of protein ubiquitination"
"CDK5","neuron projection development"
"CDK5","cortical actin cytoskeleton organization"
"CDK5","acetylcholine receptor activator activity"
"CDK5","negative regulation of axon extension"
"CDK5","growth cone"
"CDK5","dendrite"
"CDK5","axon"
"CDK5","regulation of cell migration"
"CDK5","neuron differentiation"
"CDK5","filopodium"
"CDK5","lamellipodium"
"CDK5","corpus callosum development"
"CDK5","central nervous system neuron development"
"CDK5","layer formation in cerebral cortex"
"CDK5","hippocampus development"
"CDK5","cerebellar cortex formation"
"CDK5","protein kinase binding"
"CDK5","sensory perception of pain"
"CDK5","peptidyl-threonine phosphorylation"
"CDK5","peptidyl-serine phosphorylation"
"CDK5","histone phosphorylation"
"CDK5","protein kinase 5 complex"
"CDK5","phosphorylation"
"CDK5","kinase activity"
"CDK5","regulation of macroautophagy"
"CDK5","synaptic vesicle exocytosis"
"CDK5","membrane"
"CDK5","postsynaptic density"
"CDK5","Schwann cell development"
"CDK5","response to wounding"
"CDK5","visual learning"
"CDK5","motor neuron axon guidance"
"CDK5","microtubule binding"
"CDK5","skeletal muscle tissue development"
"CDK5","synapse assembly"
"CDK5","axonogenesis"
"CDK5","chemical synaptic transmission"
"CDK5","cell-matrix adhesion"
"CDK5","cell cycle"
"CDK5","mitochondrion organization"
"CDK5","nucleocytoplasmic transport"
"CDK5","intracellular protein transport"
"CDK5","protein phosphorylation"
"CDK5","plasma membrane"
"CDK5","microtubule"
"CDK5","cytosol"
"CDK5","cytoplasm"
"CDK5","nucleoplasm"
"CDK5","nucleus"
"CDK5","cell"
"CDK5","ATP binding"
"CDK5","protein binding"
"CDK5","ErbB-2 class receptor binding"
"CDK5","cyclin-dependent protein serine/threonine kinase activity"
"CDK5","protein serine/threonine kinase activity"
"CDK5","protein kinase activity"
"CDK5","p53 binding"
"CDK5","synaptic transmission, dopaminergic"
"CDK5","neuron migration"
"CDK5","microtubule cytoskeleton organization"
"CDK5","CDK18"
"C4B","positive regulation of apoptotic cell clearance"
"C4B","blood microparticle"
"C4B","extracellular exosome"
"C4B","synapse"
"C4B","innate immune response"
"C4B","other organism cell"
"C4B","detection of molecule of bacterial origin"
"C4B","regulation of complement activation"
"C4B","dendrite"
"C4B","axon"
"C4B","carbohydrate binding"
"C4B","negative regulation of endopeptidase activity"
"C4B","opsonization"
"C4B","complement activation, classical pathway"
"C4B","complement activation"
"C4B","inflammatory response"
"C4B","plasma membrane"
"C4B","extracellular space"
"C4B","extracellular region"
"C4B","endopeptidase inhibitor activity"
"C4B","complement binding"
"KLC1","stress granule disassembly"
"KLC1","cytoplasmic vesicle"
"KLC1","growth cone"
"KLC1","antigen processing and presentation of exogenous peptide antigen via MHC class II"
"KLC1","viral process"
