"node","type"
"10255.DUSP_VAR67",0
"STAT1",2
"CYLD",2
"EGFR",2
"ITGB1",2
"ARIH1",2
"MYC",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"HSPA4L",2
"ACTN4",2
"ISG15",2
"EP300",2
"ESR1",2
"HSP90B1",2
"LRRFIP1",2
"DDB1",2
"CUL1",2
"FADD",2
"BRCA1",2
"ATG16L1",2
"RNF4",2
"PPARG",2
"HDAC1",2
"NR1H2",2
"CDK9",2
"DCTN1",2
"GNB2L1",2
"ESR2",2
"CDH1",2
"EIF2AK2",2
"JUN",2
"IL23A",2
"IL12RB1",2
"HDAC3",2
"MTOR",2
"TP53",2
"CCDC8",2
"LCK",2
"VCP",2
"BPIFB3",2
"TNFRSF1A",2
"AHR",2
"HSPA8",2
"E2F1",2
"CASP3",2
"RXRA",2
"MBD1",2
"CAND1",2
"NR2C2",2
"AKT1",2
"DDX6",2
"CTNNB1",2
"CREBBP",2
"KIT",2
"FOXP3",2
"NOTCH3",2
"TGFB1",2
"PRLR",2
"DTX3L",2
"JAK2",2
"PPARGC1A",2
"NR3C1",2
"HUWE1",2
"HSP90AB1",2
"PIK3CA",2
"ACTC1",2
"ARRB2",2
"HERC5",2
"FTH1",2
"STAT3",2
"CASP7",2
"ITGAM",2
"SNX1",2
"GFAP",2
"MAVS",2
"RELA",2
"FBXW7",2
"PTPN11",2
"PML",2
"NFKBIA",2
"NSF",2
"TRAF2",2
"PAK2",2
"PIAS4",2
"PSMB8",2
"TRIM25",2
"LZTR1",2
"SHMT2",2
"RUNX2",2
"G3BP1",2
"PDGFRB",2
"ATG7",2
"FGFR1OP",2
"IRAK1",2
"LYN",2
"CAMK2G",2
"SPTBN1",2
"HERC6",2
"MAPK14",2
"MAPK11",2
"BCR",2
"BCL6",2
"SOCS3",2
"ATP6V1C1",2
"GSK3A",2
"TNFAIP3",2
"CAMK2A",2
"CUL4B",2
"CAMK2B",2
"HIST2H3C",2
"TES",2
"RBX1",2
"CAMK2D",2
