source,target
APP,HSPA4
APP,SAMHD1
APP,MAP3K5
APP,APP
APOB,APOB
APOB,CDA
APOB,APOBEC3G
APOB,APP
CUL5,TCEB2
CUL5,TCEB1
CUL5,MOV10
CUL5,HSPA4
CUL5,SAMHD1
TCEB1,TCEB2
HSPA4,MB21D1
HSPA4,MAP3K5
HSPA4,MOV10
HDAC6,HSPA4
HDAC6,HDAC6
CYCS,UQCRFS1
CYCS,HSPA4
COX5A,CYC1
COX5A,COX5A
COX5A,COX5B
COX5A,UQCRFS1
COX5A,CYCS
MOV10,UQCRFS1
MOV10,PRKACA
MOV10,TCEB1
MOV10,ORF1
COX5B,MOV10
COX5B,CYCS
COX5B,CYC1
COX5B,UQCRFS1
MAP3K5,MAP3K5
MAP3K5,PRKACA
A1CF,APOB
A1CF,APOBEC3F
A1CF,APOBEC4
A1CF,APOBEC3G
APOBEC3G,PRKACA
APOBEC3G,APP
APOBEC3G,HDAC6
APOBEC3G,MOV10
APOBEC3G,MAP3K5
APOBEC3G,CBFB
APOBEC3G,APOBEC3G
APOBEC3G,PTN
APOBEC3G,ORF1
APOBEC3G,MB21D1
APOBEC3G,HSPA4
APOBEC3G,BST2
APOBEC3G,COX5B
APOBEC3G,TCEB2
APOBEC3G,SAMHD1
APOBEC3G,UQCRFS1
APOBEC3G,CYCS
APOBEC3G,APOBEC4
APOBEC3G,CYC1
APOBEC3G,COX5A
APOBEC3G,CDA
APOBEC3G,TRIM5
APOBEC3G,CUL5
APOBEC3G,TCEB1
PTN,PTN
CBFB,CUL5
CBFB,TCEB1
CBFB,TCEB2
CBFB,HDAC6
CBFB,MOV10
TRIM5,TRIM5
CYC1,UQCRFS1
CYC1,MOV10
CYC1,CYCS
BST2,TRIM5
BST2,SAMHD1
SAMHD1,SAMHD1
SAMHD1,TRIM5
APOBEC3F,MB21D1
APOBEC3F,COX5B
APOBEC3F,TCEB2
APOBEC3F,UQCRFS1
APOBEC3F,APOBEC3G
APOBEC3F,CYC1
APOBEC3F,CUL5
APOBEC3F,COX5A
APOBEC3F,APOBEC4
APOBEC3F,CDA
MB21D1,MB21D1
CDA,CUL5
CDA,TCEB1
APOBEC4,CDA
