"node","type"
"11976.VP2_RHDVF",0
"EIF3A",2
"CYLD",2
"DUSP28",2
"EFTUD2",2
"LARP7",2
"FN1",2
"MYC",2
"NTRK1",2
"AGR2",2
"EEF1G",2
"KRAS",2
"STAU1",2
"EIF5B",2
"KIAA1429",2
"EIF3E",2
"GAN",2
"BRCA1",2
"EIF1B",2
"RPL21",2
"RNF2",2
"ATG16L1",2
"RPL27A",2
"RPL23A",2
"EIF4G2",2
"RPL13A",2
"RNF123",2
"NPM1",2
"GNB2L1",2
"ESR2",2
"CFTR",2
"UBC",2
"CHD4",2
"MEX3C",2
"DYNC1I2",2
"CCDC8",2
"COPS5",2
"HERC2",2
"NCL",2
"CHD3",2
"EIF2S2",2
"CD81",2
"RECQL4",2
"CDK2",2
"RPL27",2
"OBSL1",2
"RPL7A",2
"RPLP1",2
"EPRS",2
"CD74",2
"RPL7",2
"RPS19",2
"CASP3",2
"RPS13",2
"EIF2S3",2
"NOP56",2
"NOP58",2
"RPS15",2
"RPS27",2
"RPS8",2
"NR2C2",2
"GBF1",2
"MEPCE",2
"RPL6",2
"DDX3X",2
"EIF3J",2
"ABCE1",2
"AAR2",2
"RPL11",2
"CHEK2",2
"ATXN3",2
"MRPL46",2
"RPL10A",2
"RPL24",2
"RNF126",2
"RPL10",2
"RPL9",2
"DLD",2
"RPL18A",2
"RPL4",2
"HEXIM1",2
"CASP8",2
"PIH1D1",2
"EIF3CL",2
"PTBP1",2
"RPS10",2
"PIK3C2A",2
"KIF11",2
"CASP7",2
"EIF3B",2
"EIF3I",2
"FAU",2
"RPL37A",2
"RPL13",2
"FBXO6",2
"DUSP16",2
"HNRNPF",2
"RPS23",2
"EIF1AX",2
"ITGA4",2
"RPS25",2
"RPS4X",2
"RPS11",2
"GSPT1",2
"RPL3",2
"RPS18",2
"BMS1",2
"RPL23",2
"G3BP1",2
"CACNA1A",2
"RPL12",2
"RIOK1",2
"CDC14A",2
"EIF3C",2
"RPL29",2
"RPL15",2
"DNM1L",2
"EIF3M",2
"SPDL1",2
"RPL31",2
"RPS14",2
"RPL28",2
"DKC1",2
"RPL22",2
"TARDBP",2
"RPL26",2
"GTPBP4",2
"UBQLN2",2
"RPL19",2
"EIF1",2
"NAP1L4",2
"GRK5",2
"PABPC1",2
"RPS6",2
"P2RY6",2
"EIF4A1",2
"BZW2",2
"EIF4A2",2
"EED",2
"MYH11",2
"FAM188B",2
"RPS26",2
"RPL35A",2
"DUSP21",2
"MAB21L2",2
"ERBB2",2
"CPNE2",2
"SRPK2",2
"RPS27A",2
"RPL35",2
"RPL17",2
"AHSA1",2
"EIF3D",2
"RPS27L",2
"PRPF8",2
"MRPS7",2
"REL",2
"ETF1",2
"VCAM1",2
"CASP1",2
"RPL10L",2
"EIF3H",2
"ICAM1",2
"ABCF2",2
"BBS1",2
"EIF4G3",2
"GPBP1L1",2
"TFIP11",2
"LGR4",2
"EIF5",2
"RPS17",2
"RPL38",2
"EIF4G1",2
"RPS2",2
"EIF3K",2
"USP3",2
"EIF4B",2
"PLEC",2
"ATP6V0D1",2
"RPLP2",2
"BBS4",2
"RPL36",2
"RPL30",2
"RPL5",2
"DDX60",2
"TGFBR2",2
"RPL14",2
"RPS12",2
"GPBP1",2
"CASP10",2
"RAD21",2
"SMURF1",2
"MTNR1B",2
"YWHAZ",2
"EIF2A",2
"RPS7",2
"BOP1",2
"EIF2S1",2
"RPS16",2
"RPL34",2
"U2AF2",2
"CASP4",2
"RPL32",2
"IGSF8",2
"DHX58",2
"EIF3G",2
"RPL3L",2
"MYH9",2
"RNF139",2
"RPL37",2
"RPLP0",2
"SOD1",2
"LARP1",2
"RPS5",2
"EIF3L",2
"RPS24",2
"SHFM1",2
"PDHA1",2
"RPL18",2
"PTBP2",2
"RPL8",2
"TFE3",2
"EIF3F",2
"RUNX1",2
"RSPH9",2
"PAIP1",2
"UBE2M",2
"RPS15A",2
"RPS3",2
"RPS28",2
"LINC01554",2
"RPS3A",2
"RPS9",2
"EIF4H",2
"PTPN3",2
"UBA52",2
"NUDT21",2
"WWOX",2
"CASP6",2
"PHACTR3",2
"RPL26L1",2
"RPS29",2
"CASP9",2
"RPL39",2
"GSPT2",2
"WWP2",2
"PPM1D",2
"EIF4E",2
"RPSA",2
"RPS6KB1",2
"UBA5",2
"RPS20",2
"RPL36A",2
"XRCC3",2
"CASP2",2
"TOMM40",2
"WDR48",2
"RIOK2",2
"UPF1",2
"RPL36AL",2
"MCC",2
"TUBB6",2
"RPS21",2
"CASP5",2
"PRKAG2",2
"RPL39L",2
"UNK",2
"MSMO1",2
"YTHDF2",2
"ZNF598",2
"ZNF746",2
"RPL22L1",2
"EIF2S3L",2
"ENSG00000270800",2
"ENSG00000260342",2
"ENSG00000260836",2
"RPSAP58",2
"formation of cytoplasmic translation initiation complex",6
"translation reinitiation",6
"RNA binding",6
"mRNA binding",6
"translation initiation factor activity",6
"structural molecule activity",6
"protein binding",6
"nucleoplasm",6
"nucleolus",6
"cytoplasm",6
"cytosol",6
"eukaryotic translation initiation factor 3 complex",6
"microtubule",6
"translational initiation",6
"postsynaptic density",6
"membrane",6
"eukaryotic 43S preinitiation complex",6
"receptor tyrosine kinase binding",6
"eukaryotic 48S preinitiation complex",6
"multi-eIF complex",6
"negative regulation of ERK1 and ERK2 cascade",6
"eukaryotic translation initiation factor 3 complex, eIF3e",6
"eukaryotic translation initiation factor 3 complex, eIF3m",6
"IRES-dependent viral translational initiation",6
"viral translational termination-reinitiation",6
