"V1","V2"
"APOC4","triglyceride homeostasis"
"APOC4","very-low-density lipoprotein particle clearance"
"APOC4","very-low-density lipoprotein particle assembly"
"APOC4","high-density lipoprotein particle"
"APOC4","very-low-density lipoprotein particle"
"APOC4","positive regulation of sequestering of triglyceride"
"APOC4","lipid transport"
"APOC4","lipid metabolic process"
"APOC4","extracellular region"
"APOC4","lipid transporter activity"
"DDX41","catalytic step 2 spliceosome"
"DDX41","defense response to virus"
"DDX41","metal ion binding"
"DDX41","positive regulation of transcription by RNA polymerase II"
"DDX41","cellular response to interferon-beta"
"DDX41","positive regulation of type I interferon production"
"DDX41","cell differentiation"
"DDX41","membrane"
"DDX41","cell population proliferation"
"DDX41","apoptotic process"
"DDX41","cytosol"
"DDX41","endoplasmic reticulum"
"DDX41","spliceosomal complex"
"DDX41","nucleus"
"DDX41","ATP binding"
"DDX41","protein binding"
"DDX41","RNA helicase activity"
"DDX41","RNA binding"
"DDX41","DNA binding"
"DDX41","mRNA splicing, via spliceosome"
"CSNK1A1","ribonucleoprotein complex"
"CSNK1A1","beta-catenin destruction complex disassembly"
"CSNK1A1","beta-catenin destruction complex assembly"
"CSNK1A1","regulation of GTP binding"
"CSNK1A1","negative regulation of canonical Wnt signaling pathway"
"CSNK1A1","cell division"
"CSNK1A1","intermediate filament cytoskeleton organization"
"CSNK1A1","keratin filament"
"CSNK1A1","ciliary basal body"
"CSNK1A1","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"CSNK1A1","beta-catenin destruction complex"
"CSNK1A1","peptidyl-serine phosphorylation"
"CSNK1A1","nuclear speck"
"CSNK1A1","kinase activity"
"CSNK1A1","Wnt signaling pathway"
"CSNK1A1","membrane"
"CSNK1A1","cell surface receptor signaling pathway"
"CSNK1A1","signal transduction"
"CSNK1A1","cell cycle"
"CSNK1A1","Golgi organization"
"CSNK1A1","protein phosphorylation"
"CSNK1A1","cilium"
"CSNK1A1","mRNA cleavage and polyadenylation specificity factor complex"
"CSNK1A1","cytosol"
"CSNK1A1","centrosome"
"CSNK1A1","cytoplasm"
"CSNK1A1","nucleus"
