"node","type"
"10366.VIE3_MUHVS",0
"ANKRD17",2
"MYC",2
"NTRK1",2
"HNRNPL",2
"KIAA1429",2
"ESR2",2
"RBM23",2
"MDM2",2
"PYHIN1",2
"FGF3",2
"FGF8",2
"EGLN3",2
"APC",2
"HIF1AN",2
"GBF1",2
"HDAC2",2
"RC3H2",2
"RPL10",2
"AURKB",2
"KIAA0368",2
"ITGA4",2
"MSH6",2
"FGFR1OP",2
"SIRT7",2
"CDKN1A",2
"CAPN1",2
"MAGEA1",2
"CSNK1A1",2
"FOS",2
"CREB1",2
"STX11",2
"HOXC4",2
"MAP2K3",2
"CDX1",2
"AKAP17A",2
"TRIM41",2
"ADH6",2
"FOSL2",2
"DUSP5",2
"BAP1",2
"ITSN2",2
"IRF9",2
"ZC3H7A",2
"ZNF263",2
"SIX2",2
"ZC3H3",2
"TGIF2LY",2
"TCEANC2",2
"SFRP4",2
"HOXD4",2
"TRMT2A",2
"LHX9",2
"ZNF414",2
"chromatin",6
"blood vessel maturation",6
"chromatin binding",6
"RNA binding",6
"protein binding",6
"nucleus",6
"nucleoplasm",6
"cytoplasm",6
"regulation of DNA replication",6
"membrane",6
"viral process",6
"nuclear membrane",6
"defense response to bacterium",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"innate immune response",6
"positive regulation of cell cycle",6
"negative regulation of smooth muscle cell differentiation",6
"positive regulation of G1/S transition of mitotic cell cycle",6
"positive regulation of MDA-5 signaling pathway",6
"positive regulation of RIG-I signaling pathway",6
