"node","type"
"63330.MATRX_HENDH",0
"63330.FUS_HENDH",0
"63330.V_HENDH",0
"SFXN3",1
"AKT3",1
"STAT3",1
"SFXN5",1
"LY96",1
"STAT5B",1
"STAT6",1
"SOCS5",1
"CD46",1
"STAT2",1
"SFXN1",1
"SOCS1",1
"SOCS3",1
"STAT5A",1
"SFXN4",1
"STAT1",1
"SFXN2",1
"TLR4",1
"AKT2",1
"SOCS6",1
"CISH",1
"mitochondrial genome maintenance",6
"negative regulation of transcription by RNA polymerase II",6
"activation of MAPK activity",6
"nuclear chromatin",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"RNA polymerase II repressing transcription factor binding",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"lipopolysaccharide binding",6
"amyloid-beta binding",6
"luteinization",6
"regulation of cell growth",6
"virus receptor activity",6
"temperature homeostasis",6
"ruffle",6
"eye photoreceptor cell differentiation",6
"immunological synapse",6
"natural killer cell differentiation",6
"phosphotyrosine residue binding",6
"lipopolysaccharide immune receptor activity",6
"phagocytic cup",6
"regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
"positive regulation of endothelial cell proliferation",6
"positive regulation of mesenchymal cell proliferation",6
"inner acrosomal membrane",6
"activation of innate immune response",6
"toll-like receptor signaling pathway",6
"positive regulation of defense response to virus by host",6
"adaptive immune response",6
"T-helper 1 cell lineage commitment",6
"B cell proliferation involved in immune response",6
"T cell mediated immunity",6
"nitric oxide production involved in inflammatory response",6
"regulation of dendritic cell cytokine production",6
"MyD88-dependent toll-like receptor signaling pathway",6
"MyD88-independent toll-like receptor signaling pathway",6
"negative regulation of type 2 immune response",6
"negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",6
"molecular_function",6
"DNA binding",6
"chromatin binding",6
"double-stranded DNA binding",6
"DNA-binding transcription factor activity",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"protein kinase inhibitor activity",6
"nuclear receptor activity",6
"transmembrane signaling receptor activity",6
"signaling receptor binding",6
"epidermal growth factor receptor binding",6
"insulin-like growth factor receptor binding",6
