source,target
ACVR1,ACVR1B
ACVR1,SMAD7
ACVR1,ACVR2A
ACVR1,SMAD6
ACVR1,BMPR2
ACVR1,ACVR1
ACVR1,OTUB1
ACVR1,USP15
ACVR1,BMPR1A
ACVR1,TGFBR2
ACVR1,SMAD5
ACVR1,SMAD1
ACVR1,FKBP1A
ACVR1,BMP7
ACVR1,TDGF1
ACVR1,INHBA
ACVR1,SMURF1
ACVR1,CHRD
ACVR1,TGFB3
ACVR1,ACVR1C
ACVR1,BMP4
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD9
ACVR1,SMAD4
ACVR1,ACVR2B
ACVR1,INHBB
ACVR1,BMP2
ACVR1,BMPR1B
PML,USP7
PML,SAP130
PML,RUNX2
PML,RBX1
PML,TP53
PML,TRIB3
PML,TGIF1
PML,RUNX1
PML,RUNX3
PML,SKIL
PML,SP1
PML,ZBTB16
PML,ZFYVE9
PML,SIN3A
PML,TRIM25
PML,SKP1
PML,SUZ12
PML,YAP1
PML,STAT3
PML,SMARCA4
PML,RELA
PML,PML
PML,SQSTM1
PML,SMAD3
PML,RNF111
PML,PPARG
PML,SP3
PML,SMAD2
PML,SKI
PML,TGFB1
PML,TGFB3
PML,SMAD7
PML,SMURF2
PML,SMURF1
PML,TGFBR2
PML,TGFBR1
PML,UBC
PML,RBBP4
PML,UBA52
PML,TRIM62
PML,TFAP2B
PML,UBB
PML,RPS27A
PML,STRAP
PML,RBBP7
STAT3,TRIM25
STAT3,STAT3
STAT3,VEGFA
STAT3,TIMP1
STAT3,TGFB1
STAT3,SUZ12
STAT3,TP53
STAT3,TLR4
STAT3,ZEB1
STAT3,TCP1
APP,DEDD
APP,INS
APP,HSPA4
APP,CDKN1A
APP,TANK
APP,GGA1
APP,KPNA2
APP,STUB1
APP,MYC
APP,PSMD11
APP,OPA1
APP,TGFBR2
APP,CSNK1D
APP,RIOK2
APP,FBLN1
APP,BMPR1B
APP,HSPA8
APP,SMURF1
APP,BCL2L11
APP,ISL1
APP,DCAF7
APP,HDAC4
APP,EPB41L5
APP,FKBP1A
APP,TRIB3
APP,TOB1
APP,CDKN2B
APP,MAP2K3
APP,APP
APP,RPS27A
APP,CCDC33
APP,HGS
APP,CTNNB1
APP,PPARG
APP,CAV1
APP,KLF4
APP,RANBP9
APP,IRS1
APP,CFDP1
APP,PCK2
APP,GSK3B
APP,NEDD9
APP,CDK4
APP,CDC25A
APP,TGM2
APP,ETS1
APP,DYRK1A
APP,DRAP1
APP,SMAD3
APP,JUN
APP,TRIM25
APP,MAPK10
APP,MSTN
APP,ZEB2
APP,NOTCH1
APP,PTPN12
APP,HEYL
APP,UCHL5
APP,SNRNP70
APP,RBX1
APP,YTHDF2
APP,C1orf116
APP,ZFYVE16
APP,YY1
APP,LACRT
APP,FHL2
APP,ATG16L1
APP,SMAD1
APP,MDM4
APP,TGFB2
APP,ATF2
APP,CSNK1G2
APP,FOS
APP,PTPN2
APP,TGFB1
APP,PTPN7
APP,MAPK8
APP,TGIF1
APP,KEAP1
APP,DAB2
APP,MED24
APP,UBB
APP,MAPK1
APP,TIMP1
APP,SERPINE1
APP,PROC
APP,TGFB3
APP,BMP4
APP,MAPK3
APP,PIK3CA
APP,TP53
APP,PLG
APP,MAPK9
APP,HP
APP,FN1
APP,TF
APP,FOXO3
APP,RELA
APP,MEN1
APP,VEGFA
CITED2,SMAD3
CITED2,CREBBP
CITED2,EP300
CITED2,TFAP2B
CITED2,SMAD2
CITED2,MAPK1
CITED2,KAT2A
CITED2,EPAS1
CITED2,KAT2B
CITED2,TP53
CITED2,PITX2
CITED2,NCOA1
CITED2,FOXO3
CITED2,HIF1A
EP300,MAX
EP300,RUNX3
EP300,RBBP5
EP300,FOS
EP300,PROX1
EP300,SMAD2
EP300,MKL1
EP300,SMAD3
EP300,SMAD4
EP300,SP1
EP300,HIF1A
EP300,MCM3AP
EP300,JUND
EP300,YAP1
EP300,SMAD1
EP300,RUNX1
EP300,SP3
EP300,STAT3
EP300,HSPA8
EP300,IRF7
EP300,HIPK2
EP300,RUNX2
EP300,HDAC1
EP300,LEF1
EP300,SNIP1
EP300,NCOA2
EP300,ZEB2
EP300,NR4A1
EP300,EZH2
EP300,JUNB
EP300,SNAI1
EP300,MYC
EP300,JUN
EP300,TGFBR1
EP300,MAPK14
EP300,MYOD1
EP300,ESR1
EP300,MEF2C
EP300,NCOR1
EP300,ZEB1
EP300,TCF12
EP300,NCOR2
EP300,KLF5
EP300,MAPK1
EP300,TRIP4
EP300,NCOA1
EP300,PAX6
EP300,FOXP3
EP300,PIN1
EP300,PPARG
EP300,SMAD7
EP300,FOXO3
EP300,VDR
EP300,NOTCH1
EP300,EPAS1
EP300,KLF4
EP300,NR3C1
EP300,ZBTB16
EP300,GATA4
EP300,STRAP
EP300,SRY
EP300,XRCC6
EP300,SOX9
EP300,HDAC2
EP300,SS18L1
EP300,FOXM1
EP300,TCF3
EP300,FOXO1
EP300,KAT2B
EP300,NCOA3
EP300,KPNA2
EP300,PCK2
EP300,SMAD5
EP300,SERTAD1
EP300,MAPK8
EP300,EP300
EP300,FHL2
EP300,ZC3H12A
EP300,TRIM25
EP300,ETS1
EP300,RELA
EP300,FHL1
EP300,PARP1
EP300,YBX1
EP300,UBE2D1
EP300,PIAS3
EP300,PLG
EP300,SREBF2
EP300,PLAGL1
EP300,GRIP1
EP300,MDM4
EP300,YY1
EP300,ZBTB17
EP300,NCOA6
EP300,SNW1
EP300,TP53
EP300,UBC
EP300,RBX1
EP300,TGFB1
EP300,KAT2A
EP300,HDAC5
EP300,SKP1
EP300,RPA1
EP300,MED15
EP300,HEYL
EP300,FOXH1
EP300,KMT2B
EP300,SIN3A
EP300,USP7
EP300,SUV39H1
EP300,SIN3B
EP300,SUZ12
EP300,GATA3
EP300,MED6
EP300,RBBP4
EP300,PITX2
EP300,SETD2
EP300,UBA52
EP300,MUC5AC
EP300,MED24
EP300,PPIE
EP300,TFAP2B
EP300,TFDP1
EP300,UBB
EP300,RPS27A
EP300,SKIL
EP300,HEY1
EP300,KDM2A
EP300,SMARCA4
EP300,HDAC4
EP300,VEGFA
EP300,PML
EP300,FOXO4
EP300,RBBP7
APOB,SMAD3
APOB,PAX6
APOB,APOB
APOB,UCHL5
APOB,TIMP1
APOB,MAPK14
APOB,CBL
APOB,PLG
APOB,INS
APOB,HGS
APOB,PTPN11
APOB,PTPN6
APOB,UBC
APOB,UBA52
APOB,HP
APOB,FN1
APOB,DAB2
APOB,BMP4
APOB,TF
APOB,PROC
APOB,UBB
APOB,RPS27A
APOB,HSPA8
APOB,TLR4
APOB,PPP2R1A
APOB,APP
APOB,MEN1
BRCA1,SP1
BRCA1,MAPK3
BRCA1,TP53
BRCA1,DYRK1A
BRCA1,CDC16
BRCA1,NUP214
BRCA1,HIF1A
BRCA1,NCOA1
BRCA1,PIAS4
BRCA1,UBE2D1
BRCA1,RBBP4
BRCA1,RBBP7
BRCA1,WWOX
BRCA1,DCAF7
BRCA1,RPL4
BRCA1,CDKN2A
BRCA1,UBC
BRCA1,PABPC1
BRCA1,SMAD3
BRCA1,CDK9
BRCA1,GATA3
BRCA1,RUNX1
BRCA1,RPL3
BRCA1,UBE2D3
BRCA1,NUP153
BRCA1,PARP1
BRCA1,JUN
BRCA1,CDK2
BRCA1,RBL1
BRCA1,SKP1
BRCA1,HSPA8
BRCA1,ETS1
BRCA1,ZMIZ1
BRCA1,HIVEP1
BRCA1,KEAP1
BRCA1,HDAC1
BRCA1,RPA1
BRCA1,CREBBP
BRCA1,HDAC2
BRCA1,PARP4
BRCA1,PSMD11
BRCA1,CTNNB1
BRCA1,CASP1
BRCA1,EZH2
BRCA1,MYC
BRCA1,SMARCC1
BRCA1,SMARCC2
BRCA1,KPNA2
BRCA1,SPTBN1
BRCA1,BRCA2
BRCA1,CDK4
BRCA1,BRCA1
BRCA1,CDK8
BRCA1,NCOA2
BRCA1,RELA
BRCA1,KPNB1
BRCA1,CEBPB
BRCA1,MAPK1
BRCA1,DNAJA2
BRCA1,EP300
BRCA1,USP7
