source,target
CSK,ILF3
CSK,IL18
CSK,MRE11A
CSK,GAS6
CSK,OSM
CSK,UPF3B
EGFR,FGFR4
EGFR,PPP1CC
EGFR,NOTCH1
EGFR,INS
EGFR,CUL1
EGFR,CDC6
EGFR,SNRPG
EGFR,UBA3
EGFR,KPNA2
EGFR,HSPH1
EGFR,IL18
EGFR,POGLUT1
EGFR,DET1
EGFR,TSC1
EGFR,VCAM1
EXOSC4,IL18
EXOSC4,ILF3
EXOSC4,PURA
EXOSC4,EXOSC4
EXOSC4,ERP44
ESR1,CNOT7
ESR1,CDC20
ESR1,VCAM1
ESR1,VIPR2
ESR1,STRBP
ESR1,PPP1CC
ESR1,GAS6
ESR1,OSBPL8
KPNA2,IL18
MRE11A,ESR1
MRE11A,MRE11A
BIN1,GPKOW
UPF3B,MTNR1A
CDC6,XRCC4
CDC6,AKT3
TSC1,CSK
CDKN2A,DET1
CDKN2A,MTNR1A
CDKN2A,ACTC1
CDKN2A,UBA3
PCM1,CUL1
PCM1,STRBP
PCM1,SND1
CYFIP2,IL18
CUL1,INS
CUL1,TNF
CUL1,VIPR2
CUL1,M6PR
CUL1,STRBP
CUL1,SNRPG
CUL1,VCAM1
CUL1,UBA3
CUL1,IL18
AKAP9,IL18
AKAP9,VCAM1
CHD3,CUL1
CHD3,IL18
CHD3,ILF3
CHD3,CHD3
CHD3,PCM1
CHD3,EGFR
STRBP,IL18
PAK7,PAK7
PAK7,EGFR
PAK7,RPS12
PAK7,IL18
SNRPG,CSK
SNRPG,ESR1
SNRPG,CXCL3
SEC24C,IL18
XRCC4,IL18
XRCC4,PPP1CC
ILF3,IL18
ILF3,FGFR4
ILF3,TMEM209
ILF3,EGFR
ILF3,ESR1
ILF3,SNRPG
GPKOW,IL18
EIF3F,EIF3J
EIF3F,CSK
CDC20,CUL1
CDC20,CDC20
CDC20,VCAM1
CDC20,IL18
CDC20,CSK
PURA,IL18
KRT82,IL18
UBA3,IL18
UBA3,DET1
SARS2,IL18
AURKA,ILF3
AURKA,IL18
AURKA,VCAM1
AURKA,TNF
ERP44,CUL1
ERP44,IL18
SND1,NOTCH1
TNF,TNF
TNF,CSK
ACTC1,TNF
ACTC1,CDC20
ACTC1,EGFR
ACTC1,IL18
ACTC1,MRGBP
MED16,MRGBP
MED16,QSER1
MED16,VCAM1
DET1,ACTC1
DET1,IL18
DET1,ESR1
HSPH1,UBA3
HSPH1,CDC20
HSPH1,ESR1
NOTCH1,EIF3F
NOTCH1,NOTCH1
NOTCH1,INS
NOTCH1,CYFIP2
INS,OSBPL8
INS,ANGPT1
INS,PPP1CC
EIF3J,AURKA
EIF3J,PPP1CC
MDM4,EGFR
MDM4,TNF
MDM4,IL18
PPP1CC,AURKA
PPP1CC,VCAM1
PPP1CC,IL18
FGFR4,CUL1
M6PR,RPS12
S1PR4,CYP7A1
S1PR4,VIPR2
S1PR4,EGFR
S1PR4,PRDX2
ACTR1A,MRE11A
ACTR1A,IL18
AKT3,IL18
AKT3,M6PR
MTNR1A,IL18
MTNR1A,MRGBP
MTNR1A,PPP1CC
ANGPT1,IL18
IL18,ESR1
IL18,VCAM1
IL18,M6PR
IL18,UPF3B
IL18,ZNF622
IL18,MRGBP
IL18,MRE11A
IL18,SNRPG
IL18,BIN1
IL18,MED16
IL18,INS
IL18,TSC1
IL18,CDC6
IL18,CNOT7
IL18,TMEM209
IL18,S1PR4
IL18,MMP26
IL18,POGLUT1
IL18,H1FX
IL18,ATP5D
IL18,PRDX2
IL18,SND1
IL18,VIPR2
IL18,TNF
IL18,OSM
IL18,HSPH1
IL18,EIF3J
IL18,NOTCH1
IL18,FGFR4
IL18,PCM1
IL18,EIF3F
IL18,OSBPL8
IL18,SNAP47
IL18,HCRTR2
IL18,CDKN2A
IL18,SEMA4D
IL18,TTC30B
IL18,TEX15
VCAM1,CDKN2A
VCAM1,S1PR4
CCR7,PCM1
CCR7,IL18
CCR7,ZNF622
GAS6,IL18
CALU,IL18
CALU,CHD3
DKKL1,IL18
DKKL1,OSM
GAPVD1,IL18
GAPVD1,INS
GAPVD1,CDC6
RPS12,IL18
RPS12,MTNR1A
RPS12,SNRPG
OSBPL8,ILF3
PRDX2,CUL1
POGLUT1,EIF3J
QSER1,IL18
FOXB1,IL18
FOXB1,PPP1CC
C21orf2,IL18
SNAP47,UBA3
RAB44,AURKA
RAB44,PAK7
RAB44,IL18
CXCL3,CALU
CXCL3,S1PR4
CXCL3,IL18
CXCL3,TNF
HCRTR2,SNRPG
CYP7A1,IL18
DNAH12,IL18
