"V1","V2"
"KRT37","KRT74"
"IFI6","IFITM1"
"KRT39","KRT74"
"KRT39","KRT37"
"SURF1","TACO1"
"IFITM2","IFITM1"
"IFITM2","IFI6"
"KRT35","KRT74"
"KRT35","KRT37"
"KRT35","KRT39"
"KRT32","KRT74"
"KRT32","KRT37"
"KRT32","KRT39"
"KRT32","KRT35"
"TIMM8B","TIMM17A"
"IP6K2","IFITM1"
"IP6K2","IFI6"
"IP6K2","IFITM2"
"TIMMDC1","YME1L1"
"TIMMDC1","TMEM126B"
"ISG20","IFITM1"
"ISG20","IFI6"
"ISG20","IFITM2"
"ISG20","IP6K2"
"IFI44","IFITM1"
"IFI44","IFI6"
"IFI44","RTP4"
"USP18","USP41"
"USP18","IFI6"
"USP18","RTP4"
"USP18","IFI44"
"KRT71","KRT74"
"KRT71","KRT37"
"KRT71","KRT39"
"KRT71","KRT35"
"KRT71","KRT32"
"KRT25","KRT74"
"KRT25","KRT37"
"KRT25","KRT39"
"KRT25","KRT35"
"KRT25","KRT32"
"KRT25","KRT71"
"OAS2","IFITM1"
"OAS2","IFI6"
"OAS2","RTP4"
"OAS2","IFITM2"
"OAS2","IP6K2"
"OAS2","ISG20"
"OAS2","IFI44"
"OAS2","USP18"
"KRT83","KRT74"
"KRT83","KRT37"
"KRT83","KRT39"
"KRT83","KRT35"
"KRT83","KRT32"
"KRT83","KRT71"
"KRT83","KRT25"
"KRT73","KRT74"
"KRT73","KRT37"
"KRT73","KRT39"
"KRT73","KRT35"
"KRT73","KRT32"
"KRT73","KRT71"
"KRT73","KRT25"
"KRT73","KRT83"
"STK38","ZNF598"
"POLD3","POLD4"
"KRT26","KRT74"
"KRT26","KRT37"
"KRT26","KRT39"
"KRT26","KRT35"
"KRT26","KRT32"
"KRT26","KRT71"
"KRT26","KRT25"
"KRT26","KRT83"
"KRT26","KRT73"
"KRT28","KRT74"
"KRT28","KRT37"
"KRT28","KRT39"
"KRT28","KRT35"
"KRT28","KRT32"
"KRT28","KRT71"
"KRT28","KRT25"
"KRT28","KRT83"
"KRT28","KRT73"
"KRT28","KRT26"
"USMG5","UQCRH"
"TIMM9","YME1L1"
"TIMM9","TIMM17A"
"TIMM9","TIMM8B"
"TIMM9","TIMMDC1"
"CXCL10","OAS2"
"RNASEL","IFITM1"
"RNASEL","IFI6"
"RNASEL","IFITM2"
"RNASEL","IP6K2"
"RNASEL","ISG20"
"RNASEL","OAS2"
"IFNA21","IFI44"
"IFNA21","IFNA8"
"UQCRFS1","UQCRH"
"UQCRFS1","USMG5"
"UQCRFS1","TIMM9"
"OAS1","IFITM1"
"OAS1","IFI6"
"OAS1","RTP4"
"OAS1","IFITM2"
"OAS1","IP6K2"
"OAS1","ISG20"
"OAS1","IFI44"
"OAS1","USP18"
"OAS1","OAS2"
"OAS1","CXCL10"
"OAS1","RNASEL"
"KRT33A","KRT74"
"KRT33A","KRT37"
"KRT33A","KRT39"
"KRT33A","KRT35"
"KRT33A","KRT32"
"KRT33A","KRT71"
"KRT33A","KRT25"
"KRT33A","KRT83"
"KRT33A","KRT73"
"KRT33A","KRT26"
"KRT33A","KRT28"
"KRT84","KRT74"
"KRT84","KRT37"
"KRT84","KRT39"
"KRT84","KRT35"
"KRT84","KRT32"
"KRT84","KRT71"
"KRT84","KRT25"
"KRT84","KRT83"
"KRT84","KRT73"
"KRT84","KRT26"
"KRT84","KRT28"
"KRT84","KRT33A"
"POLE4","POLD4"
"POLE4","POLD3"
"UQCRQ","UQCRH"
"UQCRQ","USMG5"
"UQCRQ","UQCRFS1"
"IFNA4","IFNA8"
"IFNA4","IFNA21"
"SYP","RNASEL"
"TOMM7","LY6E"
"TOMM7","TIMM17A"
"TOMM7","TIMM8B"
"TOMM7","TIMM9"
"TOMM7","UQCRFS1"
"TOMM7","UQCRQ"
"KRT86","KRT74"
"KRT86","KRT37"
"KRT86","KRT39"
"KRT86","KRT35"
"KRT86","KRT32"
"KRT86","KRT71"
"KRT86","KRT25"
"KRT86","KRT83"
"KRT86","KRT73"
"KRT86","KRT26"
"KRT86","KRT28"
"KRT86","KRT33A"
"KRT86","KRT84"
"IFI27","IFITM1"
"IFI27","IFI6"
"IFI27","RTP4"
"IFI27","IFITM2"
