source,target
RPA2,TAS2R8
RPA2,PTPRU
RPA2,SYMPK
RPA2,YAP1
RPA2,RBM4
RPA2,GPIHBP1
RPA2,TUBB4B
RPA2,RNF7
RPA2,SMC1A
RPA2,PIH1D1
RPA2,DNTTIP2
RPA2,RPS8
RPA2,ATPAF2
RPA2,PCNA
RPA2,VAMP4
RPA2,PSMA7
RPA2,MAPK9
RPA2,LYRM7
RPA2,UBE2M
RPA2,HMOX1
RPA2,TRIM21
RPA2,TIMM17B
RPA2,HRAS
RPA2,MYC
RPA2,TUBA1A
RPA2,ADH1C
RPA2,ASB5
RPA2,CYLD
RPA2,PTPN11
RPA2,PDK1
RPA2,TNF
RPA2,PICALM
RPA2,SYNCRIP
RPA2,UBE2E1
RPA2,GNGT1
RPA2,P2RY12
RPA2,TRIM25
RPA2,HIST1H2BG
RPA2,CXCR6
RPA2,PTEN
RPA2,CACNG7
RPA2,ZNF598
RPA2,EGLN3
RPA2,MAD2L1
RPA2,ANAPC7
RPA2,TMPO
RPA2,DHX38
RPA2,ANAPC5
RPA2,RANBP2
RPA2,ESR2
RPA2,PSMC2
RPA2,DVL2
RPA2,PRKAR1A
RPA2,TTC1
RPA2,FBXL16
RPA2,RBM14
RPA2,DYNC1I2
RPA2,TUBB3
RPA2,UBE2V2
RPA2,UBC
RPA2,RARA
RPA2,WASF1
RPA2,RNPS1
RPA2,VAMP2
RPA2,FBXO7
RPA2,SNRPD3
RPA2,TP53
RPA2,MRM1
RPA2,PHC3
RPA2,CDC20
RPA2,RPL9
RPA2,CDK6
RPA2,VIM
RPA2,SALL4
RPA2,RPL13
RPA2,HERC5
RPA2,TAS2R30
RPA2,UBE3C
RPA2,BDKRB2
RPA2,HMMR
RPA2,LONRF1
RPA2,CDC5L
RPA2,UBE2G1
RPA2,POU2F1
RPA2,ZBTB16
ARF1,LCK
ARF1,NOP56
ARF1,ABCE1
ARF1,DCAF15
ARF1,CCNF
ARF1,GRB2
ARF1,PIH1D1
ARF1,POFUT2
ARF1,INO80
ARF1,TNIP2
ARF1,USP15
ARF1,RAB37
ARF1,RPL7A
ARF1,SKP1
ARF1,UPF1
ARF1,PMCH
ARF1,CTNNB1
ARF1,PSMD12
ARF1,EPHX2
ARF1,CUL2
ARF1,TGFBI
ARF1,TUFM
ARF1,TAS2R30
ARF1,RC3H1
ARF1,TRIM25
ARF1,AGT
ARF1,TUBA1B
ARF1,FBXW8
ARF1,SIRT7
ARF1,RPL7
ARF1,KEAP1
ARF1,IGBP1
ARF1,BDKRB1
ARF1,HEXIM1
ARF1,GPR84
ARF1,ADAM17
ARF1,RBMX2
ARF1,UBE2Z
ARF1,EIF3A
ARF1,VCAM1
ARF1,UBE2W
ARF1,GSK3B
ARF1,GDI2
ARF1,MSH3
ARF1,APEX1
ARF1,LPAR1
ARF1,TP53
ARF1,CENPQ
ARF1,RPL38
ARF1,MYC
ARF1,VKORC1
ARF1,SPTAN1
ARF1,WASL
ARF1,SNRPD2
ARF1,DCUN1D1
ARF1,HNRNPU
ARF1,LRPPRC
ARF1,CSK
ARF1,AGR2
ARF3,LIG4
ARF3,PAN2
ARF3,TMED10
ARF3,PSMC5
ARF3,HSP90AB1
ARF3,RAB5B
ARF3,UBE3C
ARF3,FBXO7
ARF3,HTT
ARF3,DVL2
ARF3,UTP6
ARF3,MAN2A1
ARF3,ARIH1
ARF3,KBTBD6
ARF3,PSMC2
ARF3,CALR
ARF3,TRRAP
ARF3,MRPS30
ARF3,NPEPPS
ARF3,UBE2M
ARF3,RPL5
ARF3,ACTB
ARF3,MTOR
ARF3,ELAVL1
ALDOA,CDC20
ALDOA,TGFB2
ALDOA,KAT2B
ALDOA,CBL
ALDOA,IKBKB
ALDOA,PTEN
ALDOA,ZDHHC18
ALDOA,TMEM30A
ALDOA,DLG3
ALDOA,COQ9
ALDOA,TRIM9
ALDOA,EIF2S1
ALDOA,NDUFA6
ALDOA,SNX18
ALDOA,LGALS3
ALDOA,KCNA2
ALDOA,SYNCRIP
ALDOA,DCTN6
ALDOA,HNRNPA2B1
ALDOA,RTCB
ALDOA,POMC
ALDOA,HIST1H4A
ALDOA,TRAF3IP1
ALDOA,NMBR
ALDOA,INS
ALDOA,TCF4
ALDOA,PTGER3
ALDOA,ATP5H
ALDOA,EEF1G
ALDOA,ELAVL1
ALDOA,HSP90AB1
ALDOA,GOLGA2
ALDOA,TRIM25
ALDOA,GHRHR
ALDOA,ALMS1
ALDOA,ERAL1
ALDOA,FAS
ALDOA,NDUFA9
ALDOA,KIAA1429
ALDOA,DCUN1D5
ALDOA,CASR
ALDOA,TMEM79
ALDOA,RPL13A
ALDOA,IQCB1
ALDOA,GNA11
ALDOA,RNF6
ALDOA,UBC
ALDOA,ENO1
ALDOA,REEP4
ALDOA,SNAP29
ALDOA,ARRB1
ALDOA,DCPS
ALDOA,MYLIP
ALDOA,ALDOA
ALDOA,UBE3A
ALDOA,TAAR8
ALDOA,G6PC
ALDOA,BRF2
ALDOA,EHMT1
ALDOA,ACTN1
ALDOA,BDKRB1
ALDOA,ECT2
ALDOA,HIST1H2BO
ALDOA,TOP1
ALDOA,RPL28
ALDOA,EPB41L3
ALDOA,TRAPPC10
APP,NMD3
APP,FBXW2
APP,FNTB
APP,NOP58
APP,AMOTL2
APP,AGR2
APP,HIST1H2BJ
APP,COPS2
APP,UBE2W
APP,RNPS1
APP,ILK
APP,EPHA2
APP,UBE2E1
APP,TCEB2
APP,PTCD3
APP,TLR4
APP,HNRNPUL1
APP,UBE2G1
APP,C1GALT1
APP,RNF25
APP,KIF2C
APP,UBE3A
APP,SPTAN1
APP,RPGRIP1L
APP,BDKRB2
APP,HSP90AA1
APP,CREBBP
APP,S1PR4
APP,HSPA5
APP,ANAPC11
APP,POU5F1
APP,ATM
APP,MRPS27
APP,C11orf30
APP,RPA3
APP,TSNAX
APP,CUL3
APP,KRT6A
APP,TFRC
APP,KRT23
APP,FUS
APP,NPFFR2
APP,MYC
APP,TNFRSF1A
APP,UBE2J1
APP,SMC1A
APP,HMMR
APP,HIST1H4A
APP,PSMA1
APP,PCDHGB1
APP,TUBB4B
APP,CCR8
APP,CCL25
