source,target
FLNC,RNF4
FLNC,MTDH
FLNC,MYC
FLNC,MCM2
FLNC,NUP88
FLNC,NUP133
FLNC,PRKCZ
FLNC,TP63
FLNC,RNF31
FLNC,WIPI2
FLNC,PSMC4
FLNC,PRKAB2
FLNC,HSPB2
FLNC,IKBKB
FLNC,USP14
PML,RANBP2
PML,RNF4
PML,TRIM22
PML,TP53
PML,RPL11
PML,PYCARD
PML,TERT
PML,TRIM25
PML,SKP1
PML,TP63
PML,YAP1
PML,STAT1
PML,STAT3
PML,RELA
PML,PML
PML,TOP2B
PML,SQSTM1
PML,TRIM27
PML,RPL5
PML,RNF123
PML,PPARG
PML,SMAD2
PML,RBCK1
PML,TRIM21
PML,RPTOR
PML,RAE1
PML,SMURF1
PML,POM121
PML,TPR
PML,TRIM26
PML,UBC
PML,POM121C
PML,UBA52
PML,TRIM10
PML,PTEN
PML,UBB
PML,TP73
PML,RPS27A
PML,TRIM14
RPA2,RPL15
RPA2,RPLP1
RPA2,RPLP0
RPA2,STAT3
RPA2,RPL6
RPA2,RPL19
RPA2,XRN1
RPA2,UBC
RPA2,RPL7
RPA2,SMC1A
RPA2,SMC3
RPA2,RPS8
RPA2,TPX2
RPA2,RPL10L
RPA2,RPA3
RPA2,RPL18
RPA2,RPS9
RPA2,YAP1
RPA2,RPL9
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,TOP2B
RPA2,SH3GLB1
RPA2,UBQLN2
RPA2,RPS5
RPA2,RPS7
RPA2,XRCC5
RPA2,SEH1L
RPA2,RTN4
RPA2,RPL18A
RPA2,TCOF1
RPA2,RPS3A
RPA2,RPL13A
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,USP1
RPA2,SLBP
RPA2,USP10
RPA2,UBA52
STAT3,TRAF6
STAT3,STAT6
STAT3,TIRAP
STAT3,TRIM25
STAT3,STAT3
STAT3,SYK
STAT3,TWIST1
STAT3,TNFRSF1A
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TP53
STAT3,TLR4
STAT3,YES1
APP,TRAPPC9
APP,ATG12
APP,TAB2
APP,INS
APP,IFIT3
APP,ATXN3
APP,TANK
APP,HSP90AA1
APP,RPS26
APP,SRSF3
APP,C17orf85
APP,CPEB1
APP,STUB1
APP,CUL3
APP,RPL30
APP,MYC
APP,RPL37
APP,EIF4E2
APP,USP2
APP,CASP3
APP,CNOT7
APP,RPS14
APP,HK1
APP,PLEKHF2
APP,NFKBIB
APP,RNF2
APP,COPS5
APP,MKNK1
APP,DHX58
APP,LRPPRC
APP,ZCCHC6
APP,PARK2
APP,BACE1
APP,NLRP2
APP,STX11
APP,DERL1
APP,RPL12
APP,CANX
APP,BTK
APP,SMURF1
APP,FBXW11
APP,IFI16
APP,G3BP1
APP,RPA2
APP,DAPK2
APP,BCL2L11
APP,AURKA
APP,PPP6R2
APP,S100A16
APP,BAIAP2
APP,SIGIRR
APP,HERPUD1
APP,ZWINT
APP,SPATA2
APP,RPS19
APP,LIMD1
APP,SYK
APP,CDKN2B
APP,DYRK2
APP,RPS11
APP,MAP2K3
APP,PRKCI
APP,VAPA
APP,ASS1
APP,APP
APP,HSPD1
APP,RPS27A
APP,EPHA2
APP,RPL36
APP,PTBP1
APP,PRKCD
APP,RRAGB
APP,RPL23
APP,HYPK
APP,CTNNB1
APP,ATG13
APP,PRKAB1
APP,EEF1D
APP,ATP5O
APP,TRAIP
APP,PLSCR1
APP,MAPK11
APP,EIF1AX
APP,RPS16
APP,EIF2S2
APP,RPS20
APP,UGCG
APP,PIK3R5
APP,PPARG
APP,ATL3
APP,CDC37
APP,SNX1
APP,RNF41
APP,PABPC3
APP,MAP3K11
APP,MAP1LC3A
APP,RPL11
APP,STK26
APP,IRS1
APP,RPS10
APP,IFIH1
APP,EIF4E
APP,EIF3G
APP,PELI3
APP,FAM213A
APP,KRAS
APP,PLK1
APP,ESR2
APP,GSK3B
APP,TRIM16
APP,CDK4
APP,RAB7B
APP,TNIP2
APP,SH3GLB1
APP,TBC1D7
APP,VHL
APP,EIF1
APP,CASP6
APP,EIF3F
APP,RPL3L
APP,MAG
APP,GABARAPL2
APP,GAPDH
APP,HNRNPA1
APP,ATG7
APP,RPS12
APP,BIN1
APP,CASP4
APP,UQCRC1
APP,NUP50
APP,SOCS3
APP,JUN
APP,TRIM25
APP,NRAS
APP,HSPA9
APP,WDR45
APP,RPS18
APP,TBK1
APP,VTA1
APP,EGFR
APP,PLP1
APP,KIAA1429
APP,EIF6
APP,RPL31
APP,YWHAB
APP,EIF3M
APP,MCM2
APP,HSD17B10
APP,RPL34
APP,TRAF6
APP,ERC1
APP,MAPKAPK3
APP,STK11
APP,RPS21
APP,EIF5
APP,TUFM
APP,FKBP5
APP,RPS25
APP,ATG16L1
APP,PDPK1
APP,MDM4
APP,ODF2
APP,ATF2
APP,RBCK1
APP,MAPK8
APP,RNF11
APP,TIRAP
APP,KEAP1
APP,RPS9
APP,CFL1
APP,TRIM40
APP,TMEM216
APP,HOMER3
APP,NAPA
APP,MAP2K6
APP,HNRNPL
APP,S100A8
APP,VTN
APP,RPL37A
APP,RPS6KB1
APP,SRC
APP,UQCRC2
APP,UBB
APP,CIRBP
APP,NGFR
APP,MAPK1
APP,NFKB1
APP,MAPK3
APP,PIK3CA
APP,TP53
APP,HTR2C
APP,HMGB1
APP,FMR1
APP,TNF
APP,CASP8
APP,CAPN1
APP,FPR2
APP,CXCL10
APP,KTN1
APP,NGF
APP,HSPA5
APP,NTRK1
APP,NFKB2
APP,HTT
APP,PROS1
APP,CXCL8
APP,FOXO3
APP,LPAR1
APP,IGFBP7
APP,RELA
APP,IL6
APP,GRM1
APP,PIK3R1
LSM1,LSM3
LSM1,PAN2
LSM1,LSM14A
LSM1,XPO1
LSM1,XRN1
LSM1,PABPC1
LSM1,UPF1
BRCA1,RNF216
BRCA1,RICTOR
BRCA1,RPS2
BRCA1,RPTOR
BRCA1,TP63
BRCA1,MAPK3
BRCA1,RPL37A
BRCA1,TP53
BRCA1,RPL23A
BRCA1,PSMC4
BRCA1,EIF4A2
BRCA1,EIF4G1
BRCA1,CNOT1
BRCA1,HERC2
BRCA1,PPP1CA
BRCA1,RNMT
BRCA1,HNRNPL
BRCA1,NUP160
BRCA1,NUP214
BRCA1,HNRNPU
BRCA1,HIF1A
BRCA1,NINL
BRCA1,ERC1
BRCA1,UBE2D1
BRCA1,XIAP
BRCA1,NUP93
BRCA1,EIF3I
BRCA1,MRE11A
BRCA1,RPL4
BRCA1,RPS13
BRCA1,CDKN2A
BRCA1,PYCARD
BRCA1,SMC1A
BRCA1,STAT1
BRCA1,GEMIN5
BRCA1,IFI16
BRCA1,UBC
BRCA1,PRKAA2
BRCA1,PABPC1
BRCA1,MTOR
BRCA1,FKBP4
BRCA1,CDK9
BRCA1,UPF1
BRCA1,RPL11
BRCA1,HNRNPM
BRCA1,RPL35
BRCA1,RPL18
BRCA1,EIF5B
BRCA1,USP2
BRCA1,RPL3
BRCA1,TXLNA
BRCA1,GPR161
BRCA1,NUP153
BRCA1,JUN
BRCA1,POT1
BRCA1,SKP1
BRCA1,MB21D1
BRCA1,HSPD1
BRCA1,HSP90AA1
BRCA1,RPL5
BRCA1,RPL29
BRCA1,TRIM27
BRCA1,RPL27
BRCA1,EIF3A
BRCA1,MAP3K3
BRCA1,KEAP1
BRCA1,RPA1
BRCA1,MCM2
BRCA1,CCND1
BRCA1,PRKDC
BRCA1,MCRS1
BRCA1,RPL27A
BRCA1,TCOF1
BRCA1,CREBBP
BRCA1,HMMR
