"node","type"
"186538.VP24_EBOZM",0
"186538.VP35_EBOZM",0
"186538.VP40_EBOZM",0
"CD68",2
"DHX58",2
"KPNA3",2
"IFIH1",2
"LAMP3",2
"FANCM",2
"SOCS5",2
"SUMO4",2
"NFATC2IP",2
"SOCS1",2
"SOCS3",2
"KPNA7",2
"LAMP1",2
"KPNA4",2
"KPNA1",2
"SPAG6",2
"DDX58",2
"SOCS6",2
"SUMO3",2
"LAMP2",2
"CISH",2
"MCM2",2
"EGFR",2
"CSE1L",2
"EFTUD2",2
"RARS",2
"GLS",2
"LARP7",2
"MOV10",2
"RALGAPA2",2
"ADD1",2
"ITGB1",2
"PTRF",2
"ARIH1",2
"FUS",2
"HRAS",2
"SNCA",2
"ALDOA",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GOLGA3",2
"NTRK1",2
"CUL4A",2
"EMC2",2
"HNRNPA1",2
"CRK",2
"ISG15",2
"BCOR",2
"NCBP1",2
"PRPF31",2
"DYNLT1",2
"EP300",2
"SUMO1",2
"ITFG1",2
"CCNT1",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"KRAS",2
"STAU1",2
"DDB1",2
"MGRN1",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"AP2B1",2
"PVR",2
"KIAA1429",2
"HGS",2
"CUL7",2
"CUL1",2
"S100A9",2
"APP",2
"MUS81",2
"HSPA5",2
"HUS1",2
"DCUN1D5",2
"SLC25A11",2
"MECP2",2
"STX7",2
"KIAA0319L",2
"ENO1",2
"ESYT1",2
"FADD",2
"BRCA2",2
"NPRL3",2
"GAN",2
"EWSR1",2
"BRCA1",2
"BDH1",2
"CHUK",2
"PGM1",2
"HIST1H4A",2
"CDC23",2
"RNF2",2
"COG6",2
"LIN28A",2
"HIF1A",2
"ATG16L1",2
"APPL1",2
"CANX",2
"CAV1",2
"PPIA",2
"ILF3",2
"LMNA",2
"RNF4",2
"RNF123",2
"CDC5L",2
"PPARG",2
"HDAC1",2
"EIF3A",2
"NR1H2",2
"COPS6",2
"ITCH",2
"HNRNPC",2
"FKBP8",2
"BRF2",2
"FBXL5",2
"HNRNPU",2
"CDC34",2
"EMD",2
"IKBKG",2
"MCM7",2
"KLHL13",2
"USP15",2
"MVP",2
"ARRB1",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"CFTR",2
"FBXO7",2
"ILF2",2
"CSNK2A1",2
"DAXX",2
"HECW2",2
"ERCC1",2
"EIF2AK2",2
"FBXW11",2
"RNF31",2
"PARP1",2
"MAP3K7",2
"IL23A",2
"IL12RB1",2
"UBC",2
"IER2",2
"BECN1",2
"HSPA4",2
"SCFD1",2
"AP3B1",2
"RPS6KA2",2
"CCDC47",2
"ANAPC5",2
"CDK1",2
"MEX3C",2
"KBTBD7",2
"CCNC",2
"ERCC5",2
"SNW1",2
"MTOR",2
"TP53",2
"SIKE1",2
"COPS3",2
"CUL5",2
"KCTD12",2
"COPS5",2
"NONO",2
"FBXL15",2
"MDM2",2
"POLR2A",2
"HERC2",2
"LMNB1",2
"CDC42",2
"CD83",2
"CHD3",2
"PYHIN1",2
"RECQL4",2
"CUL2",2
"BRD1",2
"P4HA3",2
"TRAF1",2
"ETV5",2
"GRB2",2
"ACBD3",2
"LCK",2
"VRK2",2
"APEX1",2
"MDC1",2
"MAD2L2",2
"VCP",2
"SIAH1",2
"PCBP1",2
"HSP90AA1",2
"PFKM",2
"MAPRE1",2
"EGLN3",2
"HSD17B10",2
"IPO8",2
"HSPA8",2
"EMC1",2
"BARD1",2
"RPL7A",2
"IKBKB",2
"EPRS",2
"CDC16",2
"SLC9A3R1",2
"PCNA",2
"RPS19",2
"BTRC",2
"LBR",2
"SMAD2",2
"RUVBL1",2
"CASP3",2
"MSTO1",2
"CHEK1",2
"ARHGAP1",2
"NOP56",2
"ZBTB24",2
"DDB2",2
"FANCD2",2
"NDUFA4",2
"CBL",2
"NMT1",2
"CBX5",2
"MCM6",2
"CUL3",2
"TIMM13",2
"NOP58",2
"GJA1",2
"ARNT",2
"CHD8",2
"AREL1",2
"COPS4",2
"NCSTN",2
"CAND1",2
"ARHGDIA",2
"ADRB2",2
"NEDD4L",2
"RNF115",2
"RNF14",2
"ERBB2IP",2
"MTA3",2
"NR2C2",2
"NEDD8",2
"PPP1CC",2
"HDAC2",2
"ACTR6",2
"HDAC6",2
"ACTR1B",2
"MEPCE",2
"AHSG",2
"CTNNB1",2
"ITGA5",2
"CREBBP",2
"FAM118B",2
"DDX3X",2
"COMMD3",2
"TRIM5",2
"FLT3",2
"HP1BP3",2
"KIT",2
"DNAJC5",2
"FOXP3",2
"CTBP1",2
"CDC25A",2
"CCT6B",2
"PPP6C",2
"SLX1A",2
"LSR",2
"ABL1",2
"RPTOR",2
"KDM1A",2
"PDLIM5",2
"ECHS1",2
"ATM",2
"FBL",2
"ITGA2",2
"TOM1",2
"BLM",2
"PRLR",2
"CHEK2",2
"DTX3L",2
"CSK",2
"ATXN3",2
"IGF1",2
"MCM4",2
"PNN",2
"NXF1",2
"RANBP1",2
"PBK",2
"JAK2",2
"GNAS",2
"ETAA1",2
"RNF126",2
"DDOST",2
"ABI2",2
"EPB41L1",2
"TFRC",2
"DLD",2
"GFPT1",2
"NR3C1",2
"IFI16",2
"HUWE1",2
"GAPDH",2
"ATL3",2
"AURKB",2
"MORF4L1",2
"RPA3",2
"OSBPL9",2
"DHX30",2
"CASP8",2
