source,target
ACTN2,DLG1
ACTN2,ACTN4
ACTN2,AGRN
ACTN2,CAPN1
ACTN2,ACTN3
ACTN2,PDLIM1
ACTN2,GRIN1
ACTN2,PPP1CB
ACTN2,ACTN2
ACTN2,CFTR
ACTN2,TNS1
ACTN2,VCL
ACTN2,CSK
ACTN2,TGFB1
ACTN2,HGF
ACTN2,KRAS
ACTN2,PIK3CA
ACTN2,KNG1
ACTN2,EGF
ACTN2,PXN
ACTN2,PCYOX1L
ACTN2,ITGA1
ACTN2,APP
ACTN2,FIGF
ACTN2,IGF1
ACTN2,CLU
ACTN2,TLN1
ACTN2,SERPINF2
ACTN2,ZYX
ACTN2,PDGFB
ACTN2,PTK2
ACTN2,CRKL
ACTN2,RAC1
ACTN2,KIRREL
ACTN2,F8
ACTN2,SCCPDH
ACTN2,NRAS
ACTN2,SPTAN1
ACTN2,SRC
ACTN2,NPHS1
ACTN2,ITGB1
ACTN2,BCAR1
ACTN2,AHSG
ACTN2,RHOA
ACTN2,HRAS
ACTN2,SERPINA1
ACTN2,PIK3R1
ACTN2,VEGFC
ACTN2,VEGFA
ACVR1,ACVR1
ACVR1,RNF4
ACVR1,BMPR1A
ACVR1,GRAMD1A
ACVR1,TGFBR2
ACVR1,CIT
ACVR1,KIAA1429
ACVR1,PIK3CG
ACVR1,SMAD2
ACVR1,SMAD3
RPA2,SEC22B
RPA2,TGOLN2
RPA2,VCP
RPA2,STAT3
RPA2,SMC1A
RPA2,SPTAN1
RPA2,RPA3
RPA2,YTHDF3
RPA2,TMPO
RPA2,TP53
RPA2,UBQLN2
RPA2,RPS5
RPA2,SMC4
RPA2,RTN4
RPA2,TFRC
RPA2,ZNF598
RPA2,UBE2M
RPA2,UFD1L
RPA2,TRIM25
RPA2,RRM2
RPA2,YWHAZ
RPA2,SUMO1
RPA2,UBE2V2
STAT3,TRAF6
STAT3,TRIM24
STAT3,TSHR
STAT3,TRIM25
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TES
STAT3,TNFRSF1A
STAT3,THPO
STAT3,TGFB1
STAT3,TYK2
STAT3,SUZ12
STAT3,TP53
STAT3,ZMYM2
STAT3,YES1
ARF1,HTR2A
ARF1,RAB5A
ARF1,COX15
ARF1,CYTH2
ARF1,CUL7
ARF1,COPB1
ARF1,RAB5B
ARF1,WWOX
ARF1,TUFM
ARF1,RAB1A
ARF1,NRAS
ARF1,CBL
ARF1,FBXO6
ARF1,KDELR1
ARF1,CAND1
ARF1,CTNNB1
ARF1,IGF1R
ARF1,SLC33A1
ARF1,TSC2
ARF1,HUWE1
ARF1,SOAT1
ARF1,PXN
ARF1,ARF1
ARF1,KRAS
ARF1,COPE
ARF1,CCT6A
ARF1,COPG1
ARF1,ETFA
ARF1,SEC23B
ARF1,SEC24A
ARF1,CDC73
ARF1,UBE2J1
ARF1,KIAA1429
ARF1,CHRM3
ARF1,SEC31A
ARF1,PTPN1
ARF1,ATF2
ARF1,UBE2M
ARF1,RAB2A
ARF1,VDAC1
ARF1,B4GALT3
ARF1,RAB1B
ARF1,SEC24C
ARF1,CCT3
ARF1,RECQL4
ARF1,CD74
ARF1,CD4
ARF1,DNASE2
ARF1,YKT6
ARF1,CPD
ARF1,CLTA
ARF1,EREG
ARF1,KDR
ARF1,PIK3CA
ARF1,CYTH3
ARF1,ARF6
ARF1,ARHGAP1
ARF1,SPTBN5
ARF1,COPB2
ARF1,HLA-DQA1
ARF1,RAC1
ARF1,IGF2R
ARF1,HLA-DRB1
ARF1,TFRC
ARF1,CAPZA2
ARF1,PIP5K1A
ARF1,SPTAN1
ARF1,HLA-DQA2
ARF1,HLA-DQB1
ARF1,HLA-DRB5
ARF1,SNX9
ARF1,DYNLL1
ARF1,HLA-DRA
ARF1,INS
ARF1,TGOLN2
ARF1,HLA-DQB2
ARF1,HLA-DPA1
ARF1,COPG2
ARF1,HLA-DPB1
ARF1,CDKN2A
ARF1,PIK3R1
ARF1,VEGFA
ARF1,SEC22B
APP,WDR5
APP,NTRK3
APP,INS
APP,HSPA4
APP,ETFDH
APP,S1PR1
APP,ZDHHC23
APP,ATXN3
APP,HSP90AA1
APP,LRRC59
APP,KPNA2
APP,ATP5A1
APP,GRIN1
APP,CUL3
APP,CTNNA1
APP,GNA15
APP,FCGR3A
APP,MYC
APP,VCP
APP,LRP1
APP,PIKFYVE
APP,DDX54
APP,CUL7
APP,MAP7D1
APP,RFWD3
APP,CDK5
APP,PPP1CC
APP,CLU
APP,TGFBR2
APP,GNB5
APP,NDUFA4
APP,CYB5B
APP,FGFR2
APP,ATP5C1
APP,RNF2
APP,EPHB4
APP,LRPPRC
APP,SYVN1
APP,NDUFS1
APP,LCP2
APP,DERL1
APP,UBL4A
APP,DNAJB6
APP,GJB1
APP,CANX
APP,PDHB
APP,BTK
APP,PCBP1
APP,SET
APP,RAB10
