"V1","V2"
"CD1C","THBD"
"TLR8","TLR7"
"ENSG00000173366","TLR7"
"CYP4F3","CYP2U1"
"PLA2G12B","PLA2G2C"
"PLA2G12B","CYP4F3"
"CSF3","LEP"
"IL23R","TSLP"
"IL23R","CSF3"
"IL13","TSLP"
"IL13","MRC1"
"IL13","CSF3"
"IL13","IL23R"
"IL7","TSLP"
"IL7","CSF3"
"IL7","IL23R"
"IL7","IL13"
"MUC5AC","IL13"
"CXCL3","LPAR3"
"CCL4L1","LPAR3"
"CCL4L1","CXCL3"
"IL21","IL23R"
"IL21","IL13"
"IL2","ENSG00000255819"
"IL2","CSF3"
"IL2","IL23R"
"IL2","IL13"
"IL2","IL7"
"IL2","SMPD1"
"CYP2B6","CYP2U1"
"CYP2B6","CYP4F3"
"IFNB1","TLR7"
"KLRK1","ENSG00000255819"
"KLRK1","IL2"
"SAA1","VIMP"
"SAA1","LPAR3"
"SAA1","CXCL3"
"SAA1","CCL4L1"
"ITGAX","MRC1"
"ITGAX","CD1C"
"ITGAX","TLR7"
"ITGAX","TLR8"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","IL2"
"MUC3A","MUC5AC"
"SELL","IL2"
"SELL","ITGAX"
"IL37","IL18R1"
"S100A12","SAA1"
"OXT","LEP"
"OXT","LPAR3"
"OXT","SAA1"
"CX3CL1","LPAR3"
"CX3CL1","CXCL3"
"CX3CL1","CCL4L1"
"CX3CL1","SAA1"
"ZWINT","ZWILCH"
"PLA2G3","PLA2G2D"
"PLA2G3","PLA2G2E"
"PTGER1","LPAR3"
"PTGER1","SAA1"
"PTGER1","OXT"
"MADCAM1","SELL"
"IL4","TSLP"
"IL4","MRC1"
"IL4","CD1C"
"IL4","TLR7"
"IL4","CSF3"
"IL4","IL23R"
"IL4","IL13"
"IL4","IL7"
"IL4","MUC5AC"
"IL4","IL21"
"IL4","IL2"
"IL4","ITGAX"
"IL4","SELL"
"IL4","CX3CL1"
"USP22","UNC5CL"
"SPC25","ZWILCH"
"SPC25","ZWINT"
"PTGES","PTGER2"
"PTGES","PTGER1"
"USP4","XIAP"
"IL18RAP","IL18R1"
"IL18RAP","IL37"
"LTB","PSMB11"
"PTGER4","PTGER2"
"PTGER4","PTGES"
"EDN1","LEP"
"EDN1","LPAR3"
"EDN1","REN"
"EDN1","SAA1"
"EDN1","OXT"
"EDN1","PTGER1"
"TFF3","TFF2"
"TFF3","MUC5AC"
"PRF1","ENSG00000255819"
"PRF1","IL2"
"PRF1","KLRK1"
"PRF1","SELL"
"PRF1","IL4"
"TYK2","IL23R"
"TYK2","IL13"
"TYK2","IFNB1"
"TYK2","IL11"
"TYK2","IL4"
"CYP2J2","PLA2G2F"
"CYP2J2","CYP2U1"
"CYP2J2","CYP4F3"
"CYP2J2","PLA2G12B"
"CYP2J2","CYP2B6"
"IDO1","IL2"
"IDO1","DDC"
"IDO1","IL4"
"IL5","TSLP"
"IL5","CSF3"
"IL5","IL23R"
"IL5","IL13"
"IL5","IL7"
"IL5","IL2"
"IL5","IL4"
"IL9","TSLP"
"IL9","CSF3"
"IL9","IL23R"
"IL9","IL13"
"IL9","IL7"
"IL9","IL2"
"IL9","IL4"
"IL9","IL5"
"IL17A","TLR7"
"IL17A","CSF3"
"IL17A","IL23R"
"IL17A","IL13"
"IL17A","IL7"
"IL17A","MUC5AC"
"IL17A","IL21"
"IL17A","IL2"
"IL17A","IFNB1"
"IL17A","ITGAX"
"IL17A","SELL"
"IL17A","IL4"
"IL17A","IL5"
"IL17A","IL9"
"TNFRSF11A","PSMB11"
"TNFRSF11A","LTB"
"STAT4","IL23R"
"STAT4","IL21"
"STAT4","IL18R1"
"STAT4","IL4"
"STAT4","IL18RAP"
"STAT4","TYK2"
"TLR5","IL17A"
"PPP2R5B","ZWILCH"
"PPP2R5B","PSMB11"
"PPP2R5B","ZWINT"
"PPP2R5B","SPC25"
"CXCL2","CSF3"
"CXCL2","LPAR3"
"CXCL2","CXCL3"
"CXCL2","CCL4L1"
"CXCL2","SAA1"
"CXCL2","CX3CL1"
"CXCL2","IL17A"
"TPX2","ZWINT"
"TPX2","SPC25"
"TPX2","UBE2T"
"IL3","CSF3"
"IL3","IL13"
"IL3","IL7"
"IL3","IL2"
"IL3","IL11"
"IL3","IL4"
"IL3","IL5"
"IL3","IL9"
"ZW10","ZWILCH"
"ZW10","ZWINT"
"ZW10","SPC25"
"ZW10","PPP2R5B"
"TNFSF14","PSMB11"
"TNFSF14","LTB"
"TNFSF14","TNFRSF11A"
"CYP2C19","CYP2U1"
"CYP2C19","CYP4F3"
"CYP2C19","PLA2G12B"
"CYP2C19","CYP2B6"
"CYP2C19","CYP2J2"
"CYP4F8","PLA2G2C"
"CYP4F8","CYP2U1"
"CYP4F8","CYP4F3"
"CYP4F8","CYP2B6"
"CYP4F8","CYP2J2"
"IL6","MRC1"
"IL6","TLR7"
"IL6","TLR8"
"IL6","TLR10"
"IL6","ENSG00000173366"
"IL6","TLR6"
"IL6","MMP13"
"IL6","LEP"
"IL6","CSF3"
"IL6","IL23R"
"IL6","IL13"
"IL6","IL7"
"IL6","CXCL3"
"IL6","CCL4L1"
"IL6","IL21"
"IL6","REN"
"IL6","IL2"
"IL6","IFNB1"
"IL6","SAA1"
"IL6","IL11"
"IL6","ITGAX"
"IL6","SELL"
"IL6","IL37"
"IL6","IL1F10"
"IL6","IL4"
"IL6","GPT"
"IL6","VEGFC"
"IL6","ANGPT1"
"IL6","EDN1"
"IL6","TYK2"
"IL6","IDO1"
"IL6","IL5"
"IL6","IL9"
"IL6","IL17A"
"IL6","STAT4"
"IL6","TLR5"
"IL6","CXCL2"
"IL6","IL3"
"IL6","ITIH2"
"PTGS1","PLA2G2F"
"PTGS1","PLA2G5"
"PTGS1","PLA2G2C"
"PTGS1","CYP2U1"
"PTGS1","CYP4F3"
"PTGS1","PLA2G2D"
"PTGS1","MT-CO2"
"PTGS1","CYP2B6"
"PTGS1","PLA2G2E"
"PTGS1","PTGES"
"PTGS1","CYP2J2"
"PTGS1","CYP2C19"
"PTGS1","CYP4F8"
"SPI1","TLR7"
"SPI1","H2AFB1"
"SPI1","IL9"
"CCL4","CSF3"
"CCL4","IL13"
"CCL4","IL7"
"CCL4","LPAR3"
"CCL4","CXCL3"
"CCL4","CCL4L1"
"CCL4","IL2"
"CCL4","SAA1"
"CCL4","CX3CL1"
"CCL4","PTGER1"
"CCL4","IL4"
"CCL4","EDN1"
"CCL4","IL5"
"CCL4","IL17A"
"CCL4","CXCL2"
"CCL4","IL6"
"TGFB2","VEGFC"
"IL12B","IL23R"
"IL12B","IL13"
"IL12B","IL4"
"IL12B","TYK2"
"IL12B","STAT4"
