"node","type"
"11099.PRO_0000038024",0
"NFKBIA",1
"HPGDS",1
"PCBP1",1
"YBX1",1
"negative regulation of transcription by RNA polymerase II",6
"magnesium ion binding",6
"mRNA splicing, via spliceosome",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"in utero embryonic development",6
"nucleic acid binding",6
"DNA binding",6
"chromatin binding",6
"double-stranded DNA binding",6
"single-stranded DNA binding",6
"DNA-binding transcription factor activity",6
"RNA binding",6
"mRNA binding",6
"glutathione transferase activity",6
"prostaglandin-D synthase activity",6
"calcium ion binding",6
"protein binding",6
"extracellular region",6
"nucleus",6
"nucleoplasm",6
"U12-type spliceosomal complex",6
"cytoplasm",6
"cytosol",6
"plasma membrane",6
"regulation of transcription, DNA-templated",6
"transcription by RNA polymerase II",6
"protein import into nucleus",6
"prostaglandin metabolic process",6
"glutathione metabolic process",6
"apoptotic process",6
"signal transduction",6
"Notch signaling pathway",6
"I-kappaB kinase/NF-kappaB signaling",6
"cytoplasmic sequestering of NF-kappaB",6
"locomotory behavior",6
"transcription factor binding",6
"nuclear localization sequence binding",6
"epidermis development",6
"regulation of gene expression",6
"cytoplasmic stress granule",6
"negative regulation of macrophage derived foam cell differentiation",6
"positive regulation of cholesterol efflux",6
"negative regulation of lipid storage",6
"membrane",6
"viral process",6
"RNA metabolic process",6
"protein deubiquitination",6
"nuclear speck",6
"negative regulation of translation",6
"cyclooxygenase pathway",6
"enzyme binding",6
"ubiquitin protein ligase binding",6
"lipopolysaccharide-mediated signaling pathway",6
"nuclear membrane",6
"negative regulation of NF-kappaB transcription factor activity",6
"positive regulation of cellular protein metabolic process",6
"response to muramyl dipeptide",6
"tumor necrosis factor-mediated signaling pathway",6
"I-kappaB/NF-kappaB complex",6
"toll-like receptor 4 signaling pathway",6
"miRNA binding",6
"response to muscle stretch",6
"cytoplasmic ribonucleoprotein granule",6
"viral RNA genome replication",6
"regulation of cell population proliferation",6
"identical protein binding",6
"protein homodimerization activity",6
"cytoplasmic sequestering of transcription factor",6
"negative regulation of apoptotic process",6
"intracellular membrane-bounded organelle",6
"response to exogenous dsRNA",6
"negative regulation of DNA binding",6
"cadherin binding",6
"negative regulation of myeloid cell differentiation",6
"negative regulation of Notch signaling pathway",6
"positive regulation of transcription by RNA polymerase II",6
"mRNA stabilization",6
"embryonic morphogenesis",6
"RNA transport",6
"positive regulation of inflammatory response",6
"GTPase binding",6
"tRNA transport",6
"NF-kappaB binding",6
"negative regulation of striated muscle cell differentiation",6
"positive regulation of cell division",6
"C5-methylcytidine-containing RNA binding",6
"extracellular exosome",6
"cellular response to cold",6
"nucleotide-binding oligomerization domain containing 1 signaling pathway",6
"nucleotide-binding oligomerization domain containing 2 signaling pathway",6
"interleukin-1-mediated signaling pathway",6
"CRD-mediated mRNA stabilization",6
"CRD-mediated mRNA stability complex",6
"histone pre-mRNA 3'end processing complex",6
"cellular response to interleukin-7",6
"sequence-specific single stranded DNA binding",6
"regulation of NIK/NF-kappaB signaling",6
"glutathione derivative biosynthetic process",6
"protein localization to cytoplasmic stress granule",6
"messenger ribonucleoprotein complex",6
"miRNA transport",6
"ribonucleoprotein complex",6
"negative regulation of male germ cell proliferation",6
"negative regulation of cellular senescence",6
