"node","type"
"11082.PRO_0000037752",0
"11082.PRO_0000037743",0
"11082.PRO_0000037747",0
"11082.PRO_0000037748",0
"KRAS",1
"IRAK3",1
"HNRNPA2B1",1
"PTBP1",1
"IFNB1",1
"C4B",1
"negative regulation of transcription by RNA polymerase II",6
"MAPK cascade",6
"magnesium ion binding",6
"regulation of alternative mRNA splicing, via spliceosome",6
"mRNA splicing, via spliceosome",6
"chromosome, telomeric region",6
"complement binding",6
"liver development",6
"positive regulation of protein phosphorylation",6
"negative regulation of cytokine-mediated signaling pathway",6
"stimulatory C-type lectin receptor signaling pathway",6
"adaptive immune response",6
"T cell activation involved in immune response",6
"B cell activation involved in immune response",6
"natural killer cell activation involved in immune response",6
"MyD88-dependent toll-like receptor signaling pathway",6
"RNA binding",6
"mRNA binding",6
"mRNA 3'-UTR binding",6
"GTPase activity",6
"protein serine/threonine kinase activity",6
"endopeptidase inhibitor activity",6
"cytokine activity",6
"type I interferon receptor binding",6
"protein binding",6
"ATP binding",6
"GTP binding",6
"extracellular region",6
"extracellular space",6
"nucleus",6
"nucleoplasm",6
"spliceosomal complex",6
"nucleolus",6
"cytoplasm",6
"mitochondrion",6
"cytosol",6
"plasma membrane",6
"focal adhesion",6
"mRNA processing",6
"mRNA export from nucleus",6
"regulation of translation",6
"protein phosphorylation",6
"inflammatory response",6
"complement activation",6
"complement activation, classical pathway",6
"humoral immune response",6
"cell surface receptor signaling pathway",6
"Ras protein signal transduction",6
"female pregnancy",6
"blood coagulation",6
"poly-pyrimidine tract binding",6
"opsonization",6
"positive regulation of cell population proliferation",6
"RNA splicing",6
"visual learning",6
"fibroblast growth factor receptor signaling pathway",6
"chloramphenicol O-acetyltransferase activity",6
"response to virus",6
"positive regulation of gene expression",6
"positive regulation of macrophage tolerance induction",6
"negative regulation of macrophage cytokine production",6
"negative regulation of endopeptidase activity",6
"Cajal body",6
"membrane",6
"viral process",6
"RNA metabolic process",6
"nuclear matrix",6
"GMP binding",6
"GDP binding",6
"cytokine-mediated signaling pathway",6
"forebrain astrocyte development",6
"actin cytoskeleton organization",6
"natural killer cell activation",6
"B cell differentiation",6
"carbohydrate binding",6
"LRR domain binding",6
"axon",6
"dendrite",6
"regulation of complement activation",6
"primary miRNA processing",6
"extrinsic component of cytoplasmic side of plasma membrane",6
"regulation of protein stability",6
"negative regulation of NF-kappaB transcription factor activity",6
"regulation of synaptic transmission, GABAergic",6
"detection of molecule of bacterial origin",6
"response to peptidoglycan",6
"response to lipopolysaccharide",6
"negative regulation of interleukin-12 production",6
"negative regulation of interleukin-6 production",6
"negative regulation of tumor necrosis factor production",6
"negative regulation of RNA splicing",6
"positive regulation of peptidyl-serine phosphorylation of STAT protein",6
"negative regulation of toll-like receptor signaling pathway",6
"positive regulation of Rac protein signal transduction",6
"miRNA binding",6
"positive regulation of protein dephosphorylation",6
"cellular response to interferon-beta",6
"intracellular signal transduction",6
"interleukin-12-mediated signaling pathway",6
"response to isolation stress",6
"pre-mRNA binding",6
"endocrine signaling",6
"B cell proliferation",6
"negative regulation of protein catabolic process",6
"protein homodimerization activity",6
"single-stranded telomeric DNA binding",6
"negative regulation of protein-containing complex disassembly",6
"regulation of protein-containing complex disassembly",6
"response to exogenous dsRNA",6
"positive regulation of MAP kinase activity",6
"negative regulation of MAP kinase activity",6
"regulation of RNA splicing",6
"negative regulation of neuron apoptotic process",6
"other organism cell",6
"G-quadruplex DNA unwinding",6
"protein-containing complex binding",6
"negative regulation of viral genome replication",6
"innate immune response",6
"positive regulation of innate immune response",6
"membrane raft",6
"synapse",6
"regulation of MHC class I biosynthetic process",6
"negative regulation of T cell differentiation",6
"regulation of cell differentiation",6
"negative regulation of cell differentiation",6
"negative regulation of innate immune response",6
"positive regulation of transcription by RNA polymerase II",6
"protein autophosphorylation",6
"protein heterodimerization activity",6
"negative regulation of mRNA splicing, via spliceosome",6
"regulation of long-term neuronal synaptic plasticity",6
"homeostasis of number of cells within a tissue",6
"RNA transport",6
"positive regulation of nitric-oxide synthase activity",6
"positive regulation of NF-kappaB transcription factor activity",6
"striated muscle cell differentiation",6
"negative regulation of muscle cell differentiation",6
"regulation of RNA metabolic process",6
"response to glucocorticoid",6
"response to mineralocorticoid",6
"defense response to virus",6
"type I interferon signaling pathway",6
"epithelial tube branching involved in lung morphogenesis",6
"extracellular exosome",6
"interleukin-1-mediated signaling pathway",6
"response to interleukin-1",6
"positive regulation of calcineurin-NFAT signaling cascade",6
"catalytic step 2 spliceosome",6
"cellular response to exogenous dsRNA",6
"blood microparticle",6
"IRES-dependent viral translational initiation",6
"pre-mRNA intronic binding",6
"G-rich strand telomeric DNA binding",6
"positive regulation of telomere maintenance via telomere lengthening",6
"positive regulation of telomerase RNA reverse transcriptase activity",6
"N6-methyladenosine-containing RNA binding",6
"miRNA transport",6
"ribonucleoprotein complex",6
"positive regulation of apoptotic cell clearance",6
"negative regulation of T-helper 2 cell cytokine production",6
"positive regulation of cellular senescence",6
"positive regulation of apoptotic signaling pathway",6
