source,target
ARRB2,PABPC1
ARRB2,HNRNPA1
ARRB2,UBC
ARRB2,HDAC2
ARRB2,MDM2
ARRB2,VCP
ARRB2,NFKBIA
ARRB2,RPS6
ARRB2,G3BP2
ARRB2,WDR77
ARRB2,PABPC4
ARRB2,EFTUD2
ARRB2,CUL3
ARRB2,ATG16L1
ARRB2,KRAS
CDK2,PHB
CDK2,TP53
CDK2,NTRK1
CDK2,ESR1
CDK2,COPS5
CDK2,IGF2BP3
CDK2,VCP
CDK2,PIN1
CDK2,MAPT
CDK2,YARS
CDK2,CDK2
CDK2,HNRNPA1
CDK2,CUL1
CDK2,RECQL4
CDK2,EFTUD2
CDK2,WDR77
CDK2,G3BP2
CDK2,MDM2
CDK2,PSMB9
CDK2,UBC
CDK2,CDK9
CDK2,SFN
CDK2,UIMC1
ESR1,PABPC1
ESR1,G3BP2
ESR1,RPL10
ESR1,HNRNPA1
ESR1,RPS6
ESR1,TP53
ESR1,TIA1
ESR1,MED12
ESR1,WDR36
ESR1,SFN
ESR1,HDAC2
ESR1,PHB
ESR1,PSMB9
ESR1,G3BP1
ESR1,TRIM25
ESR1,MDM2
ESR1,PIK3R1
ESR1,ESR1
ESR1,PRPF8
ESR1,YARS
ESR1,SUZ12
ESR1,GNL2
ESR1,PTEN
ESR1,NUP153
ESR1,UIMC1
ESR1,VCP
SFN,TP53
SFN,TRIM25
SFN,TARDBP
SFN,SFN
HNRNPA1,MIR214
HNRNPA1,MIR106B
HNRNPA1,MIR200C
HNRNPA1,MIR107
HNRNPA1,MIR21
HNRNPA1,SNW1
HNRNPA1,PRPF8
HNRNPA1,MIR200A
HNRNPA1,MIR140
HNRNPA1,MEPCE
HNRNPA1,NFKBIA
HNRNPA1,MIRLET7F1
HNRNPA1,MIR16-1
HNRNPA1,TP53
HNRNPA1,PABPC4
HNRNPA1,MIR34B
HNRNPA1,MIR25
HNRNPA1,TARDBP
HNRNPA1,MIRLET7C
HNRNPA1,TNF
HNRNPA1,MIR106A
HNRNPA1,MIR1-1
HNRNPA1,PABPC1
HNRNPA1,RC3H2
HNRNPA1,MIR141
HNRNPA1,MIR10B
HNRNPA1,WDR77
HNRNPA1,MIR29B1
HNRNPA1,MIR18A
HNRNPA1,IGF2BP3
HNRNPA1,RIOK1
HNRNPA1,MIR7-2
HNRNPA1,MIR221
HNRNPA1,MIR34A
HNRNPA1,IVNS1ABP
HNRNPA1,MIR19B1
HNRNPA1,MIRLET7A3
HNRNPA1,MIRLET7A1
HNRNPA1,MIRLET7I
HNRNPA1,MIR363
HNRNPA1,PHB
HNRNPA1,MIR98
HNRNPA1,RPS6
HNRNPA1,MIR429
HNRNPA1,MIR128-1
HNRNPA1,TRIM25
HNRNPA1,MIR17
HNRNPA1,MIR31
HNRNPA1,NTRK1
HNRNPA1,MIR92A1
HNRNPA1,MIR16-2
HNRNPA1,MIR155
HNRNPA1,MIR29C
HNRNPA1,VCP
HNRNPA1,HNRNPA1
HNRNPA1,MIR20B
HNRNPA1,MIR138-2
HNRNPA1,MIR222
HNRNPA1,SNRNP70
HNRNPA1,RECQL4
HNRNPA1,MIRLET7F2
HNRNPA1,MIR93
HNRNPA1,MIR19A
HNRNPA1,MIRLET7E
HNRNPA1,MIRLET7B
HNRNPA1,MDM2
HNRNPA1,MIR128-2
HNRNPA1,MIRLET7G
HNRNPA1,MIR205
HNRNPA1,MIRLET7A2
HNRNPA1,MIR200B
HNRNPA1,RC3H1
HNRNPA1,RNF2
HNRNPA1,MIR7-3
HNRNPA1,MIR206
HNRNPA1,MIR145
HNRNPA1,MIRLET7D
HNRNPA1,MIR7-1
HNRNPA1,MIR15B
HNRNPA1,PPT1
HNRNPA1,TIAL1
SNW1,SNW1
SNW1,TP53
SNW1,TARDBP
SNW1,SUZ12
NTRK1,RPS6
NTRK1,TARDBP
NTRK1,PHB
NTRK1,SNRNP70
NTRK1,UBC
