source,target
XRN1,NXF1
XRN1,TCTN3
XRN1,RNF31
XRN1,NSA2
XRN1,FOXP3
XRN1,CKAP5
XRN1,NTRK1
XRN1,RHOB
XRN1,MYC
XRN1,TRIM25
APP,EIF3L
APP,HSPA8
APP,ADAM10
APP,MED9
APP,SUZ12
APP,NSA2
APP,MRPS15
APP,TRAF6
APP,MCM2
APP,UBE2D2
APP,ZNF645
APP,GEMIN2
APP,ARNT
APP,NOC4L
APP,DYNLRB2
APP,EGLN3
APP,MUC13
APP,RAB40B
APP,RCC2
APP,MAPK3
APP,TGOLN2
APP,ASB14
APP,FPR3
APP,LTN1
APP,KIF11
APP,ELAVL1
APP,EPRS
APP,POLR2L
APP,NTRK1
APP,DCUN1D1
APP,SYT9
APP,CSK
APP,FGB
APP,RIOK1
APP,CUL3
APP,KCNAB1
APP,ASB5
APP,ZDHHC17
APP,PIK3R1
APP,STT3A
APP,GTSE1
APP,UBE2C
APP,CYLD
APP,MRPL50
APP,RPL21
APP,NOL6
APP,SFN
APP,MT-ND2
APP,SNW1
APP,RAD21
APP,SH3KBP1
APP,FOXP1
APP,CRK
APP,AP2M1
APP,H3F3B
APP,CEP57
APP,PDHB
APP,FSTL3
APP,KLHL22
APP,FUS
APP,AURKA
APP,PLAUR
APP,DAPK1
APP,UPF1
APP,TYMS
APP,FZD5
APP,GRWD1
APP,CACNA2D1
APP,ARSB
APP,CCR7
APP,DCTN6
APP,RPL9
APP,XPO1
APP,COL1A2
APP,GNB2L1
APP,FBXW4
APP,COL2A1
APP,OBSL1
APP,VIPR2
APP,TRIM25
APP,NUBP1
APP,ALDOC
APP,POLR1E
APP,YBX1
APP,COX4I1
APP,RPS3
APP,SQSTM1
APP,PRKDC
APP,HRH4
APP,SDHA
APP,XRN1
APP,FTH1
APP,PLK1
APP,ZNF2
APP,DYRK2
APP,MAP2K3
APP,TAF1B
APP,USP15
APP,TCF7L2
APP,BRCA1
APP,APP
APP,UBA5
APP,INSL5
APP,RPS27A
APP,SF3B4
APP,TEX10
APP,GBF1
APP,UPF3B
APP,PPP1R8
APP,PAXIP1
APP,CTNNB1
APP,EEF1D
APP,FANCI
APP,TIA1
APP,INS
APP,RNF31
APP,COPB2
APP,HES1
APP,CLINT1
APP,CASP3
APP,NXF1
APP,TAF9
APP,KLF4
APP,RAB7A
APP,RPGRIP1L
APP,DARS
APP,CUL4A
APP,GPKOW
APP,DDX10
APP,UBC
APP,TRIM68
APP,FBXO6
APP,CA11
APP,CC2D2A
APP,CEP78
APP,MOV10
APP,DYNC1I2
APP,TNIP2
APP,RABGEF1
APP,TCEAL1
APP,RPL36AL
APP,FANCC
APP,NUP37
APP,RPL26L1
APP,UBB
APP,CIRH1A
APP,EPN1
APP,SCML2
APP,CCT5
APP,PSMA2
APP,ZBTB21
APP,HSPA9
APP,CAPZB
APP,TAS2R9
APP,PTGES3
APP,CENPB
APP,CCNA2
APP,YEATS4
APP,HSPA5
APP,GNGT1
APP,AAR2
APP,KBTBD8
APP,AREL1
APP,CCT2
APP,NPS
APP,SMURF1
APP,DNM2
APP,RNF4
APP,DEK
APP,PPIL6
APP,UBE2R2
APP,SRSF5
APP,TP53
APP,CCR4
APP,RNF41
APP,RPS20
APP,GCG
APP,RAF1
APP,VWA1
APP,MRPS14
APP,RPL14
APP,TRHR
APP,KBTBD7
APP,RPS3A
APP,DSTN
APP,IL7R
APP,KRT12
APP,PSMD14
APP,CHRM3
APP,ASB7
APP,H2AFX
APP,KIAA1429
APP,COMMD1
APP,CHEK1
APP,EIF4A3
APP,KLHL2
APP,BET1
APP,RPS13
APP,MCEMP1
APP,SPSB1
APP,UBA1
APP,PDIA3
APP,ESR1
APP,P2RY6
APP,ZBTB33
APP,FBXL22
APP,RNPS1
APP,CEP44
APP,POLR2G
APP,SREBF1
APP,HUWE1
APP,NR2C2
APP,ENO1
APP,IKBKB
APP,CCDC8
APP,NOP58
APP,RPS21
APP,SUMO2
APP,TUFM
APP,XIAP
APP,RPL32
APP,HP
APP,SIRT1
APP,XRCC6
APP,HIST1H4A
APP,EIF4B
APP,CUL4B
APP,TARDBP
APP,MSH2
APP,METTL14
APP,COPS4
APP,EED
APP,CDCA3
APP,NGFR
APP,UTP23
APP,MKS1
APP,KRT17
APP,HECTD2
APP,GPS1
APP,RNF123
APP,MYL1
APP,NF1
APP,UBA52
APP,MDM2
APP,SPTBN1
APP,IKBKG
APP,TAS2R50
APP,POLR1D
APP,CDK2
APOB,KIF21A
APOB,CAPN1
APOB,CANT1
APOB,KIAA1429
APOB,MCM2
APOB,SRSF1
APOB,CDK2
APOB,H2AFY2
APOB,TTR
APOB,EZH2
APOB,LAMP1
APOB,SNW1
APOB,GNGT1
APOB,UBE2A
APOB,HSPA5
APOB,RAD21
APOB,AXIN1
APOB,APP
APOB,RPL8
APOB,EGFR
APOB,TAF15
APOB,UBB
APOB,SH3KBP1
APOB,PRKDC
APOB,FBXW7
APOB,POLR2G
APOB,RPS3
APOB,ATP1A1
APOB,UPF1
APOB,RPS27A
APOB,PIK3CA
APOB,PIK3R1
APOB,GNB3
APOB,SMURF1
APOB,AGTR2
APOB,RC3H1
APOB,RIOK1
APOB,CDC16
APOB,DNM2
APOB,CTBP1
APOB,ZNRF2
APOB,UBA52
APOB,MEOX2
APOB,TRIM9
APOB,GNB1
APOB,BIN1
APOB,RPL15
APOB,YWHAB
