source,target
FLNC,SIRT7
FLNC,WDR75
FLNC,ACADM
FLNC,TACR1
FLNC,UBE2E2
FLNC,CBLB
FLNC,MYBBP1A
FLNC,AP2M1
FLNC,CTR9
FLNC,SEC24C
FLNC,ANAPC1
FLNC,RNF123
FLNC,ANAPC5
FLNC,HIST1H2BL
FLNC,ESR2
ACTN2,POLR2E
ACTN2,UBE2D1
ACTN2,POLR2A
ACTN2,UBE2N
ACTN2,RPS17
ACTN2,ASB8
ACTN2,RRP1B
ACTN2,PIN1
ACTN2,RBBP4
ACTN2,KLHL5
ACTN2,RPS2
ACTN2,EPRS
ACTN2,INSL3
ACTN2,ESR2
ACTN2,APOBEC3B
ACTN2,C10orf2
ACTN2,SH3KBP1
ACTN2,HSPA1L
ACTN2,DCAF7
ACTN2,HNRNPD
ACTN2,HIST1H2AM
ACTN2,MYC
ACTN2,RPS14
ACTN2,PEBP1
ACTN2,KRAS
ACTN2,RRP9
ACTN2,PCF11
ACTN2,NPY5R
ACTN2,TRIM25
ACTN2,NDC80
ACTN2,FBXO22
ACTN2,RPL4
ACTN2,YBX1
ACTN2,SOX2
ACTN2,SNCA
ACTN2,FBXL5
ACTN2,RHOA
ACTN2,TCTN3
ACTN2,TRAP1
ACTN2,LONRF1
ACTN2,RLN3
ACTN2,TACC3
ACTN2,RBM8A
ACTN2,RNF4
ACTN2,COL5A3
ACTN2,WDR33
ACTN2,RNF2
ACTN2,AR
ACTN2,PDHB
PML,U2SURP
PML,VCP
PML,XPO4
PML,NEDD4L
PML,SQSTM1
PML,CFL1
PML,NCOR1
PML,S1PR1
PML,NFKB1
PML,TRA2B
PML,ENO1
PML,GNG13
PML,TP53
PML,PYCR2
PML,MAPK6
PML,SLC25A3
PML,NF2
PML,PPP5C
PML,H2AFX
PML,TGFBR2
PML,PCGF6
PML,XCR1
PML,SMAD3
PML,EXOSC7
PML,CUL1
PML,CDC34
PML,HLA-DRA
PML,ELAVL1
PML,MBP
PML,ATP5C1
PML,LRP2
PML,KAT5
PML,ACADM
PML,HECTD2
PML,OSCAR
PML,TAS2R8
PML,CMTM6
PML,SNRPC
PML,IGF1R
PML,RPL13A
PML,SCNM1
PML,SMC1A
PML,MCM2
RPA2,TAS2R8
RPA2,GRM6
RPA2,TUBB4B
RPA2,PABPN1
RPA2,MTA2
RPA2,SRSF1
RPA2,PYGB
RPA2,CD79A
RPA2,PTGES3
RPA2,POLRMT
RPA2,RAB4A
RPA2,SMC1A
RPA2,ZDHHC17
RPA2,PIH1D1
RPA2,CASP8
RPA2,CPA5
RPA2,SOAT1
RPA2,FOXM1
RPA2,PLCG1
RPA2,CCL13
RPA2,ARFGAP1
RPA2,TACR1
RPA2,HRAS
RPA2,MYC
RPA2,ASB5
RPA2,CYLD
RPA2,PDK1
RPA2,USP7
RPA2,PICALM
RPA2,TOP2B
RPA2,SYNCRIP
RPA2,UBE2E1
RPA2,AKT3
RPA2,TRIM25
RPA2,NUP107
RPA2,CXCR6
RPA2,EGLN3
RPA2,ANAPC7
RPA2,ANAPC5
RPA2,ESR2
RPA2,UBE2L6
RPA2,PSMC2
RPA2,DVL2
RPA2,PCBP1
RPA2,FBXL16
RPA2,POLR2K
RPA2,UBC
RPA2,RNF123
RPA2,PTPRG
RPA2,TP53
RPA2,GALNS
RPA2,PHC3
RPA2,TRIP13
RPA2,APOC3
RPA2,WDR18
RPA2,RNF114
RPA2,GPR143
RPA2,RPSA
RPA2,MCTS1
RPA2,PACSIN2
RPA2,LONRF1
RPA2,IRF6
RPA2,CENPF
RPA2,CDC5L
RPA2,UBE2G1
RPA2,ZBTB16
ARF1,LCK
ARF1,NOP56
ARF1,DCAF15
ARF1,CCNF
ARF1,GRB2
ARF1,PIH1D1
ARF1,POFUT2
ARF1,TNIP2
ARF1,ATXN3
ARF1,PRKDC
ARF1,USP15
ARF1,HNRNPF
ARF1,PSMD10
ARF1,TUBB
ARF1,RAB37
ARF1,SCCPDH
ARF1,RPL7A
ARF1,SKP1
ARF1,SOCS3
ARF1,UPF1
ARF1,PMCH
ARF1,CTNNB1
ARF1,GRIN2A
ARF1,ITSN1
ARF1,TRIM25
ARF1,CCT6B
ARF1,RPSA
ARF1,MRPS16
