source,target
PML,RNF4
PML,RARA
PML,RBX1
PML,TP53
PML,SIRT1
PML,RUNX1
PML,SP1
PML,RB1
PML,POLR2E
PML,SIN3A
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,ZNF451
PML,SUZ12
PML,STAT1
PML,WDR5
PML,SH3GL1
PML,RELA
PML,PML
PML,PPARGC1A
PML,SMAD3
PML,RXRA
PML,SP3
PML,SMAD2
PML,SMURF2
PML,RPTOR
PML,TNRC6B
PML,SMURF1
PML,RBBP4
PML,TFAP2B
PML,TNRC6C
PML,TNRC6A
PML,TRIM48
PML,RBBP7
APP,HIST1H2BM
APP,WDR5
APP,KAT5
APP,HSPA4
APP,ATXN3
APP,KPNA2
APP,STUB1
APP,CUL3
APP,MYC
APP,HIST2H2AC
APP,CUL7
APP,CAPRIN1
APP,GPATCH2L
APP,RNF2
APP,COPS5
APP,MTMR14
APP,SYNCRIP
APP,SMURF1
APP,PTGDR
APP,UBE2M
APP,G3BP1
APP,AURKA
APP,HDAC4
APP,FKBP1A
APP,LARP7
APP,HIST1H4I
APP,PTP4A1
APP,CUL4B
APP,HIST1H2BB
APP,MDM2
APP,APP
APP,CERK
APP,HIST2H2AB
APP,PPP1R8
APP,ITGA2B
APP,PAXIP1
APP,CTNNB1
APP,MCM7
APP,FOXJ2
APP,ZMYM5
APP,CDC37
APP,TFPT
APP,CHTOP
APP,NRIP1
APP,ESR2
APP,COIL
APP,VIM
APP,SPEG
APP,TNIP2
APP,RING1
APP,PPIA
APP,VHL
APP,ERH
APP,POLR2K
APP,OBSL1
APP,DGCR8
APP,RUVBL2
APP,HNRNPA1
APP,SMAD3
APP,POLR2F
APP,POU2F1
APP,JUN
APP,DYNLT1
APP,TRIM25
APP,SHMT2
APP,SERBP1
APP,USF1
APP,KIAA1429
APP,NOTCH1
APP,GABPA
APP,CCT7
APP,ASXL2
APP,MCM2
APP,ING3
APP,ATF6
APP,UCHL5
APP,SNRNP70
APP,NPM1
APP,RBX1
APP,YY1
APP,SMAD1
APP,ASXL1
APP,ATF2
APP,FOS
APP,SPSB2
APP,PTPN7
APP,COPS7B
APP,H2AFV
APP,CSNK2A1
APP,HIST1H2BA
APP,CLK3
APP,S100A8
APP,CIRBP
APP,F9
APP,NFKB1
APP,THBS1
APP,TP53
APP,FN1
APP,HSPA5
APP,NTRK1
APP,FOXO3
APP,RELA
