"V1","V2"
"CASP8","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"
"CASP8","regulation of extrinsic apoptotic signaling pathway via death domain receptors"
"CASP8","positive regulation of neuron death"
"CASP8","positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"
"CASP8","ripoptosome"
"CASP8","activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway"
"CASP8","self proteolysis"
"CASP8","activation of cysteine-type endopeptidase activity"
"CASP8","cysteine-type endopeptidase activity involved in apoptotic signaling pathway"
"CASP8","execution phase of apoptosis"
"CASP8","extrinsic apoptotic signaling pathway"
"CASP8","apoptotic signaling pathway"
"CASP8","cysteine-type endopeptidase activity involved in apoptotic process"
"CASP8","scaffold protein binding"
"CASP8","death-inducing signaling complex assembly"
"CASP8","cellular response to organic cyclic compound"
"CASP8","cellular response to mechanical stimulus"
"CASP8","nucleotide-binding oligomerization domain containing signaling pathway"
"CASP8","syncytiotrophoblast cell differentiation involved in labyrinthine layer development"
"CASP8","negative regulation of necroptotic process"
"CASP8","regulation of necroptotic process"
"CASP8","proteolysis involved in cellular protein catabolic process"
"CASP8","positive regulation of proteolysis"
"CASP8","positive regulation of macrophage differentiation"
"CASP8","response to ethanol"
"CASP8","membrane raft"
"CASP8","protein-containing complex binding"
"CASP8","cell body"
"CASP8","negative regulation of I-kappaB kinase/NF-kappaB signaling"
"CASP8","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"CASP8","neuron projection"
"CASP8","identical protein binding"
"CASP8","B cell activation"
"CASP8","T cell activation"
"CASP8","suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process"
"CASP8","TRAIL-activated apoptotic signaling pathway"
"CASP8","death effector domain binding"
"CASP8","TRIF-dependent toll-like receptor signaling pathway"
"CASP8","response to tumor necrosis factor"
"CASP8","toll-like receptor 3 signaling pathway"
"CASP8","protein-containing complex"
"CASP8","positive regulation of interleukin-1 beta production"
"CASP8","response to lipopolysaccharide"
"CASP8","response to estradiol"
"CASP8","response to cobalt ion"
"CASP8","ubiquitin protein ligase binding"
"CASP8","CD95 death-inducing signaling complex"
"CASP8","death-inducing signaling complex"
"CASP8","macrophage differentiation"
"CASP8","natural killer cell activation"
"CASP8","regulation of tumor necrosis factor-mediated signaling pathway"
"CASP8","response to cold"
"CASP8","extrinsic apoptotic signaling pathway via death domain receptors"
"CASP8","cysteine-type peptidase activity"
"CASP8","peptidase activity"
"CASP8","cell surface receptor signaling pathway"
"CASP8","activation of cysteine-type endopeptidase activity involved in apoptotic process"
"CASP8","apoptotic process"
"CASP8","proteolysis"
"CASP8","cytoskeleton"
"CASP8","cytosol"
"CASP8","mitochondrial outer membrane"
"CASP8","mitochondrion"
"CASP8","cytoplasm"
"CASP8","nucleoplasm"
"CASP8","protein binding"
"CASP8","tumor necrosis factor receptor binding"
"CASP8","death receptor binding"
"CASP8","cysteine-type endopeptidase activity"
"12657.CFLA_EHV2","CASP8"
"12657.CFLA_EHV2","CASP8"
