source,target
LMNA,RAB13
LMNA,CLASP2
LMNA,CASR
LMNA,APOBEC3G
CASR,APOBEC3G
UBE2D1,UBE2D1
UBE2D1,SSR1
CLASP2,APOBEC3G
TTC27,APOBEC3G
MOV10,FCGR1A
MOV10,RPS23
MOV10,NOTCH3
GCGR,LMNA
MED19,MED19
APOBEC3G,RAB13
APOBEC3G,WDR43
APOBEC3G,TCEB1
APOBEC3G,ALG14
APOBEC3G,NF2
APOBEC3G,SERPINB8
APOBEC3G,MOV10
APOBEC3G,RPL15
APOBEC3G,NOTCH3
APOBEC3G,GBP3
APOBEC3G,PTCD1
APOBEC3G,BST2
APOBEC3G,UBE2D1
APOBEC3G,SSR1
APOBEC3G,GCGR
APOBEC3G,OXA1L
APOBEC3G,GRK5
APOBEC3G,MED19
RPL15,RPS23
RPL15,TCEB1
FCGR1A,APOBEC3G
GRK5,RPL15
GRK5,CASR
API5,APOBEC3G
API5,UBE2D1
RPS23,APOBEC3G
HIST1H4J,APOBEC3G
CRNKL1,APOBEC3G
ANKMY2,APOBEC3G
