source,target
EP300,FOS
EP300,IRF5
EP300,STAT1
EP300,IRF2
EP300,IRF7
EP300,STAT2
EP300,JUN
EP300,POLR2A
EP300,NR3C1
EP300,NFKB1
EP300,IRF1
EP300,KAT2B
EP300,EP300
EP300,RELA
EP300,IRF3
EP300,HMGB1
EP300,GTF2B
EP300,IFNA7
EP300,GTF2F1
EP300,TNF
EP300,IFNA17
EP300,IL1B
EP300,IFNB1
EP300,IFNA16
EP300,IFNA4
EP300,IFNA6
EP300,IFNA8
EP300,IFNA14
EP300,HSP90AA1
EP300,IFNA10
EP300,GTF2A1
EP300,GTF3A
EP300,SMARCA4
EP300,IFNA21
EP300,IFNA2
EP300,GTF2E1
ATF2,JUN
ATF2,EP300
ATF2,FOS
ATF2,ATF2
ATF2,CREBBP
ATF2,HSP90AA1
ATF2,PTPN1
ATF2,IFNG
ATF2,NR3C1
ATF2,IRF1
ATF2,SMARCC1
ATF2,SMARCB1
ATF2,KAT2B
ATF2,GTF2F1
ATF2,HMGB1
ATF2,SMARCC2
ATF2,IRF2
ATF2,IFNB1
ATF2,IRF4
ATF2,GTF2A1
ATF2,SMARCD1
ATF2,IRF7
ATF2,IRF3
ATF2,IRF5
ATF2,GTF2B
ATF2,RELA
ATF2,GTF3A
ATF2,SMARCA4
ATF2,IRF6
ATF2,SMARCE1
ATF2,POLR2A
ATF2,GTF2E1
CREBBP,CREBBP
CREBBP,SMARCA4
CREBBP,IRF1
CREBBP,KAT2B
CREBBP,IRF3
CREBBP,JUN
CREBBP,EP300
CREBBP,IRF5
CREBBP,HOXB7
CREBBP,STAT1
CREBBP,SMARCB1
CREBBP,STAT2
CREBBP,IRF9
CREBBP,FOS
CREBBP,POLR2A
CREBBP,RELA
CREBBP,HMGB1
CREBBP,TLR2
CREBBP,IRF7
CREBBP,IFNAR2
CREBBP,NR3C1
CREBBP,GTF2B
CREBBP,NFKB1
CREBBP,IFNA7
CREBBP,SMARCC1
CREBBP,GTF2F1
CREBBP,TNF
CREBBP,IFNA17
CREBBP,IL1B
CREBBP,IFNB1
CREBBP,IRF4
CREBBP,IFNA16
CREBBP,IFNA4
CREBBP,IFNA6
CREBBP,IFNA8
CREBBP,SMARCC2
CREBBP,IRF2
CREBBP,IFNA14
CREBBP,IFNA10
CREBBP,CXCL8
CREBBP,GTF2A1
CREBBP,SMARCD1
CREBBP,GTF3A
CREBBP,IRF6
CREBBP,SMARCE1
CREBBP,IFNA21
CREBBP,IFNA2
CREBBP,GTF2E1
SMARCA4,SMARCB1
SMARCA4,SMARCC1
SMARCA4,STAT1
SMARCA4,SMARCA4
SMARCA4,STAT2
SMARCA4,SMARCD1
SMARCA4,SMARCE1
SMARCA4,SMARCC2
NR3C1,SMARCE1
NR3C1,SMARCC2
NR3C1,SMARCC1
NR3C1,SMARCD1
NR3C1,RELA
NR3C1,SMARCB1
NR3C1,NR3C1
NR3C1,SMARCA4
NR3C1,TNF
NR3C1,STAT1
NR3C1,POLR2A
SOCS1,TYK2
SOCS1,TRAF6
SOCS1,TLR3
SOCS1,STAT2
SOCS1,SOCS3
SOCS1,TLR4
SOCS1,STAT1
IL1A,IL1A
IL1A,NFKB1
IL1A,IRAK2
IL1A,IL1RN
IL1A,TLR2
IL1A,IRAK3
IL1A,JUN
IL1A,IRAK1
IL1A,TRAF6
IL1A,TNF
IL1A,IL1R1
IL1A,IL1B
IL1A,TOLLIP
IL1A,MYD88
IL1A,RELA
IL1A,IL1RAP
IL1A,IL6
IL1A,IRAK4
JAK2,PTPN6
JAK2,TRAF6
JAK2,SOCS1
JAK2,PTPN1
JAK2,PTPN11
JAK2,STAT1
JAK2,JAK2
JAK2,SOCS3
JAK2,NFKB1
JAK2,STAT2
JAK2,TLR4
JAK2,TYK2
JAK2,RELA
NFKB1,POLR2A
NFKB1,TBK1
NFKB1,NR3C1
NFKB1,NFKB1
NFKB1,SOCS3
NFKB1,RELA
NFKB1,NGFR
NFKB1,TRAF6
NFKB1,TNF
NFKB1,TYK2
NFKB1,PTPN6
NFKB1,TLR2
NFKB1,TOLLIP
NFKB1,TLR4
NGFR,NGFR
NGFR,TRAF6
NGFR,NTRK3
NGFR,RELA
RELA,SOCS3
RELA,SOCS1
RELA,TBK1
RELA,STAT1
RELA,RELA
RELA,SMARCC1
RELA,TLR2
RELA,SMARCB1
RELA,SMARCC2
RELA,SMARCE1
RELA,TLR4
RELA,SMARCD1
RELA,TRAF6
RELA,TNF
RELA,TYK2
RELA,SMARCA4
FOS,SMARCC2
FOS,SMARCC1
FOS,SMARCE1
FOS,JUN
FOS,STAT1
FOS,FOS
FOS,RELA
FOS,GTF2F1
FOS,NR3C1
FOS,IL1A
FOS,IL1B
FOS,TNF
FOS,IRF9
FOS,IFNB1
FOS,IL10
FOS,IL6
NONO,SMARCA4
NONO,SMARCD1
NONO,SOCS3
NONO,NONO
NONO,SMARCB1
NONO,SMARCC1
STAT1,STAT2
STAT1,STAT1
STAT1,TYK2
STAT1,TLR2
STAT1,TLR3
STAT1,TBK1
STAT1,TNF
COPB1,IRF7
COPB1,COPB1
COPB1,IRAK3
COPB1,FOLR1
IL1RAP,TOLLIP
IL1RAP,MYD88
IL1RAP,IRAK1
IL1RAP,NFKB1
IL1RAP,IRAK2
IL1RAP,IL1RN
IL1RAP,IRAK3
IL1RAP,TRAF6
IL1RAP,RELA
IL1RAP,IRAK4
TOLLIP,TRAF6
TOLLIP,TOLLIP
TLR3,TRAF6
TLR3,TOLLIP
TLR3,TNF
TLR3,TLR7
TLR4,TRAF6
TLR4,TOLLIP
TLR4,TNF
TLR4,TLR7
TLR9,TRAF6
TLR9,TOLLIP
TLR9,TNF
PTPN11,SOCS1
PTPN11,SOCS3
PTPN11,PTPN6
PTPN11,TYK2
PTPN11,STAT1
PTPN11,PTPN11
PTPN11,STAT2
PTPN11,TBK1
PTPN11,TLR4
ACTB,EP300
ACTB,KAT2B
ACTB,SMARCE1
ACTB,POLR2A
ACTB,SMARCA4
ACTB,SMARCC2
ACTB,TNF
ACTB,PTPN1
ACTB,ACTB
ACTB,NR3C1
ACTB,IRF1
ACTB,SMARCC1
ACTB,CREBBP
ACTB,SMARCB1
ACTB,ATF2
ACTB,GTF2E1
ACTB,ARID1A
ACTB,HMGB1
ACTB,IRF5
ACTB,GTF2F1
ACTB,IFNB1
ACTB,IRF4
ACTB,IRF3
ACTB,GTF2B
ACTB,JUN
ACTB,IRF2
ACTB,GTF2A1
ACTB,SMARCD1
ACTB,IRF7
ACTB,RELA
ACTB,GTF3A
ACTB,IRF6
SMARCD1,SMARCE1
LDB1,TOLLIP
IFIT1,IFNA14
IFIT1,IFNA10
IFIT1,IFNA21
IFIT1,MB21D1
IFIT1,IFNA8
IFIT1,IRF1
IFIT1,STAT2
IFIT1,JAK1
IFIT1,IRF5
IFIT1,STAT1
IFIT1,IRF6
IFIT1,IRF9
IFIT1,IFNB1
IFIT1,IRF4
IFIT1,IRF3
IFIT1,IRF2
IFIT1,MX1
IFIT1,IRF7
IRF3,TLR2
IRF3,IRF7
IRF3,TBK1
IRF3,MAVS
IRF3,IRF3
IRF3,IRF5
IRF3,SOCS1
