source,target
APP,HSPA8
APP,HERC2
APP,DLST
APP,IKBKAP
APP,ACTL6A
APP,SOX2
APP,THRAP3
APP,TRAF6
APP,ANAPC1
APP,SF3B2
APP,HDAC3
APP,RPA3
APP,MCM2
APP,CDK15
APP,CAPZA3
APP,TRMT112
APP,CWC22
APP,RELA
APP,EGLN3
APP,F2
APP,EFTUD2
APP,CAPZA1
APP,WBP4
APP,TGOLN2
APP,KIF11
APP,ELAVL1
APP,FAR1
APP,RPL13
APP,BAG3
APP,CUL7
APP,PPP2R5C
APP,COX6B1
APP,NTPCR
APP,CUL3
APP,DNM3
APP,FN1
APP,PIK3R1
APP,UBE2C
APP,CDC26
APP,CYLD
APP,COPS6
APP,CLTA
APP,SNW1
APP,RAD21
APP,PTPRA
APP,PSMB5
APP,MIB2
APP,GNG4
APP,PDHB
APP,KCNQ1
APP,CCR9
APP,REEP2
APP,G3BP1
APP,MCM6
APP,RPS4X
APP,ADSS
APP,UNC93B1
APP,GABBR1
APP,RPL9
APP,XPO1
APP,GNB2L1
APP,NUP54
APP,TRIM25
APP,TESK2
APP,TACR1
APP,NUBP1
APP,HIST2H2BE
APP,ERCC8
APP,MRPL18
APP,PRKCA
APP,GNB5
APP,PARK2
APP,SDHA
APP,XRCC5
APP,NMU
APP,CLTC
APP,ADCY1
APP,FBXO2
APP,APP
APP,FFAR2
APP,INSL5
APP,VAMP3
APP,RPS27A
APP,GNL3L
APP,HIST1H2BJ
APP,BAZ2A
APP,RABL6
APP,PTPN1
APP,VIPR1
APP,AGTR1
APP,CTNNB1
APP,TRMT61B
APP,RFC5
APP,GATAD2B
APP,RPL3
APP,ATG7
APP,P2RY4
APP,PSMC3
APP,KANSL2
APP,ERG
APP,MIR145
APP,ESR2
APP,TUBB3
APP,UBC
APP,EEF1E1
APP,MOV10
APP,PSMD1
APP,AP2A2
APP,TNIP2
APP,RABGEF1
APP,RPL36AL
APP,NUP37
APP,COG5
APP,EIF3F
APP,MRPL4
APP,SART1
APP,RPL3L
APP,DCTN5
APP,GABARAPL2
APP,SPSB4
APP,HSPA9
APP,CCNA2
APP,UBE2L6
APP,WWOX
APP,HSPA5
APP,NPS
APP,MRPL46
APP,IFIT1
APP,KIF3C
APP,RNF4
APP,NECAP1
APP,TAS2R5
APP,CPSF1
APP,PTK2B
APP,RNF41
APP,MAP1LC3A
APP,GNG2
APP,RPL28
APP,MIR16-2
APP,GLMN
APP,LAMTOR1
APP,SF3B3
APP,SERPINA1
APP,RPLP1
APP,VCAM1
APP,MED1
APP,ASB7
APP,CXCL2
APP,KIAA1429
APP,TCP1
APP,ROBO1
APP,NOP56
APP,COQ9
APP,RXFP2
APP,BET1
APP,TAX1BP1
APP,LSM8
APP,ESR1
APP,RHOA
APP,P2RY6
APP,POLR2A
