source,target
PML,U2SURP
PML,VCP
PML,SQSTM1
PML,QSOX1
PML,NFKB1
PML,NUP133
PML,ENO1
PML,ABI3
PML,TP53
PML,MAPK6
PML,TGOLN2
PML,DLD
PML,RPL7L1
PML,WDR5
PML,RPTOR
PML,CCT8
PML,TGFBR2
PML,PCGF6
PML,GNG8
PML,XCR1
PML,PIK3R3
PML,TMED6
PML,KRT31
PML,NMS
PML,CREG1
PML,PDPK1
PML,CDC34
PML,HLA-DRA
PML,ELAVL1
PML,SEC24B
PML,ATP5C1
PML,LRP2
PML,CHGB
PML,GNGT1
PML,SRC
PML,MRPL24
PML,RPL15
PML,SNRPC
PML,FBXO2
PML,TXNDC12
PML,RPL13A
PML,SMC1A
PML,FOXA1
PML,MCM2
PML,YWHAH
PML,RRAGB
PML,DHX9
PML,RUNX1
PML,MTM1
RPA2,RPS20
RPA2,BCL2
RPA2,PABPN1
RPA2,RNF7
RPA2,RCC1
RPA2,PTGES3
RPA2,SMC1A
RPA2,ZDHHC17
RPA2,PIH1D1
RPA2,CASP8
RPA2,HCAR3
RPA2,PCNA
RPA2,PSMA7
RPA2,TP53BP1
RPA2,MAPK9
RPA2,TACR1
RPA2,MYC
RPA2,ASB5
RPA2,CYLD
RPA2,PTPN11
RPA2,PDK1
RPA2,USP7
RPA2,TNF
RPA2,PICALM
RPA2,PDIA3
RPA2,SYNCRIP
RPA2,GNGT1
RPA2,TEAD4
RPA2,AKT3
RPA2,TRIM25
RPA2,FLOT1
RPA2,NUP107
RPA2,HIST1H2BG
RPA2,ABL1
RPA2,EGLN3
RPA2,MAD2L1
RPA2,RXFP1
RPA2,ANAPC7
RPA2,TMPO
RPA2,ESR2
RPA2,PSMC2
RPA2,DVL2
RPA2,FBXL16
RPA2,AKAP1
RPA2,H2AFV
RPA2,POLR2K
RPA2,UBE2V2
RPA2,UBC
RPA2,DICER1
RPA2,FBXO7
RPA2,TP53
RPA2,PHC3
RPA2,UBE2C
RPA2,SH3RF1
RPA2,RPL9
RPA2,TXNDC5
RPA2,TAS2R30
RPA2,RPL7L1
RPA2,BAX
RPA2,RPSA
RPA2,MCTS1
RPA2,LONRF1
RPA2,CDC5L
RPA2,POU2F1
RPA2,HSPA6
RPA2,TGM1
STAT3,PDIA6
STAT3,UBA52
STAT3,ASB5
STAT3,C4A
