source,target
ACTN2,GPER1
ACTN2,POLR2E
ACTN2,ORM2
ACTN2,RPF2
ACTN2,UBE2D1
ACTN2,UBE2N
ACTN2,GNG8
ACTN2,KLHL2
ACTN2,POLE4
ACTN2,ASB8
ACTN2,INO80D
ACTN2,RELA
ACTN2,PIN1
ACTN2,TCF12
ACTN2,COMMD5
ACTN2,SRPR
ACTN2,EPRS
ACTN2,PPP2R5E
ACTN2,ESR2
ACTN2,YAP1
ACTN2,SH3KBP1
ACTN2,POLA1
ACTN2,IL10
ACTN2,HSPA1L
ACTN2,CAMKMT
ACTN2,ERBB2IP
ACTN2,HNRNPD
ACTN2,RBX1
ACTN2,MLN
ACTN2,RNPS1
ACTN2,RPS14
ACTN2,DPF2
ACTN2,KRAS
ACTN2,PCF11
ACTN2,TRIM25
ACTN2,SORBS2
ACTN2,CHRM2
ACTN2,FBXO22
ACTN2,BIRC5
ACTN2,SOX2
ACTN2,TBP
ACTN2,XRCC6
ACTN2,TCTN3
ACTN2,EZH2
ACTN2,TACC3
ACTN2,RBM8A
ACTN2,RNF4
ACTN2,RNF2
ACTN2,CCDC22
ACTN2,KIF23
ACTN2,AR
PML,VCP
PML,NDUFA8
PML,PTGS2
PML,L3MBTL3
PML,BUB1
PML,NUP133
PML,RPL11
PML,ENO1
PML,GNG13
PML,TP53
PML,TGOLN2
PML,DLD
PML,AASDHPPT
PML,RPL10A
PML,WDR5
PML,RPLP0
PML,H2AFX
PML,GNG8
PML,PHB2
PML,PIK3R3
PML,MRPL22
PML,NMS
PML,CUL1
PML,CREG1
PML,GNG12
PML,MRPS28
PML,TAS2R41
PML,RIOK1
PML,CHGB
PML,GNGT1
PML,HECTD2
PML,POLR2I
PML,SRC
PML,TP73
PML,TAS2R8
PML,HAUS5
PML,MCM2
PML,COMMD8
PML,DHX9
RPA2,TAS2R8
RPA2,SYMPK
RPA2,PIGR
RPA2,DIP2A
RPA2,YAP1
RPA2,RBM4
RPA2,GOLT1B
RPA2,RNF7
RPA2,SUPV3L1
RPA2,POLRMT
RPA2,PIH1D1
RPA2,KCTD3
RPA2,RPS8
RPA2,PCNA
RPA2,FOXM1
RPA2,MSH6
RPA2,PSMA7
RPA2,MAPK9
RPA2,UBE2M
RPA2,HIST1H4K
RPA2,HMOX1
RPA2,ARFGAP1
RPA2,TRIM21
RPA2,HRAS
RPA2,PTGS2
RPA2,ASB5
RPA2,CYLD
RPA2,TRIM71
RPA2,PDK1
RPA2,USP7
RPA2,TNF
RPA2,PDIA3
RPA2,SYNCRIP
RPA2,GNGT1
RPA2,AKT3
RPA2,TRIM25
RPA2,GNL3L
RPA2,ABL1
RPA2,ZNF598
RPA2,RARB
RPA2,EGLN3
RPA2,RANBP2
RPA2,ESR2
RPA2,PSMC2
RPA2,PRKAR1A
RPA2,H2AFV
RPA2,RBM14
RPA2,TES
RPA2,SUMO2
RPA2,DYNC1I2
RPA2,POLR2K
RPA2,UBC
RPA2,KIF11
RPA2,RNPS1
RPA2,VAMP2
RPA2,FBXO7
RPA2,TP53
RPA2,GALNS
RPA2,TRAPPC9
RPA2,MRM1
RPA2,PHC3
RPA2,UBE2C
RPA2,LSM4
RPA2,TAS1R1
RPA2,RPL9
RPA2,VIM
RPA2,RPL13
RPA2,BAX
RPA2,WDR4
RPA2,UBE3C
RPA2,HMMR
RPA2,CDC5L
RPA2,ZBTB16
RPA2,MIR200C
STAT3,KLHL20
STAT3,FOXO3
STAT3,ILF2
STAT3,ASB5
STAT3,LCE1E
STAT3,PPP2CA
STAT3,TRIM11
STAT3,OXT
STAT3,H2AFJ
STAT3,TCEA2
STAT3,SRGAP2
STAT3,SPSB1
STAT3,DUSP13
STAT3,SYMPK
STAT3,NCAPH2
STAT3,GOSR2
STAT3,SPTA1
STAT3,MED26
STAT3,BCL3
STAT3,KIF20B
STAT3,RPS15A
STAT3,BRCA1
STAT3,ESR2
STAT3,ITPR2
STAT3,UBA5
STAT3,UCHL3
STAT3,OPRK1
STAT3,FASN
STAT3,UBTF
STAT3,MYO19
STAT3,SEC11C
STAT3,PELP1
STAT3,CENPU
STAT3,SPP1
STAT3,POLR2E
STAT3,HIST2H2BE
STAT3,FBXO7
STAT3,HSPH1
STAT3,SMURF1
STAT3,CCDC22
STAT3,RAB7A
STAT3,SFN
STAT3,CUL5
STAT3,PSAP
STAT3,CTNNB1
XRN1,MRPS24
XRN1,SMARCC2
XRN1,NMS
XRN1,EPRS
XRN1,MRPS2
XRN1,EIF3A
XRN1,UBC
XRN1,NEDD8
XRN1,UBE2V1
XRN1,UBB
XRN1,RPS24
XRN1,YWHAE
XRN1,POLA1
XRN1,ZYX
XRN1,TRIM25
XRN1,SDC1
XRN1,MMS19
XRN1,FBXW10
XRN1,PARK2
XRN1,CDK1
XRN1,CCT2
XRN1,RPS9
XRN1,BAG3
XRN1,UGT1A1
XRN1,PCNA
APP,NOP58
APP,AGR2
APP,UBQLN2
APP,TRPM8
APP,RNPS1
APP,TAB2
APP,LIN28A
APP,IFIT3
APP,TUBA4A
APP,MLLT4
APP,RNF25
APP,MAPK1
APP,RPGRIP1L
APP,MYH9
APP,GOSR1
APP,HSP90AA1
APP,WDR46
APP,HSPA5
APP,TAS1R1
APP,NPW
APP,S100A9
APP,POU5F1
APP,SPTA1
APP,RPA3
APP,CUL3
APP,STAG1
APP,GNG11
APP,FUS
APP,NPFFR2
APP,SSR1
APP,HMMR
APP,HIST1H4A
APP,MRPL32
APP,HOOK3
APP,PSMA1
APP,CA9
APP,PAF1
APP,NIN
