source,target
FLNC,RNF4
FLNC,MTDH
FLNC,PRKCZ
FLNC,TP63
FLNC,RNF31
FLNC,WIPI2
FLNC,PRKAB2
FLNC,IKBKB
FLNC,USP14
RPA2,STAT3
RPA2,UBC
RPA2,SMC1A
RPA2,SMC3
RPA2,TPX2
RPA2,RPA3
RPA2,YAP1
RPA2,TP53
RPA2,TOP2B
RPA2,SH3GLB1
RPA2,UBQLN2
RPA2,SEH1L
RPA2,RTN4
RPA2,TCOF1
RPA2,RPS27A
RPA2,UBB
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,USP10
RPA2,UBA52
STAT3,TRAF6
STAT3,TIRAP
STAT3,TRIM25
STAT3,STAT3
STAT3,TWIST1
STAT3,TNFRSF1A
STAT3,TLR2
STAT3,TNF
STAT3,TP53
STAT3,TLR4
STAT3,YES1
BRCA1,RNF216
BRCA1,RICTOR
BRCA1,RPTOR
BRCA1,TP63
BRCA1,TP53
BRCA1,PPP1CA
BRCA1,HNRNPU
BRCA1,HIF1A
BRCA1,ERC1
BRCA1,UBE2D1
BRCA1,XIAP
BRCA1,CDKN2A
BRCA1,PYCARD
BRCA1,SMC1A
BRCA1,UBC
BRCA1,PRKAA2
BRCA1,MTOR
BRCA1,FKBP4
BRCA1,HNRNPM
BRCA1,USP2
BRCA1,GPR161
BRCA1,JUN
BRCA1,POT1
BRCA1,SKP1
BRCA1,HSP90AA1
BRCA1,TRIM27
BRCA1,MAP3K3
BRCA1,KEAP1
BRCA1,RPA1
BRCA1,PRKDC
BRCA1,MCRS1
BRCA1,TCOF1
BRCA1,CREBBP
BRCA1,HSP90AB1
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,PDGFRA
BRCA1,PPP2CA
BRCA1,CDK4
BRCA1,BRCA1
BRCA1,MAP4K4
BRCA1,ILF3
BRCA1,HSPA5
BRCA1,RELA
BRCA1,PLK1
BRCA1,RPS27
BRCA1,TFAP2C
BRCA1,UBE2N
BRCA1,ESR2
BRCA1,NCOA3
BRCA1,MAP3K14
BRCA1,TPX2
BRCA1,SMC3
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,LMNA
BRCA1,GFI1B
BRCA1,CDC37
BRCA1,PRKAG3
BRCA1,ITPR1
BRCA1,CSNK2B
BRCA1,TP73
BRCA1,FLNA
BRCA1,MAP3K1
BRCA1,DDB1
BRCA1,FANCG
BRCA1,TERF1
BRCA1,EEF1D
BRCA1,PGK1
BRCA1,TNKS
BRCA1,FANCA
BRCA1,CASP9
BRCA1,E2F4
BRCA1,FOXO3
BRCA1,XPO1
BRCA1,FLNC
BRCA1,RPA2
BRCA1,PYGL
BRCA1,PIK3R1
BRCA1,C22orf29
BRCA1,RPA3
BRCA1,FXR2
BRCA1,CLTC
BRCA1,HSPB1
BRCA1,RAN
BRCA1,UBE2D2
BRCA1,EGLN3
BRCA1,SQSTM1
BRCA1,CDH1
BRCA1,GAPDH
BRCA1,ERBB2
BRCA1,RPS27A
BRCA1,UBB
BRCA1,CASP3
BRCA1,RNF2
BRCA1,PTEN
BRCA1,RNF8
BRCA1,UBA52
BRCA1,RNF4
ITPR1,TRIM25
ITPR1,RHOA
ITPR1,PRKCD
ITPR1,KIAA1429
ITPR1,VMP1
ITPR1,SIGMAR1
ITPR1,PRKCB
ITPR1,PRKCA
CTNNB1,NFKB1
CTNNB1,PTEN
CTNNB1,SKP1
CTNNB1,EPAS1
CTNNB1,LMNA
CTNNB1,MAPK8
CTNNB1,HSP90AB1
CTNNB1,ERBB2
CTNNB1,NRAS
CTNNB1,USP2
CTNNB1,GAPDH
CTNNB1,KAT2A
CTNNB1,FANCA
CTNNB1,FAF1
CTNNB1,USP4
CTNNB1,TJP1
CTNNB1,MUC1
CTNNB1,FGFR1
CTNNB1,OTUD7B
CTNNB1,RTN4
CTNNB1,HSP90AA1
CTNNB1,HERC5
CTNNB1,YAP1
CTNNB1,EEF1D
CTNNB1,FANCG
CTNNB1,USP18
CTNNB1,USP21
CTNNB1,SOCS2
CTNNB1,HUWE1
CTNNB1,UNK
CTNNB1,CUL3
CTNNB1,HSPA5
CTNNB1,PPARG
CTNNB1,ELAVL1
CTNNB1,PLK1
CTNNB1,HSPB1
CTNNB1,TNFAIP3
CTNNB1,UBE2N
CTNNB1,UQCRC1
CTNNB1,PARK2
CTNNB1,HIF1A
CTNNB1,HMGB1
CTNNB1,USP33
CTNNB1,FOXO3
CTNNB1,FBXW11
CTNNB1,PIK3CA
CTNNB1,NR4A1
CTNNB1,HTT
CTNNB1,SLC25A13
CTNNB1,USP13
CTNNB1,SMAD2
CTNNB1,UBE2D1
CTNNB1,EGFR
CTNNB1,MAP1LC3B
CTNNB1,FAS
CTNNB1,PIK3R1
CTNNB1,NDRG1
CTNNB1,CUL1
CTNNB1,MAPK6
CTNNB1,KIAA1429
CTNNB1,USP10
CTNNB1,RPA1
CTNNB1,RNF4
CTNNB1,RB1CC1
CTNNB1,GLIS2
CTNNB1,LATS2
CTNNB1,NTRK1
CTNNB1,PRKDC
CTNNB1,RPS27
CTNNB1,IKBKB
CTNNB1,FKBP4
CTNNB1,KRAS
CTNNB1,FOXO4
CTNNB1,CYLD
CTNNB1,PGK1
CTNNB1,HNRNPM
CTNNB1,HSPA1A
CTNNB1,DDB1
CTNNB1,XPO1
CTNNB1,LAMP1
CTNNB1,PRKCA
CTNNB1,SRC
CTNNB1,EGLN3
CTNNB1,TRIM25
CTNNB1,GNB2L1
CTNNB1,RPA2
CTNNB1,HNRNPU
CTNNB1,SLC9A3R2
CTNNB1,RPS27A
CTNNB1,ESR2
CTNNB1,ILF3
CTNNB1,PSMD10
CTNNB1,MAPK14
CTNNB1,EXOC4
CTNNB1,SNX1
CTNNB1,STAT3
CTNNB1,RAB7A
CTNNB1,TP53
CTNNB1,RAB5A
CTNNB1,PRKCI
CTNNB1,UBB
CTNNB1,TERT
CTNNB1,DACT1
CTNNB1,UBC
CTNNB1,IRF3
CTNNB1,FOXO1
CTNNB1,TNIK
CTNNB1,UBA52
CTNNB1,MAP2K6
CTNNB1,JUN
CTNNB1,PRKCZ
CTNNB1,RHOA
CTNNB1,PPP2CA
CTNNB1,MTOR
CTNNB1,EPHA2
RPA1,TP53
RPA1,RPA2
RPA1,SEH1L
RPA1,TCOF1
RPA1,SMC3
RPA1,SMC1A
RPA1,TPX2
RPA1,TRIM25
RPA1,YAP1
RPA1,TOP2B
RPA1,UBC
RPA1,RPA1
RPA1,RPA3
RPA1,RTN4
RPA1,USP10
RPA1,UBA52
RPA1,UBB
RPA1,RPS27A
RPA1,UBE2N
RPA3,TPX2
RPA3,SEH1L
RPA3,SMC1A
RPA3,UBC
RPA3,TNIP2
RPA3,RTN4
RPA3,SMC3
RPA3,TCOF1
RPA3,UNK
RPA3,VHL
RPA3,TOP2B
RPA3,RPA3
RPA3,TP53
RPA3,UBB
RPA3,RPS27A
RPA3,UBE2N
RPA3,TRIM25
RPA3,USP10
RPA3,UBA52
CLTC,COPS5
CLTC,FLNA
CLTC,NTRK1
CLTC,MAP1LC3A
CLTC,CUL1
CLTC,PIK3CA
CLTC,TNIP2
CLTC,TUFM
CLTC,RPA1
CLTC,CYLD
CLTC,NDRG1
CLTC,MAP3K7
CLTC,EPHA2
CLTC,IKBKE
CLTC,RNF4
CLTC,PTRH2
CLTC,IKBKB
CLTC,TP53
CLTC,KIAA1429
CLTC,RPA3
CLTC,UNK
CLTC,SRC
CLTC,PPP1CA
CLTC,HSPA1A
CLTC,SSR3
CLTC,RPA2
CLTC,CUL3
CLTC,RICTOR
CLTC,FBXW11
CLTC,TNF
CLTC,UQCRC2
CLTC,HUWE1
