source,target
GATA2,FBXW8
GATA2,NTRK1
GATA2,VCAM1
GATA2,COPS3
GATA2,ZBTB16
GATA2,GAPVD1
GATA2,UBE2W
GATA2,BCL2L1
GATA2,UBE2H
GATA2,HSD3B2
GATA2,TOLLIP
GATA2,KBTBD13
GATA2,HNRNPA2B1
GATA2,CUL3
GATA2,DCTN3
GATA2,MRPS14
GATA2,HECTD2
GATA2,ASB14
GATA2,PCBP1
GATA2,GPC3
RPA2,ESR2
RPA2,HSP90AA1
RPA2,COL6A3
RPA2,SYMPK
RPA2,UBXN1
RPA2,PSMA1
RPA2,TLR3
RPA2,GSK3B
RPA2,RPL6
RPA2,RPL23
RPA2,DHCR7
RPA2,WWOX
RPA2,RABGGTB
RPA2,UBE2C
RPA2,SRSF11
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,TANK
RPA2,PCP2
RPA2,MRPL18
RPA2,HSPA1A
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,SOCS2
RPA2,TRIM63
RPA2,RHOD
RPA2,RECQL4
RPA2,SPSB1
RPA2,PRDX3
RPA2,PRKACA
RPA2,ARCN1
RPA2,ARHGAP35
RPA2,FBXL22
RPA2,RACGAP1
RPA2,HSP90B1
RPA2,TACR3
RPA2,SOCS3
RPA2,USP9X
RPA2,TFRC
RPA2,UBC
RPA2,RPS6KA1
RPA2,HERC3
RPA2,MTOR
RPA2,GNB1
RPA2,WDR5
RPA2,PGAM1
RPA2,EGFR
RPA2,TYMS
RPA2,CXCR5
RPA2,FOSL2
RPA2,MAPT
RPA2,XRN2
RPA2,SYK
RPA2,CDC16
RPA2,TIMELESS
RPA2,CDC27
RPA2,KIF20A
RPA2,TAS2R8
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,VPS37C
RPA2,TRAF7
RPA2,NEDD4
RPA2,FBXO17
RPA2,UBA52
RPA2,BDKRB2
RPA2,P2RY11
RPA2,LARP1
RPA2,UBB
RPA2,GSTA2
RPA2,TRIM28
RPA2,OBSL1
RPA2,PTGS2
RPA2,P2RY14
RPA2,FCAR
RPA2,EAF1
RPA2,RPA3
RPA2,DCTN5
RPA2,ARRB1
RPA2,STX5
RPA2,EXOSC2
RPA2,CUL1
RPA2,UBE2V1
RPA2,DRD1
RPA2,RBX1
RPA2,ERG
RPA2,DDX18
STAT3,HDGF
STAT3,PRPF8
STAT3,AIFM1
STAT3,TMEM63A
STAT3,NTRK1
STAT3,PTPN1
STAT3,YWHAG
STAT3,RFC5
STAT3,UBA52
STAT3,RHOA
STAT3,RAN
STAT3,YKT6
STAT3,MAPK1
STAT3,FZR1
STAT3,REEP1
STAT3,H2AFV
STAT3,KIAA1429
STAT3,PROS1
STAT3,HNRNPC
STAT3,PRDX6
STAT3,ABCE1
STAT3,RPS13
STAT3,RNF123
STAT3,P2RY14
STAT3,FN1
STAT3,TCTN2
STAT3,RBL2
STAT3,KIF5A
STAT3,TAS1R2
STAT3,SPSB4
STAT3,CNR2
STAT3,MED30
STAT3,RPS21
STAT3,YWHAB
STAT3,AATF
STAT3,GATA2
STAT3,UBC
STAT3,POLR2K
STAT3,TUBB
STAT3,FCER1G
STAT3,SIRT6
STAT3,TSPAN5
STAT3,EIF4A3
STAT3,XPO1
STAT3,RPL6
STAT3,HIST1H2BA
STAT3,AVPR1A
STAT3,GNG5
STAT3,PTPN11
STAT3,RPSA
STAT3,MED14
STAT3,RECQL4
STAT3,KLHL20
STAT3,SSTR3
STAT3,TBP
STAT3,SDHA
STAT3,UBA6
STAT3,ELAVL1
STAT3,DIS3
STAT3,CTLA4
STAT3,TOR1AIP1
STAT3,UBE2H
STAT3,RAD23B
STAT3,SRGAP2
STAT3,RPL21
STAT3,LMNA
STAT3,DYNC1H1
XRN1,NXF1
XRN1,PSMD12
XRN1,HSP90AA1
XRN1,COPS6
XRN1,NFKBIB
XRN1,HIST1H2BB
XRN1,YWHAG
