source,target
FLNC,CHRD
FLNC,KRT31
FLNC,CHRM5
FLNC,PSMA1
FLNC,GTF3C4
FLNC,FBXO9
FLNC,PDGFRB
FLNC,RUVBL1
FLNC,MIR29A
FLNC,C3AR1
FLNC,HNRNPH1
FLNC,KRAS
FLNC,HIST2H2AC
FLNC,BSG
FLNC,SUPT5H
FLNC,CEP128
FLNC,FGFR3
FLNC,RAF1
FLNC,VDAC1
FLNC,MBIP
FLNC,HERC5
FLNC,SLC15A3
FLNC,SMURF1
FLNC,RPS2
FLNC,TMEM43
FLNC,NCBP1
FLNC,SF3A3
FLNC,STK24
FLNC,ROBO1
FLNC,SNRPN
FLNC,RBM4
FLNC,KDM5A
FLNC,RPL9
FLNC,MAPK14
FLNC,SHMT2
FLNC,NPY1R
FLNC,PRKDC
FLNC,HSP90AB1
FLNC,TRIM25
FLNC,KIF11
FLNC,MFN1
FLNC,RILP
FLNC,UBE3B
FLNC,EHMT2
FLNC,SNRNP27
FLNC,UBB
ACTN2,CPSF4
ACTN2,UQCRC1
ACTN2,RPL13A
ACTN2,POLR2D
ACTN2,DLST
ACTN2,FAF2
ACTN2,SNRPE
ACTN2,U2AF1L4
ACTN2,TP53
ACTN2,SH3KBP1
ACTN2,COIL
ACTN2,TNF
ACTN2,TGOLN2
ACTN2,UBE2M
ACTN2,SHC1
ACTN2,SLC2A2
ACTN2,CDC25C
ACTN2,TAS1R3
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,MYL12B
ACTN2,DCP1A
ACTN2,PEX7
ACTN2,FBXO30
ACTN2,CAND1
ACTN2,SFI1
ACTN2,TNKS
ACTN2,SHMT2
ACTN2,QARS
ACTN2,INS
ACTN2,MYO5A
ACTN2,HIST1H2BB
ACTN2,CAPZB
ACTN2,RPS28
ACTN2,PPP2R1B
ACTN2,UNC93B1
ACTN2,RAB1A
ACTN2,DHX16
ACTN2,RAB12
ACTN2,SMARCE1
ACTN2,EFTUD2
ACTN2,EIF3B
ACTN2,GNB1
ACTN2,EPHA3
ACTN2,TRIM63
ACTN2,SLC2A4
ACTN2,FBN1
ACTN2,TIAM1
ACTN2,PRKCD
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,NDE1
ACTN2,PLK1
ACTN2,PAPOLA
ACTN2,CFTR
ACTN2,MCM2
ACTN2,RPL10
ACTN2,PEX5
ACTN2,RAB3A
ACTN2,FN1
ACTN2,MARK2
ACTN2,ZHX1
ACTN2,PTAFR
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,PIK3C2A
ACTN2,ZC3H11A
ACTN2,DIAPH1
ACTN2,KLHL13
ACTN2,DGAT1
ACTN2,NOP14
ACTN2,VAMP8
ACTN2,PPP2R1A
ACTN2,POLR2B
ACTN2,NOLC1
ACTN2,RPLP0
ACTN2,PIK3CA
ACTN2,SERPINA1
ACTN2,PTEN
ACTN2,HERC3
ACTN2,CLASP1
ACTN2,NCAPG
ACTN2,UBA3
ACTN2,GTF2H4
ACTN2,ZNRF1
ACTN2,EED
ACTN2,MLST8
ACTN2,EMD
ACTN2,HIST2H3C
ACTN2,ASB8
ACTN2,PEX19
ACTN2,PDCD6
ACTN2,LPAR1
ACTN2,AGO3
ACTN2,ATG7
GATA2,MAGIX
GATA2,MBD3
GATA2,FBXW8
GATA2,NTRK1
GATA2,VCAM1
GATA2,KCTD6
GATA2,COPS3
GATA2,ZBTB16
GATA2,HIST1H3A
GATA2,GAPVD1
GATA2,YWHAZ
GATA2,AHNAK
GATA2,UBE2W
GATA2,KIF1A
GATA2,BCL2L1
GATA2,UBE2H
GATA2,TOLLIP
GATA2,OSTF1
GATA2,HNRNPA2B1
GATA2,ROGDI
GATA2,CUL3
GATA2,TCEB2
GATA2,HIST1H1A
GATA2,CUL4B
GATA2,DCTN3
GATA2,MRPS14
GATA2,FGF8
GATA2,HECTD2
GATA2,ASB14
GATA2,ARRB2
GATA2,ITGAL
GATA2,CLASP2
GATA2,PRC1
GATA2,PCBP1
GATA2,RBPJ
GATA2,GPC3
GATA2,EXOSC1
PML,DYNLL1
PML,PDGFB
PML,RC3H1
PML,APBB1
PML,GNG5
PML,TNRC6C
PML,UPP2
PML,BDKRB1
PML,CKS2
PML,IL7R
PML,ZNF217
PML,SCARA3
PML,CXCL6
PML,AAR2
PML,OR52B6
PML,ITFG1
PML,HNRNPA1
PML,RUNX3
PML,SPI1
PML,HIST1H2BJ
PML,RPL39
PML,HNRNPA2B1
PML,UTP11L
PML,RTP5
PML,KDM4B
PML,CDC5L
PML,ATP5C1
PML,TMEM216
PML,VHL
PML,KBTBD8
PML,MTRF1
PML,LGR4
PML,GAPDH
PML,TERT
PML,HNRNPA3
PML,RPL35A
PML,U2AF2
PML,UBE2F
PML,UBE2N
PML,SUZ12
PML,KRT8
PML,MRM1
PML,KCNJ2
PML,ELL
PML,XAF1
PML,UBE3A
PML,DNAJC19
PML,TYMS
PML,IGFBP5
PML,RELA
PML,ARPC3
PML,POLR2B
PML,CWC22
PML,NOC2L
PML,NCK2
PML,AGO2
PML,PTGER3
PML,MYL12B
PML,RTP2
PML,TRIP12
PML,RNF14
PML,BCR
PML,MAPK8
PML,DYNC1LI1
PML,SKI
PML,KIF22
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,TMF1
PML,ROBO1
PML,EWSR1
PML,PLOD1
PML,UBE2L3
PML,HIST1H3A
PML,RPS11
PML,KIAA1429
PML,RRP36
PML,TUBB2B
PML,PSMD11
PML,NUP85
PML,TRIM62
PML,SNRPD3
PML,FAU
PML,UBE2M
PML,PABPC4
PML,TPM2
PML,SMURF2
PML,IGF1
PML,HEXIM1
PML,FBXL8
PML,TRIM14
PML,SRSF6
PML,ZC3H7A
PML,HSPA5
PML,POLR2I
PML,HACE1
PML,PPA1
PML,SRPR
PML,OPRM1
PML,TAS2R30
PML,RNPS1
PML,ZWINT
PML,RAB9A
RPA2,SART3
RPA2,ESR2
RPA2,HSP90AA1
RPA2,SYMPK
RPA2,ASB9
RPA2,UBXN1
RPA2,RNF115
RPA2,NEURL2
RPA2,PSMA1
RPA2,TLR3
RPA2,GSK3B
RPA2,GOT1
RPA2,TERF2
RPA2,RPL6
RPA2,RPL23
RPA2,OR8U1
RPA2,HDAC9
RPA2,OXT
RPA2,STAM2
RPA2,WWOX
RPA2,BUD31
RPA2,RABGGTB
RPA2,NTS
RPA2,UBE2C
RPA2,CSTA
RPA2,RPL37A
RPA2,HIST2H2AA3
RPA2,SRSF11
RPA2,GOPC
RPA2,SERPINC1
RPA2,TXNDC5
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,LPAR4
RPA2,TANK
RPA2,PCP2
RPA2,MRPL18
RPA2,OLFM4
RPA2,XPO1
RPA2,RPS3
RPA2,LRR1
RPA2,SOCS2
RPA2,TRIM63
RPA2,PYGB
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,YTHDF3
RPA2,SPSB1
RPA2,HRG
RPA2,NRCAM
RPA2,PRDX3
RPA2,CENPC
RPA2,SLC33A1
RPA2,PRKACA
RPA2,ARCN1
RPA2,CSNK2A2
RPA2,FBXL22
RPA2,NECAP2
RPA2,MAP1LC3B
RPA2,RACGAP1
RPA2,XRCC6
RPA2,TOP2B
RPA2,POLR3C
RPA2,CORO1B
RPA2,GGT7
RPA2,RAB3C
RPA2,RPS7
RPA2,TMEM30A
RPA2,ARRB2
RPA2,TP53BP1
RPA2,SOCS3
RPA2,MXD1
RPA2,GSPT1
RPA2,USP9X
RPA2,CUL4B
RPA2,RLN3
RPA2,LEO1
RPA2,RNF114
RPA2,TFRC
RPA2,UBC
RPA2,AGTRAP
RPA2,SORD
RPA2,RPS6KA1
RPA2,PRPF6
RPA2,HERC3
RPA2,DVL2
RPA2,MTOR
RPA2,IGHV3-11
RPA2,GNB1
RPA2,WDR5
RPA2,PTGER3
RPA2,TNPO2
RPA2,TRIM6
RPA2,EGFR
RPA2,MMP8
RPA2,TYMS
RPA2,CXCR5
RPA2,FOSL2
RPA2,UBA7
RPA2,MAPT
RPA2,XRN2
RPA2,NPM2
RPA2,HEXA
RPA2,ZNF830
RPA2,CDC16
RPA2,UTP14A
RPA2,ZKSCAN4
RPA2,CDC27
RPA2,PIK3R3
RPA2,IKBKG
RPA2,CXCL13
RPA2,KIF20A
RPA2,SEC31A
RPA2,TAS2R8
RPA2,ERCC8
RPA2,M6PR
RPA2,VSIG4
RPA2,TP53
RPA2,CAND1
RPA2,PTPRK
RPA2,KIF3A
RPA2,MYBBP1A
RPA2,CXCL11
RPA2,DPY30
RPA2,FERMT2
RPA2,PKM
RPA2,EIF4G1
RPA2,NEIL3
RPA2,TAS2R43
RPA2,YBEY
RPA2,METAP2
RPA2,TMED10
RPA2,SSR3
RPA2,TRAF7
RPA2,CCL4
RPA2,PIK3R2
RPA2,GART
RPA2,NEDD4
RPA2,GTF2B
RPA2,PSME3
RPA2,FBXO17
RPA2,CEP76
RPA2,TRIM37
RPA2,UBA52
RPA2,BDKRB2
RPA2,P2RY11
RPA2,SCARB2
RPA2,AMELX
