source,target
MAP2K4,TRIM25
MAP2K4,SOD1
MAP2K4,POLR2H
MAP2K4,XRCC3
MAP2K4,DDX5
MAP2K4,KNTC1
MAP2K4,YWHAH
MAP2K4,UBC
MAP2K4,PARK2
MAP2K4,SART1
MAP2K4,EGFR
MAP2K4,ATP5A1
MAP2K4,DDX23
MAP2K4,CD59
MAP2K4,APLNR
MAP2K4,WTAP
MAP2K4,METTL14
MAP2K4,TET2
MAP2K4,WDR75
MAP2K4,SRRM2
MAP2K4,PIK3CA
MAP2K4,COG2
MAP2K4,KIAA1429
ACTN2,CPSF4
ACTN2,ZBTB25
ACTN2,RPL13A
ACTN2,POLR2D
ACTN2,DLST
ACTN2,FAF2
ACTN2,SNRPE
ACTN2,PDK1
ACTN2,U2AF1L4
ACTN2,TP53
ACTN2,SH3KBP1
ACTN2,COIL
ACTN2,TGOLN2
ACTN2,UBE2M
ACTN2,SLC2A2
ACTN2,CDC25C
ACTN2,TAS1R3
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,MYL12B
ACTN2,FBXO30
ACTN2,CAND1
ACTN2,SFI1
ACTN2,CSTF3
ACTN2,TNKS
ACTN2,SHMT2
ACTN2,INS
ACTN2,MYO5A
ACTN2,ATP11A
ACTN2,PPP2R1B
ACTN2,RAB1A
ACTN2,DHX16
ACTN2,EFTUD2
ACTN2,GNB1
ACTN2,SLC2A4
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,PLK1
ACTN2,CFTR
ACTN2,RPL10
ACTN2,FN1
ACTN2,ZHX1
ACTN2,KIAA1429
ACTN2,PIK3C2A
ACTN2,ZC3H11A
ACTN2,KLHL13
ACTN2,VAMP8
ACTN2,PPP2R1A
ACTN2,POLR2B
ACTN2,RPLP0
ACTN2,PIK3CA
ACTN2,SERPINA1
ACTN2,PTEN
ACTN2,NCAPG
ACTN2,UBA3
ACTN2,GTF2H4
ACTN2,ZNRF1
ACTN2,EED
ACTN2,EMD
ACTN2,YY1
ACTN2,FGA
ACTN2,LPAR1
ACTN2,AGO3
ACTN2,ATG7
PML,DYNLL1
PML,ZNF574
PML,RC3H1
PML,APBB1
PML,GNG5
PML,ZNF217
PML,SCARA3
PML,CXCL6
PML,ITFG1
PML,SSTR5
PML,HIST1H2BJ
PML,RPL39
PML,UTP11L
PML,RTP5
PML,CDC5L
PML,VHL
PML,KBTBD8
PML,GAPDH
PML,HNRNPA3
PML,RPL35A
PML,ADAMTS6
PML,U2AF2
PML,SUZ12
PML,KCNJ2
PML,XAF1
PML,UBE3A
PML,IGFBP5
PML,RELA
PML,ARPC3
PML,POLR2B
PML,CWC22
PML,AGO2
PML,MYL12B
PML,MAPK8
PML,SKI
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,EWSR1
PML,P4HB
PML,KIAA1429
PML,PSMD11
PML,USP19
PML,NUP85
PML,SNRPD3
PML,FAU
PML,UBE2M
PML,TPM2
PML,HEXIM1
PML,FBXL8
PML,TRIM14
PML,SRSF6
PML,ZC3H7A
PML,HSPA5
PML,DCTN5
PML,HACE1
PML,TAS2R30
PML,ZWINT
PML,RAB9A
RPA2,SART3
RPA2,ESR2
RPA2,HSP90AA1
RPA2,SYMPK
RPA2,ASB9
RPA2,UBXN1
RPA2,RNF115
RPA2,TLR3
RPA2,GSK3B
RPA2,TERF2
RPA2,RPL6
RPA2,RPL23
RPA2,WWOX
RPA2,RABGGTB
RPA2,CSTA
RPA2,RPL37A
RPA2,SRSF11
RPA2,LPAR4
RPA2,TANK
RPA2,MRPL18
RPA2,HSPA1A
RPA2,XPO1
RPA2,LRR1
RPA2,SOCS2
RPA2,PYGB
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,SPSB1
RPA2,NRCAM
RPA2,PRDX3
RPA2,PRKACA
RPA2,NECAP2
RPA2,CORO1B
RPA2,HSP90B1
RPA2,RPS7
RPA2,TMEM30A
RPA2,ARRB2
RPA2,SOCS3
RPA2,MXD1
RPA2,USP9X
RPA2,CUL4B
RPA2,RLN3
RPA2,RNF114
RPA2,TFRC
RPA2,UBC
RPA2,RPS6KA1
RPA2,PRPF6
RPA2,DVL2
RPA2,MTOR
RPA2,GNB1
RPA2,WDR5
RPA2,EGFR
RPA2,MAPT
RPA2,XRN2
RPA2,HEXA
RPA2,TSFM
RPA2,CDC16
RPA2,UTP14A
RPA2,CD274
RPA2,PIK3R3
RPA2,CXCL13
RPA2,TAS2R8
RPA2,ERCC8
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,KIF3A
RPA2,MYBBP1A
RPA2,CXCL11
RPA2,DPY30
RPA2,EIF4G1
RPA2,TAS2R43
RPA2,YBEY
RPA2,PRMT5
RPA2,METAP2
RPA2,TMED10
RPA2,SSR3
RPA2,TRAF7
RPA2,ZNF746
RPA2,CCL4
RPA2,PIK3R2
RPA2,NEDD4
RPA2,GTF2B
RPA2,PSME3
RPA2,MRPL52
RPA2,FBXO17
RPA2,CEP76
RPA2,TRIM37
RPA2,UBA52
RPA2,P2RY11
RPA2,UBB
RPA2,TTC30A
RPA2,MIR93
RPA2,TRIM28
RPA2,STUB1
RPA2,OBSL1
RPA2,PTGS2
RPA2,P2RY14
RPA2,RPA3
RPA2,DCTN5
RPA2,SCARA3
RPA2,RAD52
RPA2,RPN1
RPA2,WDR75
RPA2,CUL1
RPA2,RHNO1
RPA2,RBX1
STAT3,HDGF
STAT3,PRPF8
STAT3,TMEM63A
STAT3,NTRK1
STAT3,PTPN1
STAT3,MRPL2
STAT3,BRAF
STAT3,UBA52
STAT3,NMUR1
STAT3,TRIM11
STAT3,YKT6
STAT3,UBE2M
STAT3,MAPK1
STAT3,FZR1
STAT3,REEP1
STAT3,HSPA1L
STAT3,KCNJ2
STAT3,EPHB4
STAT3,RPS6
STAT3,KIAA1429
STAT3,HNRNPC
STAT3,TOM1
STAT3,ABCE1
STAT3,RPS13
STAT3,FOXA1
STAT3,RAB37
STAT3,RNF123
STAT3,P2RY14
STAT3,MYL12A
STAT3,FN1
STAT3,PPBP
STAT3,EIF5
STAT3,UBR5
STAT3,SMC6
STAT3,SPSB4
STAT3,GSK3A
STAT3,RPS21
STAT3,NEDD4L
STAT3,YWHAB
STAT3,FBXO27
STAT3,AATF
STAT3,ASB13
STAT3,ANXA1
STAT3,SPRR1B
STAT3,RPL38
STAT3,UBC
STAT3,POLR2K
STAT3,TUBB
STAT3,TMPO
STAT3,DGCR6
STAT3,ADORA3
STAT3,SRP14
STAT3,DZIP3
STAT3,TSPAN5
STAT3,PPP2CB
STAT3,EIF4A3
STAT3,ZNF688
STAT3,XPO1
STAT3,UTP18
STAT3,RPL6
STAT3,UNK
STAT3,HIST1H2BA
STAT3,SSH1
STAT3,GNG5
STAT3,PTPN11
STAT3,FTH1
STAT3,RPSA
STAT3,U2AF2
STAT3,LTB
STAT3,RECQL4
STAT3,DNMT3B
STAT3,KLHL20
STAT3,TBP
STAT3,SDHA
STAT3,EWSR1
STAT3,ZNF645
STAT3,UBA6
STAT3,SCFD1
STAT3,KLHL22
STAT3,ELAVL1
STAT3,SLC39A13
STAT3,NEDD8
STAT3,RB1
STAT3,LMNA
STAT3,EZR
STAT3,NAE1
STAT3,DYNC1H1
ALDOA,HOOK3
ALDOA,GNB1
ALDOA,FN1
ALDOA,GNG12
ALDOA,AKT1
ALDOA,CCNA1
ALDOA,PSMD13
ALDOA,CDK2
ALDOA,REEP4
ALDOA,RPS6KA1
ALDOA,FBXL16
ALDOA,SEPT2
ALDOA,TOP3A
ALDOA,KLHL9
ALDOA,EXOSC1
ALDOA,CFAP20
ALDOA,NEK6
ALDOA,HEXIM1
ALDOA,POLR2K
ALDOA,KIF1A
ALDOA,ARRB2
ALDOA,RUVBL2
ALDOA,MYC
ALDOA,GTF2B
ALDOA,SOAT1
ALDOA,BCAS2
ALDOA,ECM1
ALDOA,MOV10
ALDOA,APEX1
ALDOA,RXRA
ALDOA,EXO1
ALDOA,S1PR2
