source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAP3K11
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,PPM1A
MAP2K4,MAPK11
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,MINK1
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,VEGFC
MAP2K4,MAP3K12
MAP2K4,TRAF6
MAP2K4,PPP2R5D
ACTN2,GNB2L1
ACTN2,DLG1
ACTN2,KAT2B
ACTN2,TPM4
ACTN2,HSPB1
ACTN2,ITGB3BP
ACTN2,ACTN4
ACTN2,COIL
ACTN2,PSMB5
ACTN2,GSTT1
ACTN2,AGRN
ACTN2,CAPN1
ACTN2,SNAI1
ACTN2,GRIN2B
ACTN2,NOS3
ACTN2,TPM3
ACTN2,MYH2
ACTN2,ATXN2
ACTN2,TOLLIP
ACTN2,GATA3
ACTN2,SRP9
ACTN2,LDB3
ACTN2,MYH8
ACTN2,NRIP1
ACTN2,QARS
ACTN2,KCNA5
ACTN2,PSMA3
ACTN2,YWHAQ
ACTN2,GRIN1
ACTN2,DLG4
ACTN2,NR1I2
ACTN2,KCNN2
ACTN2,MRPL10
ACTN2,IGSF8
ACTN2,SNW1
ACTN2,RPL35
ACTN2,PPP1CB
ACTN2,DISC1
