source,target
APP,HSPA8
APP,MED9
APP,SUZ12
APP,IFIH1
APP,TRAF6
APP,ZNF645
APP,GEMIN2
APP,TGOLN2
APP,KIF11
APP,EPRS
APP,CUL7
APP,NTRK1
APP,SYT9
APP,KCNAB1
APP,CPT1A
APP,FN1
APP,PIK3R1
APP,RBM4
APP,MRPL50
APP,NOL6
APP,SNW1
APP,SH3KBP1
APP,CRK
APP,AP2M1
APP,H3F3B
APP,PSMB6
APP,REEP2
APP,KLHL22
APP,FUS
APP,G3BP1
APP,SF3B5
APP,SUB1
APP,AURKA
APP,PLAUR
APP,HIST1H2BG
APP,DAPK1
APP,KMT2B
APP,PSME1
APP,GNB2L1
APP,TRIM25
APP,OXGR1
APP,SNRPB2
APP,PRKDC
APP,DYRK2
APP,MAP2K3
APP,TCF7L2
APP,BRCA1
APP,APP
APP,MYH11
APP,CCR2
APP,RPS27A
APP,KLC2
APP,FFAR4
APP,UPF3B
APP,RNF31
APP,NMUR1
APP,COPB2
APP,RPL3
APP,NXF1
APP,RAB7A
APP,EIF3B
APP,CUL4A
APP,DDX10
APP,TEX11
APP,TNIP2
APP,ATP5D
APP,RABGEF1
APP,TCEAL1
APP,NUP37
APP,RPL26L1
APP,UBB
APP,PRPF6
APP,PLEC
APP,CUL5
APP,EIF3F
APP,CCT5
APP,DCTN5
APP,CAPZB
APP,TAS2R9
APP,CWC15
APP,PTGES3
APP,CCNA2
APP,FAM161A
APP,DNM2
APP,DEK
APP,JUN
APP,F2R
APP,RPL28
APP,TRHR
APP,TLN1
APP,AARS2
APP,AVP
APP,ATR
APP,HIST1H2BB
APP,SPSB1
APP,FBXL22
APP,IKBKB
APP,SUMO2
APP,XIAP
APP,RPL32
APP,SIRT1
APP,XRCC6
APP,CUL4B
APP,TARDBP
APP,CDCA3
APP,NGFR
APP,LIMA1
APP,RNF123
APP,MYL1
APP,SPTBN1
APP,IKBKG
BRCA1,PLAUR
BRCA1,CEP250
BRCA1,RPL32
BRCA1,HIP1R
BRCA1,NCAM1
BRCA1,DDX19B
BRCA1,MCM3
BRCA1,TGOLN2
BRCA1,PRPF6
BRCA1,SIRT7
BRCA1,JUN
BRCA1,TCF7L2
BRCA1,KIAA0368
BRCA1,PFKL
BRCA1,DCAF13
BRCA1,FBXL7
BRCA1,NTRK1
BRCA1,CUL4B
BRCA1,SYT9
BRCA1,PIK3R1
BRCA1,COG3
BRCA1,POLR2C
BRCA1,HIST1H2AJ
BRCA1,EIF3F
BRCA1,TRIM24
BRCA1,GFPT2
BRCA1,CRK
BRCA1,MAP2K3
BRCA1,GNG13
BRCA1,RPL28
BRCA1,CUL4A
BRCA1,TUBGCP5
BRCA1,NSUN2
BRCA1,CAPZB
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,HNRNPH2
BRCA1,HSPA8
BRCA1,TERF2
BRCA1,GANAB
BRCA1,MTDH
BRCA1,SUZ12
BRCA1,PEBP1
BRCA1,MSH6
BRCA1,TNFRSF1B
BRCA1,TNIP2
BRCA1,RECQL4
BRCA1,CENPU
BRCA1,MYCN
MSH6,IKBKG
MSH6,POLR2C
MSH6,PRKDC
MSH6,HSPA8
MSH6,GNG13
MSH6,ATR
MSH6,TRIM25
MSH6,TNIP2
MSH6,SUMO2
MSH6,FN1
PSEN2,IKBKB
PSEN2,FBXW11
PSEN2,FN1
MCM3,SF3B5
MCM3,RPL36
MCM3,GRM3
MCM3,RPS27A
MCM3,MYC
MCM3,TRAF6
MCM3,KIF11
MCM3,NTRK1
MCM3,HSPD1
MCM3,TRIM25
MCM3,RPS14
MCM3,CCDC22
MCM3,PIK3R1
MCM3,RAB7A
MCM3,PPP2R5D
EEF1A1,OXGR1
EEF1A1,ZNF598
EEF1A1,SUB1
EEF1A1,TRIM25
EEF1A1,PQBP1
EEF1A1,JUN
EEF1A1,PSMB6
EEF1A1,SIRT7
EEF1A1,RECQL4
EEF1A1,KCNAB2
EEF1A1,IGHV3-11
EEF1A1,HIST1H2BB
EEF1A1,SLC15A3
EEF1A1,APP
EEF1A1,EEF1A1
EEF1A1,RPL3
EEF1A1,UBXN1
EEF1A1,CDK5
EEF1A1,VHL
EEF1A1,ADORA3
EEF1A1,POLR2F
EEF1A1,PPP2R5D
EEF1A1,ZNF645
EEF1A1,RPS14
EEF1A1,RNF31
ANXA5,JUN
ANXA5,DDX10
ANXA5,APP
ANXA5,TSC22D2
ANXA5,TERF2
ANXA5,IKBKB
ANXA5,UPF3B
ANXA5,APEX1
FGFR1,APP
FGFR1,SUGP2
FGFR1,TFIP11
FGFR1,HNRNPH2
FGFR1,KRT40
FGFR1,UPF3B
FGFR1,POLR2F
FGFR1,PSMB1
FGFR1,PIK3R1
FGFR1,ASB4
FGFR1,TCF7L2
ECD,PQBP1
ECD,USO1
EIF3E,MRTO4
EIF3E,NTRK1
EIF3E,CUL5
EIF3E,RUNX3
EIF3E,TENC1
EIF3E,CSTF3
EIF3E,RPS17
EIF3E,SUMO2
GANAB,TCF7L2
GANAB,MAPK11
GANAB,UBB
GANAB,CALCOCO2
GANAB,NTRK1
GANAB,VHL
GANAB,IKBKB
GANAB,TRIM25
GANAB,RECQL4
GANAB,MTDH
GANAB,TERF2
MAPK8,TSC22D2
MAPK8,VHL
MAPK8,IKBKB
MAPK8,ELANE
MAPK8,PRPF6
MAPK8,POLR2F
MAPK8,NGFR
MAPK8,RPL3
MAPK8,FGFR1
MAPK8,APEX1
MAPK8,EEF2
MAPK8,RPS27A
MAPK8,BRCA1
MAPK8,PRCC
XRCC6,UBE2D3
XRCC6,SPSB1
XRCC6,PRPF4
XRCC6,PSMB1
XRCC6,ZNRF1
XRCC6,HIST1H2AJ
XRCC6,RPS14
XRCC6,FUS
XRCC6,VAMP7
XRCC6,KIF11
XRCC6,IKBKB
XRCC6,RECQL4
XRCC6,GNB2L1
XRCC6,OXGR1
XRCC6,AGTR2
XRCC6,BRCA1
XRCC6,JUN
CBX5,RPL39
CBX5,SIRT7
CBX5,CUL5
CBX5,AURKA
CBX5,EPRS
CBX5,NMUR1
CBX5,IKBKB
CBX5,FBXL22
CBX5,SUZ12
CBX5,TMBIM1
CBX5,RBBP7
CBX5,MYC
CBX5,VNN2
CBX5,USO1
CBX5,CCNK
NGFR,GRM3
NGFR,VDAC2
NGFR,PIK3R3
NGFR,UBB
NGFR,PSEN2
NGFR,SUZ12
SNW1,TFIP11
SNW1,UPF2
SNW1,TARDBP
SNW1,STT3B
SNW1,BMI1
SNW1,HSPA8
SNW1,TRIM25
SNW1,CA9
SNW1,BRCA1
SNW1,RPS17
SNW1,WDR4
SNW1,CWC15
SNW1,FN1
RHOB,PYCARD
RHOB,SIRT7
RHOB,KIF11
RHOB,DNM2
RHOB,IKBKB
RHOB,TUBGCP5
RHOB,PRPF4
PIK3R3,CTSB
PIK3R3,PRPF6
PIK3R3,POLR2F
PIK3R3,RPL3
PIK3R3,GPR150
PIK3R3,DDB1
PIK3R3,HIST1H2BB
PIK3R3,KDM6B
PIK3R3,MAPK8
PIK3R3,EEF1A1
PIK3R3,GNG13
PIK3R3,MEOX2
PIK3R3,RNF31
PIK3R3,UPF2
TMF1,HIST1H2AJ
TMF1,MRTO4
TMF1,DCTN5
GNB2L1,UBAP2
GNB2L1,IKBKB
GNB2L1,HSPA8
GNB2L1,TRIM25
GNB2L1,PJA1
GNB2L1,CD70
GNB2L1,SOCS6
GNB2L1,SUMO2
GNB2L1,TNIP2
GNB2L1,CDA
GNB2L1,HNRNPLL
GNB2L1,CENPL
GNB2L1,RPS14
GNB2L1,FGG
GNB2L1,POLR2F
GNB2L1,ADCY4
GNB2L1,JUN
GNB2L1,SDC2
GNB2L1,MTUS2
GNB2L1,YWHAH
GNB2L1,AIFM1
GNB2L1,PPP2R2A
GNB2L1,SF3B5
GNB2L1,APEX1
GNB2L1,LTV1
GNB2L1,PIK3R1
AR,DEK
AR,INO80B
AR,SIRT7
AR,FN1
AR,RPL28
AR,CHMP4B
AR,TRIM25
AR,ELANE
AR,RABGEF1
AR,ATP5D
AR,WDR18
AR,GLTSCR2
AR,PLEC
AR,AR
AR,AURKA
AR,MCM3
AR,RPS17
BRCA2,PFKL
BRCA2,PIK3R1
BRCA2,TNIP2
BRCA2,UBB
BRCA2,KLHL11
BRCA2,KLHL22
BRCA2,NXF1
BRCA2,TARDBP
BRCA2,FBXW11
BRCA2,APEX1
BRCA2,CCNA2
BRCA2,TRHR
BRCA2,TRAF6
BRCA2,PSEN2
BRCA2,G3BP1
UPF2,UBB
UPF2,UPF2
UPF2,CCT5
UPF2,RPL32
UPF2,RECQL4
UPF2,IFIH1
UPF2,PPP2R2A
UPF2,RNF123
UPF2,CCT8
CEBPZ,FUS
CEBPZ,CA9
CEBPZ,JUN
CEBPZ,UFD1L
CEBPZ,XRCC6
CEBPZ,MORF4L2
CEBPZ,ZNF598
CEBPZ,ACTR10
CEBPZ,APP
NTRK1,KLHL22
NTRK1,ZNF598
NTRK1,PRKDC
NTRK1,TRIM24
NTRK1,RPL28
NTRK1,RPS17
NTRK1,BRCA2
NTRK1,CUL4B
NTRK1,GNB2L1
NTRK1,NTRK1
NTRK1,SRSF6
NTRK1,APEX1
NTRK1,UBB
NTRK1,TNIP2
NTRK1,NXF1
NTRK1,PHF8
NTRK1,MAPK8
NTRK1,SNW1
NTRK1,LYPD3
NTRK1,CUL5
NTRK1,MTDH
NTRK1,EEF1A1
NTRK1,PHB
NTRK1,AIFM1
NTRK1,EIF3B
NTRK1,RNF123
NTRK1,TRAF6
NTRK1,RTCB
NTRK1,SIRT7
NTRK1,SEPT9
NTRK1,TUBGCP5
NTRK1,TRIM25
NTRK1,CA9
NTRK1,HSPA8
NTRK1,CBX5
NTRK1,TGOLN2
NTRK1,RBM4
NTRK1,PSMB6
NTRK1,PISD
NTRK1,NMUR1
NTRK1,CD70
NTRK1,NOL6
NTRK1,FGG
NTRK1,SUMO2
NTRK1,XIAP
NTRK1,MED14
NTRK1,IKBKB
NTRK1,THAP7
NTRK1,SYT9
NTRK1,ABCG8
NTRK1,CWC15
NTRK1,UPF3B
NTRK1,MRPL50
VHL,ZNRF1
VHL,MYH11
VHL,TCF7L2
VHL,SNW1
VHL,CUL7
VHL,PIK3R1
VHL,LBR
VHL,RAB7A
VHL,HIP1R
VHL,NTRK1
VHL,UPF2
VHL,HTR1A
VHL,DCTN5
VHL,RNF123
TRIM24,GAK
TRIM24,IKBKB
TRIM24,YWHAH
TRIM24,TMF1
TRIM24,CUL7
AGTR2,SIAH1
AGTR2,TNIP2
AGTR2,TRAF6
AGTR2,KRT6A
AGTR2,MYC
AGTR2,ZNF645
AGTR2,APP
AGTR2,RBBP7
AGTR2,CUL5
