source,target
MAP2K4,PABPC1
MAP2K4,TRIM25
MAP2K4,SOD1
MAP2K4,POLR2H
MAP2K4,DDX5
MAP2K4,KNTC1
MAP2K4,YWHAH
MAP2K4,UBC
MAP2K4,PARK2
MAP2K4,EGFR
MAP2K4,KRT9
MAP2K4,SPCS3
MAP2K4,ATP5A1
MAP2K4,DDX23
MAP2K4,APLNR
MAP2K4,HDAC11
MAP2K4,NUDC
MAP2K4,WTAP
MAP2K4,METTL14
MAP2K4,WDR75
MAP2K4,SRRM2
MAP2K4,PIK3CA
MAP2K4,AP1M1
MAP2K4,ERI1
MAP2K4,CCNB1
MAP2K4,KIAA1429
MAP2K4,TRAPPC2L
FLNC,KRT31
FLNC,RFC2
FLNC,PPIL4
FLNC,CHRM5
FLNC,PSMA1
FLNC,GTF3C4
FLNC,FBXO9
FLNC,PDGFRB
FLNC,RUVBL1
FLNC,C3AR1
FLNC,ZNF746
FLNC,BCKDHB
FLNC,KRAS
FLNC,HIST2H2AC
FLNC,BSG
FLNC,IRF1
FLNC,FGFR3
FLNC,RAF1
FLNC,VDAC1
FLNC,HERC5
FLNC,MAK16
FLNC,SLC15A3
FLNC,SMURF1
FLNC,RPS2
FLNC,NCBP1
FLNC,GNL2
FLNC,ZBTB38
FLNC,SNRPN
FLNC,RBM4
FLNC,KDM5A
FLNC,P4HA1
FLNC,RPL9
FLNC,MAPK14
FLNC,SF3B3
FLNC,TAOK2
FLNC,NPY1R
FLNC,PRKDC
FLNC,HSP90AB1
FLNC,TRIM25
FLNC,RPP40
FLNC,MFN1
FLNC,UBE3B
FLNC,EHMT2
FLNC,SNRNP27
ACTN2,CPSF4
ACTN2,RPL13A
ACTN2,DLST
ACTN2,FAF2
ACTN2,MIRLET7I
ACTN2,SNRPE
ACTN2,PDK1
ACTN2,U2AF1L4
ACTN2,TP53
ACTN2,SH3KBP1
ACTN2,COIL
ACTN2,TNF
ACTN2,TGOLN2
ACTN2,UBE2M
ACTN2,SHC1
ACTN2,TAS1R3
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,FBXO30
ACTN2,MAML1
ACTN2,CAND1
ACTN2,SFI1
ACTN2,CSTF3
ACTN2,INS
ACTN2,MYO5A
ACTN2,ATP11A
ACTN2,HIST1H2BB
ACTN2,RPS28
ACTN2,UNC93B1
ACTN2,RAB1A
ACTN2,EFTUD2
ACTN2,POLDIP2
ACTN2,EIF3B
ACTN2,GNB1
ACTN2,TRIM63
ACTN2,SLC2A4
ACTN2,TIAM1
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,NDE1
ACTN2,PLK1
ACTN2,PAPOLA
ACTN2,CFTR
ACTN2,MCM2
ACTN2,RPL10
ACTN2,FN1
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,PIK3C2A
ACTN2,DIAPH1
ACTN2,DGAT1
ACTN2,NOP14
ACTN2,VAMP8
ACTN2,PPP2R1A
ACTN2,POLR2B
ACTN2,MYOM2
ACTN2,RPLP0
ACTN2,PIK3CA
ACTN2,SERPINA1
ACTN2,PTEN
ACTN2,CLASP1
ACTN2,NCAPG
ACTN2,CEP97
ACTN2,ZNRF1
ACTN2,EED
ACTN2,EMD
ACTN2,YY1
ACTN2,PEX19
ACTN2,ATP2B2
ACTN2,SETD2
ACTN2,LPAR1
ACTN2,SLC1A5
RPA2,SHROOM1
RPA2,ESR2
RPA2,HSP90AA1
RPA2,SYMPK
RPA2,PSMA1
RPA2,ALDH1B1
RPA2,TERF2
RPA2,RPL6
RPA2,RPL23
RPA2,TYK2
RPA2,DHCR7
RPA2,NOC4L
RPA2,WWOX
RPA2,BUD31
RPA2,RABGGTB
RPA2,WDR33
RPA2,UBE2C
RPA2,RPL36AL
RPA2,RPL37A
RPA2,ABCA3
RPA2,SRSF11
RPA2,SERPINC1
RPA2,TXNDC5
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,TANK
RPA2,FADS2
RPA2,PCP2
RPA2,MRPL18
RPA2,HSPA1A
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,LRR1
RPA2,SOCS2
RPA2,TRIM63
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,SPSB1
RPA2,MRPL46
RPA2,SLC33A1
RPA2,PRKACA
RPA2,ARCN1
RPA2,MCTS1
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,POLR3C
RPA2,HSP90B1
RPA2,TACR3
RPA2,IRAK2
RPA2,ARRB2
RPA2,MYBL2
RPA2,TP53BP1
RPA2,SOCS3
RPA2,GSPT1
RPA2,USP9X
RPA2,RLN3
RPA2,EEF1A1P5
RPA2,FAM175B
RPA2,LEO1
RPA2,FAAH
RPA2,RNF114
RPA2,TFRC
RPA2,UBC
RPA2,AGTRAP
RPA2,MTOR
RPA2,GNB1
RPA2,WDR5
RPA2,PTGER3
RPA2,PGAM1
RPA2,TRIM6
RPA2,EGFR
RPA2,MMP8
RPA2,TYMS
RPA2,CXCR5
RPA2,UBA7
RPA2,MAPT
RPA2,ZNF830
RPA2,CDC16
RPA2,CDC27
RPA2,IKBKG
RPA2,KIF20A
RPA2,LAMC1
RPA2,SEC31A
RPA2,TAS2R8
RPA2,SLC18A2
RPA2,ERCC8
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,PTPRK
RPA2,KIF3A
RPA2,CXCL11
RPA2,DPY30
RPA2,PKM
RPA2,TAS2R43
RPA2,NKX2-5
RPA2,TMED10
RPA2,ZNF746
RPA2,CCL4
RPA2,PIK3R2
RPA2,NEDD4
RPA2,PSME3
RPA2,ATXN7
RPA2,HSPB2
RPA2,UBA52
RPA2,BDKRB2
RPA2,P2RY11
RPA2,SCARB2
RPA2,TRIM28
RPA2,EGF
RPA2,RNF14
RPA2,STUB1
RPA2,OBSL1
RPA2,PTGS2
RPA2,P2RY14
RPA2,ZNF668
